,SF,syst_unc,stat_unc,sj_pt_unc,sj_matching_unc
HHbbVV,0.81 ± 0.15,0.16995084154895526,0.02947981194685111,0.0201676525480024,0.056131971024578495
ggHH_kl_2p45_kt_1_HHbbVV,0.81 ± 0.16,0.19030900317205782,0.028993648707240898,0.02369631732222509,0.055326181786903586
ggHH_kl_5_kt_1_HHbbVV,0.87 ± 0.30,0.33667281880302763,0.035084773863091064,0.028302768166089967,0.05719434832756633
ggHH_kl_0_kt_1_HHbbVV,0.83 ± 0.17,0.18916508189844478,0.03639952205096509,0.018916476313437285,0.054929321018307005
qqHH_CV_1_C2V_1_kl_1_HHbbVV,0.87 ± 0.25,0.28143597254021535,0.03378023764367954,0.036016949152542374,0.05666532149582998
qqHH_CV_1_C2V_0_kl_1_HHbbVV,0.85 ± 0.13,0.10936605723760848,0.022388705835340895,0.09421267864823132,0.05590358812372646
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,0.86 ± 0.14,0.1252331706076014,0.022364848613941907,0.0911419005393546,0.05726833653289453
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.96 ± 0.50,0.506241554373664,0.0529422023806201,0.04233485193621868,0.07488610478359908
qqHH_CV_1_C2V_2_kl_1_HHbbVV,0.87 ± 0.13,0.1045461144084427,0.022123303224457304,0.0983191741736928,0.0564007797842312
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.87 ± 0.19,0.21299424049757695,0.03231881661713755,0.030447237649809996,0.05668420539803177
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,0.84 ± 0.14,0.11933736121978615,0.024969950723055905,0.09578685435995876,0.05746576532808804
