,Preselection,TriggerEffs,QCD SF,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,bbFatJetParticleNetMD_Txbb ≥ 0.987,VVFatJetParTMD_THWWvsT ≥ 0.8
QCD,2297339.82909381,1194346.5658664904,971456.9059734741,968200.2922133142,965807.6452091871,211609.00843648368,17531.585529891578,230.5957171256515
TT,139361.71036435151,90162.83808289378,90162.83808289378,89874.47242888014,89593.63713305627,21483.598303055493,1419.5920219348984,34.121792684821244
ST,9979.986132619777,6717.596659086394,6717.596659086394,6695.143184192203,6679.164687640505,1618.2106357312314,104.36904068348574,4.122352612449436
V+Jets,63475.58227389368,38860.89721165447,38860.89721165447,38735.5607817707,38656.89023501311,12433.811817627722,3443.275260351941,50.35100684689767
Diboson,946.7147595788099,595.6462086965947,595.6462086965947,593.2710364467257,592.303383327502,217.55500311054297,80.38987961882412,0.8535649864488222
Hbb,1206.4981538195466,796.5817927037203,796.5817927037203,794.6348344968395,792.8079349118146,163.02151858781681,52.80809384347229,0.7808205105088912
HWW,190.62743422319508,134.82416426446022,134.82416426446022,134.12954642810868,133.63953403771396,31.967563091789152,3.1023186119113264,0.49891062377070217
HH,8.124620906724427,4.709907226316808,4.709907226316808,4.699923307898517,4.644441923824731,0.9332806895297259,0.5707642686184814,0.0003316506792370109
Data,1108730.0,1108730.0,1108730.0,1108730.0,1108730.0,244624.0,19825.0,354.0
X[2200]->H(bb)Y[250](VV),31.827686108731665,31.54969273672145,31.54969273672145,31.54655661075138,31.5436873632481,5.122128598929422,2.6145303449311736,0.8701090223514498
