,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9735,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9147081031687907,0.9147081031687907,0.9088022319312213,0.9037950499185726,0.05266580265883475,0.03649436394269334,0.032850135972649464,0.032791784295034945,0.03259275111436536
ggHH_kl_2p45_kt_1_HHbbVV,0.6688447704532685,0.6688447704532685,0.6649531572120448,0.6617354385600798,0.03837051342038552,0.026541848848387943,0.023417853550469686,0.02338252968485162,0.02328398712084192
ggHH_kl_5_kt_1_HHbbVV,0.6956895087373941,0.6956895087373941,0.6920514447111688,0.6892047021562906,0.026452734586420595,0.018572141590622055,0.015775435614240246,0.015775435614240246,0.015715506532965898
ggHH_kl_0_kt_1_HHbbVV,1.1944766869755938,1.1944766869755938,1.1863493648635597,1.17930333767202,0.06773180335444828,0.04854082862826217,0.04321995326563608,0.043106548164282214,0.042930553657928916
VBFHHbbVV,0.017115373482989717,0.017115373482989717,0.017030078444247275,0.016924919012766975,0.0007798207986091192,0.0005648853840037938,0.0003674206769634271,0.0003674206769634271,0.00036374241062821705
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.060969753010587,9.060969753010587,9.041934826728792,9.02728294983494,0.7395503807222226,0.5541418758519031,0.2377693702143666,0.23729238639951705,0.23620336283688034
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269096111629358,15.269096111629358,15.23647158421826,15.20829496277662,1.2381045291237849,0.9320862687873095,0.3965548090718052,0.3951139041391926,0.39271212674231193
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0173959132140592,0.0173959132140592,0.017299990201845,0.017214419089199705,0.00044195823847052983,0.0002681493566238606,0.0001590360034436852,0.0001590360034436852,0.0001590360034436852
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138882127595444,8.138882127595444,8.123943352838433,8.11286122859791,0.6830669336902753,0.5160274360327077,0.21406679651699334,0.21374505731870322,0.212648553017531
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04617824244896124,0.04617824244896124,0.0459311591300662,0.04565497610400018,0.0031843545571991136,0.002331956396199355,0.0012160235351025117,0.0012160235351025117,0.0012101804637125594
QCD,717986.216814939,956785.8146709627,948406.4124347997,941617.267942029,19.17381408314674,0.0,0.0,0.0,0.0
TT,63126.80979180276,63126.80979180276,62714.21430804499,62290.703474200425,9.925137073041403,2.2419576335367855,2.3010957917455053,2.0770104901133566,2.003175838588045
ST,5417.824558008516,5417.824558008516,5380.176293677084,5350.773696634727,0.7163401517499594,0.2793657353914413,0.2793657353914413,0.2793657353914413,0.2793657353914413
W+Jets,9487.889178263631,9487.889178263631,9424.292575831972,9375.118673797197,2.3812340700128853,0.7565571911299217,0.7565571911299217,0.7565571911299217,0.7565571911299217
Z+Jets,12055.822300436781,12055.822300436781,11968.016139487008,11904.514452147456,1.587892642561146,0.6487711088181619,0.6487711088181619,0.6487711088181619,0.6487711088181619
Diboson,544.751536187187,544.751536187187,541.5192000426408,539.5255957808083,0.0,0.0,0.0,0.0,0.0
ggFHbb,120.74204174793252,120.74204174793252,120.02707196890958,119.27175261578469,0.0,0.0,0.0,0.0,0.0
VBFHbb,32.24173303425971,32.24173303425971,32.089487243194796,31.921442997500897,0.0,0.0,0.0,0.0,0.0
ZHbb,32.70020301080715,32.70020301080715,32.51666448179822,32.40029638484181,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596
WHbb,56.014320595270185,56.014320595270185,55.69337399997595,55.51504919284625,0.003516582583401531,0.0015407501131703208,0.0015407501131703208,0.0015407501131703208,0.0015407501131703208
ggZHbb,4.8805631912185055,4.8805631912185055,4.852821845932874,4.827078996358681,0.00042443859180320265,0.0,0.0,0.0,0.0
ttHbb,156.94119216557863,156.94119216557863,155.9939482895008,154.97672213467678,0.029753185305452515,0.015577496309934494,0.01450359118709967,0.0135497917507822,0.01282968886115424
HWW,80.56791059341468,80.56791059341468,80.1332628058381,79.59897023669294,0.5010728165005491,0.17366205857130657,0.1616389777283945,0.15528144784069065,0.14484776383900239
Data,1047903.0,1047903.0,1047903.0,1047903.0,99.0,13.0,13.0,13.0,12.0
