,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,BDTScore_JER_down >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9737,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.9965
HHbbVV,1.108127280079604,1.108127280079604,1.1007654125568072,1.0943466848718584,0.06505418994878384,0.0442025879854292,0.03965273490213293,0.039590991373810266,0.03944741606840167,,,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.7966839978476782,0.7929702737652506,0.04586393180925528,0.03200504801390143,0.02774095970685162,0.027712641342182216,0.027637709361428918,,,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.834916579637446,0.8313931208750229,0.033929062730708504,0.022652096339445114,0.020094535407946656,0.020094535407946656,0.020056966142874017,,,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.422734538030712,1.413057483248668,0.07377869983669634,0.04965085685586592,0.043539399025009036,0.043377122070182454,0.04333433101836594,,,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.021438601541618647,0.02130944961532647,0.0011026408327601427,0.0007712622605793714,0.0004706811255048409,0.00046869515239216197,0.0004615555720321801,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,10.993916278669817,10.975351227637582,0.8792737596896685,0.6621504392499957,0.27933799346618826,0.27883234334981233,0.2776027808844865,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.47778093467595,18.44445480245551,1.4579701769674187,1.0894196592463148,0.4703987360412336,0.46933264999316704,0.467324650223909,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.02138682863811925,0.021273317169623898,0.0005638951551655005,0.0003700209083497495,0.00022240825446775717,0.00022012242815944738,0.00022012242815944738,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.93227980894857,9.91773923265224,0.8133708271140048,0.6108795560716321,0.2512995001556758,0.2507309112834595,0.24989276379895675,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05595921964896841,0.05560877654128435,0.0032191179744339026,0.002353909482905682,0.0013676680718718514,0.0013676680718718514,0.0013523946678053408,,,
QCD,900603.372757249,1219440.0804636534,1208182.4786762223,1200009.3644063028,15.889260257171221,0.0,0.0,0.0,0.0,,,
TT,76537.02908224265,76537.02908224265,76005.7888408999,75436.82978583084,13.058097267435729,2.844559897641289,2.74996718313011,2.4607369890615054,2.175270218896568,,,
ST,6617.229257123121,6617.229257123121,6566.328361234981,6530.907835704748,0.7719237185863825,0.0,0.0,0.0,0.0,,,
W+Jets,12421.273275458932,12421.273275458932,12339.320639263746,12260.495964100859,2.4344289690840437,0.0,0.0,0.0,0.0,,,
Z+Jets,14717.02364266734,14717.02364266734,14597.661223947085,14510.332852864116,1.3586877967717272,0.775468207320707,0.775468207320707,0.775468207320707,0.775468207320707,,,
Diboson,703.6912877316817,703.6912877316817,698.579291598942,694.5916383161529,0.0,0.0,0.0,0.0,0.0,,,
ggFHbb,138.81856362723408,138.81856362723408,138.15554634923888,137.17501694965563,0.0,0.0,0.0,0.0,0.0,,,
VBFHbb,40.60062332311162,40.60062332311162,40.49535934358885,40.33863807551278,0.0,0.0,0.0,0.0,0.0,,,
ZHbb,38.56092725636813,38.56092725636813,38.30942955891692,38.14570716432015,0.005879306153889316,0.005879306153889316,0.005879306153889316,0.005879306153889316,0.005879306153889316,,,
WHbb,66.232275837835,66.232275837835,65.79959420574862,65.60151072204596,0.002068149949222107,0.002068149949222107,0.002068149949222107,0.002068149949222107,0.002068149949222107,,,
ggZHbb,5.921431593700421,5.921431593700421,5.889087636165095,5.8513654951795635,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,,,
ttHbb,187.9810602386041,187.9810602386041,186.82068755865188,185.52754103860983,0.0323587771487211,0.012894373744750592,0.012894373744750592,0.011663187857263104,0.009041270585822214,,,
HWW,97.55810924622651,97.55810924622651,96.95233954850245,96.16828112430852,0.6459969324174276,0.183985050935899,0.170472113572538,0.1571194693635378,0.15210790423056186,,,
Data,1331012.0,1331012.0,,,,24.0,22.0,22.0,22.0,1331012.0,1331012.0,130.0
