,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,BDTScore_JES_down >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9737,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.9965
HHbbVV,1.108127280079604,1.108127280079604,1.0917069850409113,1.0781356268307336,0.06455951151270091,0.043793829479412155,0.0392385897907116,0.03919221640163074,0.03904864109622215,,,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.7910546533336967,0.7830650557850098,0.04533812007106572,0.03175598432985352,0.0275597928304717,0.027522725702083597,0.02743708079555192,,,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8295842026069971,0.8209061063174796,0.03373948455399123,0.0225288354797953,0.019971274548296846,0.019971274548296846,0.019933705283224207,,,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4101042999942586,1.390663224347363,0.07269706360527847,0.04909799145267086,0.043088682220921215,0.04292640526609463,0.042883614214278123,,,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.02130646456807585,0.021064324561273218,0.001080525925566362,0.0007686730163565948,0.00046749974251265706,0.0004655137693999781,0.0004583741890399962,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,10.96606943523112,10.92642042184287,0.8788065636388113,0.6620014534858056,0.27873097321481743,0.2782253230984415,0.2770535718958913,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.42754518001746,18.356068000148724,1.4605916260968508,1.090853564261044,0.4670472659935126,0.46603304101901016,0.4641481343641784,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.02124839594879495,0.021033610058694998,0.0005540435695747326,0.0003568333156839476,0.0002084156958442624,0.00020612986953595262,0.00020612986953595262,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.910018440163697,9.879815192310277,0.8117455719177094,0.6097387295307117,0.2504227627972555,0.2498622576674118,0.24903401998683455,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.055519657883855295,0.05485418505523361,0.003210828385912853,0.002354186262135806,0.0013607390206741377,0.0013607390206741377,0.001345465616607627,,,
QCD,900603.372757249,1219440.0804636534,1195253.18073095,1177719.865509848,4.7747549543241306,0.0,0.0,0.0,0.0,,,
TT,76537.02908224265,76537.02908224265,75455.8672753345,74346.61812260182,12.67895975270787,2.60472989442542,2.5101371799142407,2.2556188644782016,1.9701520943132633,,,
ST,6617.229257123121,6617.229257123121,6513.894336293484,6437.416751030387,0.5715046236962493,0.0,0.0,0.0,0.0,,,
W+Jets,12421.273275458932,12421.273275458932,12242.321861551814,12084.680852048914,2.5449489874233873,0.0,0.0,0.0,0.0,,,
Z+Jets,14717.02364266734,14717.02364266734,14468.821057932211,14291.993481946272,1.134022204854729,0.6844427968765372,0.6844427968765372,0.6844427968765372,0.6844427968765372,,,
Diboson,703.6912877316817,703.6912877316817,693.0662177097603,685.7998823459604,0.0,0.0,0.0,0.0,0.0,,,
ggFHbb,138.81856362723408,138.81856362723408,137.1939721773011,135.31119077640614,0.0,0.0,0.0,0.0,0.0,,,
VBFHbb,40.60062332311162,40.60062332311162,40.24272494114581,39.87078912776376,0.0,0.0,0.0,0.0,0.0,,,
ZHbb,38.56092725636813,38.56092725636813,38.05426925581597,37.73628835069991,0.005879306153889316,0.005879306153889316,0.005879306153889316,0.005879306153889316,0.005879306153889316,,,
WHbb,66.232275837835,66.232275837835,65.32166411216625,64.87958091280734,0.002068149949222107,0.002068149949222107,0.002068149949222107,0.002068149949222107,0.002068149949222107,,,
ggZHbb,5.921431593700421,5.921431593700421,5.849255584936747,5.77720182418215,0.00047704591933229177,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,,,
ttHbb,187.9810602386041,187.9810602386041,185.57110999047728,183.10434371442994,0.029676001613133975,0.012894373744750592,0.012894373744750592,0.011663187857263104,0.009041270585822214,,,
HWW,97.55810924622651,97.55810924622651,96.30840345343226,94.86719745065234,0.6473834281784788,0.1854460186670357,0.17193308130367468,0.15858043709467448,0.15356887196169855,,,
Data,1331012.0,1331012.0,,,,24.0,22.0,22.0,22.0,1331012.0,1331012.0,130.0
