,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,BDTScore_JER_down >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9714,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.9965
HHbbVV,1.676130328580837,1.676130328580837,1.671413160994866,1.6672065519826909,0.1344426909139337,0.09473846351835666,0.08233397995544756,0.0822199371289484,0.08174186332432887,,,
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.2619443740833618,1.2595120643449336,0.09828477749308154,0.06808940985245174,0.05825693356215057,0.05817661302029549,0.057875832497449736,,,
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3294823636754307,1.3264512910132678,0.07039359873872852,0.04873233690206685,0.042295699212590805,0.04224244169222634,0.04216449481696332,,,
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.140110980291475,2.1341285226103426,0.1652745608519796,0.11430080667164295,0.09929009534457064,0.09914540824982611,0.09841966919772191,,,
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.033924821748091125,0.033835292174518944,0.0019388630704784172,0.0014585652133553644,0.0008131027710524486,0.0008072934121941777,0.0007997009748317778,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.742276536413833,20.727523290457565,2.080700214701848,1.5718983815605923,0.6161844232386658,0.614956625903513,0.6124251140903367,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.75268707636393,34.72713157266033,3.5019892144207008,2.659028714570888,1.0559200385653527,1.0534529091616467,1.0467527856298116,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.034870615332746886,0.034799811772878844,0.0012359286235918909,0.0008520620872016085,0.0005145236659928808,0.0005143822707050337,0.0005081425917962601,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.8853036360409,18.87351206891294,1.9250457073254033,1.4580463730087687,0.5644994418043261,0.5633543914782242,0.560846646733996,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.088656652708224,0.08837484424937994,0.007461242692426474,0.005468202883455306,0.002900721202012445,0.00288536382610061,0.002860205131796678,,,
QCD,1117757.9198795073,1251971.716351885,1247569.2563443747,1244241.2895729458,81.03997519547194,11.604758400450544,10.91196856647681,10.91196856647681,10.91196856647681,,,
TT,114729.52068857195,114729.52068857195,114309.11741675786,113880.99428785002,22.19301976918567,4.074957475040791,4.024368009244828,3.4941415028188594,3.466988420893591,,,
ST,9991.097357360093,9991.097357360093,9952.550898761065,9922.252662966415,2.801245897930489,0.6894987125411937,0.6894987125411937,0.6894987125411937,0.6894987125411937,,,
W+Jets,14710.822213085146,14710.822213085146,14670.207513918298,14635.076456643055,6.653723315165352,1.0689774014457376,1.0689774014457376,1.0689774014457376,1.0689774014457376,,,
Z+Jets,21597.004857058182,21597.004857058182,21520.342568735658,21471.347787777064,3.3711475075164072,1.7415072205716766,1.675091109801773,1.675091109801773,1.675091109801773,,,
Diboson,936.1606241609028,936.1606241609028,934.1584206040213,932.1822112933119,0.28001420954562,0.0,0.0,0.0,0.0,,,
ggFHbb,224.56874142701201,224.56874142701201,224.02968880433406,223.30598847245,0.02215841641627536,0.02215841641627536,0.02215841641627536,0.02215841641627536,0.02215841641627536,,,
VBFHbb,66.27722451912622,66.27722451912622,66.12891712313305,65.94436262293111,0.0,0.0,0.0,0.0,0.0,,,
ZHbb,63.465766584473805,63.465766584473805,63.32995290467089,63.23930009367292,0.008498817427943391,0.002619549703144971,0.0012476993426627087,0.0012476993426627087,0.0012476993426627087,,,
WHbb,108.86564442012758,108.86564442012758,108.64337241312307,108.51513014986577,0.028772449925295755,0.020185906466329482,0.01842566878389719,0.01842566878389719,0.01842566878389719,,,
ggZHbb,9.5080271296301,9.5080271296301,9.480593256960656,9.454908466117434,0.0008077299916567852,0.0005382728791549575,0.0005382728791549575,0.0005382728791549575,0.0005382728791549575,,,
ttHbb,312.2634270090423,312.2634270090423,311.08860162114195,309.8926151597943,0.0840295438699471,0.029172251559503357,0.026759807777704724,0.026759807777704724,0.026759807777704724,,,
HWW,150.72907678953348,150.72907678953348,150.1141335814762,149.4108853239785,1.1456102038150715,0.3658187608325714,0.3338969319920423,0.33137347045184445,0.31758629042035613,,,
Data,1414872.0,1414872.0,,,,50.0,48.0,47.0,46.0,1414872.0,1414872.0,199.0
