,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMR_up >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9714,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.9965
HHbbVV,1.676130328580837,1.676130328580837,1.6712036429905937,1.6670538167650584,0.12289149102685518,0.08616411886926689,0.07427185608804851,0.07417267361527212,0.07374888677676128,
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.2618467256927668,1.2597105355923204,0.0898237686839611,0.06226128037017041,0.05297244007396412,0.05289211953210905,0.05261437807658943,
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3290754531862934,1.326456633520162,0.06399554413818478,0.04440347914480784,0.03800179553518471,0.03794853801482024,0.03787059113955722,
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.1397217826630057,2.134657892688486,0.1527541450837671,0.10516526800248129,0.09093203412406795,0.09073048182564256,0.09007943569055,
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.03392488917746438,0.03385106547434957,0.0018474869716816591,0.0013933895573833134,0.0007739676353721983,0.0007681582765139274,0.0007620610521642584,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.740910849479715,20.727007927656505,1.882722635864162,1.4232624589363916,0.5525671486085779,0.5513493642281422,0.549244799407738,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.750944180981556,34.72689350102866,3.1772434087929766,2.411271839953122,0.9504007776205271,0.9486040779527564,0.9424953920951751,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.034883938631222695,0.034828787476897716,0.0011162220386516544,0.0007512289803364763,0.00044113419224511,0.00044099279695726295,0.0004347531180484893,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.88325592507293,18.87195683641766,1.7417736375825117,1.3192180709341859,0.5064540164925362,0.5053247168351408,0.5030947260483594,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08863948905629107,0.08838388941581067,0.0068214575390647125,0.005051049405484184,0.0025647552120093625,0.0025493978360975273,0.0025262550393460583,
QCD,1117757.9198795073,1251971.716351885,1247814.9781850395,1244750.07933536,78.00315459749999,12.277445960169432,11.584656126195698,11.584656126195698,11.584656126195698,
TT,114729.52068857195,114729.52068857195,114375.90267312861,114019.19131760647,22.051413225085852,3.6480675021052993,3.5974780363093353,2.9544353775865946,2.8744461184279215,
ST,9991.097357360093,9991.097357360093,9956.444147193402,9930.244963807756,2.897854785811653,0.8038150546612054,0.8038150546612054,0.8038150546612054,0.8038150546612054,
W+Jets,14710.822213085146,14710.822213085146,14672.491652608198,14641.631954844934,6.366204868633112,1.0979962361978723,1.0979962361978723,1.0979962361978723,1.0979962361978723,
Z+Jets,21597.004857058182,21597.004857058182,21522.694272012075,21479.126831498128,3.5957505110306607,1.6480393105886977,1.5816231998187942,1.5816231998187942,1.5816231998187942,
Diboson,936.1606241609028,936.1606241609028,932.3120773317856,930.6761200627391,0.0,0.0,0.0,0.0,0.0,
ggFHbb,224.56874142701201,224.56874142701201,224.09132954605533,223.5656191986538,0.0,0.0,0.0,0.0,0.0,
VBFHbb,66.27722451912622,66.27722451912622,66.16198883813554,66.0249915252132,0.0,0.0,0.0,0.0,0.0,
ZHbb,63.465766584473805,63.465766584473805,63.322797344840964,63.235634550720064,0.011656197439886856,0.0065308155387329946,0.005158965178250733,0.005158965178250733,0.005158965178250733,
WHbb,108.86564442012758,108.86564442012758,108.63886528171966,108.52664862322723,0.0320274278691871,0.02239880029653761,0.020638562614105314,0.020638562614105314,0.020638562614105314,
ggZHbb,9.5080271296301,9.5080271296301,9.483212575914823,9.46312346044892,0.00028610063665912794,0.00028610063665912794,0.00028610063665912794,0.00028610063665912794,0.00028610063665912794,
ttHbb,312.2634270090423,312.2634270090423,311.1744105719533,310.21793216817366,0.10492792466205211,0.042448926857649456,0.04003648307585083,0.034650134689543775,0.031797448720775646,
HWW,150.72907678953348,150.72907678953348,150.22850888691733,149.66583899443282,1.0665279731117994,0.3335402234335812,0.30602477653655324,0.3017722590778783,0.2918412694762025,
Data,1414872.0,1414872.0,1414872.0,1414872.0,,50.0,48.0,47.0,46.0,199.0
