,SF,syst_unc,stat_unc,sj_pt_unc,sj_matching_unc
HHbbVV,1.05 ± 0.22,0.15547108995331937,0.052725000489440246,0.0008406838149166883,0.13091488050400601
ggHH_kl_2p45_kt_1_HHbbVV,1.06 ± 0.25,0.18449596083782271,0.052139632936191366,0.0011015308978873644,0.13022460739358033
ggHH_kl_5_kt_1_HHbbVV,1.05 ± 0.47,0.4292185437303008,0.05705279712908716,0.002022527917527146,0.13043408463366082
ggHH_kl_0_kt_1_HHbbVV,1.08 ± 0.26,0.19363569662906102,0.04805358758717962,0.0012310273749170366,0.13126851554413393
VBFHHbbVV,1.20 ± 0.43,0.3216538280997532,0.06444196436834324,0.0028488466857702153,0.13039631988676575
qqHH_CV_1_C2V_0_kl_1_HHbbVV,1.09 ± 0.16,0.03303114307825116,0.05057432713961918,0.008476493191679247,0.12980962743771093
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,1.10 ± 0.16,0.03271944135794986,0.05153270367148423,0.007760256696476223,0.13185249152433953
qqHH_CV_1_C2V_1_kl_2_HHbbVV,1.21 ± 0.66,0.5190758550370681,0.06572517998898467,0.004735872125170259,0.1450548081714001
qqHH_CV_1_C2V_2_kl_1_HHbbVV,1.11 ± 0.16,0.030416095507838786,0.050672231786605404,0.009017349200461032,0.1298202522197245
qqHH_CV_1_C2V_1_kl_0_HHbbVV,1.11 ± 0.31,0.2461089592131286,0.05875497175576201,0.0020857539488056587,0.12964088024841366
