,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9735,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,0.9147081031687907,0.9147081031687907,0.9086202562710456,0.9032729107620694,0.30136641526403185,0.30073459927557006,0.29863254586291754,,
ggHH_kl_2p45_kt_1_HHbbVV,0.6688447704532685,0.6688447704532685,0.6650215844188102,0.6616978818114161,0.2299215770147511,0.2295468800150408,0.22811058948062643,,
ggHH_kl_5_kt_1_HHbbVV,0.6956895087373941,0.6956895087373941,0.6920552540546806,0.6889646563286256,0.3060371693804962,0.30521008040979536,0.30362043077514445,,
ggHH_kl_0_kt_1_HHbbVV,1.1944766869755938,1.1944766869755938,1.1860618192897887,1.1784620440607205,0.395068883543628,0.39434550985275774,0.3918356130348024,,
VBFHHbbVV,0.017115373482989717,0.017115373482989717,0.017030649078712407,0.016911806406707055,0.005799982669244992,0.005778877997696238,0.00572465272408694,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.060969753010587,9.060969753010587,9.043185519276458,9.02815771027725,2.442574423607405,2.437696855537743,2.424358564304257,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269096111629358,15.269096111629358,15.23819151213184,15.21085147798668,4.130793913429084,4.12104280974403,4.100149537665231,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0173959132140592,0.0173959132140592,0.01731116970053962,0.01721529909865581,0.008463374900600396,0.008435639727129969,0.008371134586267433,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138882127595444,8.138882127595444,8.124193038879898,8.112651573642607,2.1889068742669315,2.183430839763076,2.171398405847687,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04617824244896124,0.04617824244896124,0.04594810143671735,0.04559847624848856,0.014189296739562046,0.014160396560541001,0.014110530430655587,,
QCD,717986.216814939,956785.8146709627,948364.0361544128,941611.8267485962,754496.0620880035,752936.7646611074,750077.8617081649,,
TT,63126.80979180276,63126.80979180276,62673.79614323329,62216.48155564703,49469.34874682441,44281.27331024803,39123.833732942854,,
ST,5417.824558008516,5417.824558008516,5377.353115354821,5346.142315388623,4331.322795140036,3966.3474558289413,3560.351662865544,,
W+Jets,9487.889178263631,9487.889178263631,9420.543436555281,9370.593747378542,7830.22486542637,7809.937114355349,7785.400628667634,,
Z+Jets,12055.822300436781,12055.822300436781,11963.681352389223,11895.51750751837,6787.97110352534,6771.117645697598,6732.151861603023,,
Diboson,544.751536187187,544.751536187187,541.5333279703598,539.5308044193844,336.208740931941,320.29880578778756,303.6720365276853,,
ggFHbb,120.74204174793252,120.74204174793252,120.07126024952862,119.40043805803371,39.08114940009345,39.05971223921196,38.87047247405131,,
VBFHbb,32.24173303425971,32.24173303425971,32.09098572075379,31.915490654706662,9.839370046175077,9.820823052822242,9.722680760688572,,
ZHbb,32.70020301080715,32.70020301080715,32.51229709989521,32.39048595448399,9.917885138845206,9.885909146407617,9.796702680853667,,
WHbb,56.014320595270185,56.014320595270185,55.68961912767411,55.51113359847001,19.10746601933774,19.063102150054632,18.916180406448333,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.850277343583236,4.823413122979026,1.925879544563995,1.9220397666494795,1.905669229852938,,
ttHbb,156.94119216557863,156.94119216557863,155.94705721730352,154.8512284574327,96.96277123860979,85.81557467540266,74.21606240134093,,
HWW,80.56791059341468,80.56791059341468,80.06917628289587,79.44977797155293,63.490065562691505,52.68396852595001,43.51687144284523,,
Data,1047903.0,1047903.0,,,863853.0,854944.0,844713.0,1047903.0,1047903.0
