,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,BDTScore_JER_down >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9735,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.9965
HHbbVV,0.9147081031687907,0.9147081031687907,0.9086202562710456,0.9032729107620694,0.05238768313804003,0.03629486295101449,0.032661961142885575,0.03260360946527106,0.03240457628460147,,,
ggHH_kl_2p45_kt_1_HHbbVV,0.6688447704532685,0.6688447704532685,0.6650215844188102,0.6616978818114161,0.038386140231052655,0.026603444997504798,0.023489067278429244,0.023453743412811177,0.02335520084880148,,,
ggHH_kl_5_kt_1_HHbbVV,0.6956895087373941,0.6956895087373941,0.6920552540546806,0.6889646563286256,0.02651501594615,0.01873747848172181,0.015940772505340005,0.015940772505340005,0.015880843424065656,,,
ggHH_kl_0_kt_1_HHbbVV,1.1944766869755938,1.1944766869755938,1.1860618192897887,1.1784620440607205,0.06755628594358568,0.048413497510292974,0.043092622147666876,0.04299938323735334,0.04282338873100004,,,
VBFHHbbVV,0.017115373482989717,0.017115373482989717,0.017030649078712407,0.016911806406707055,0.0007730752773598238,0.0005633318269140004,0.00037343242004875434,0.00037343242004875434,0.0003697541537135443,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.060969753010587,9.060969753010587,9.043185519276458,9.02815771027725,0.7401461338713575,0.5548566583095903,0.2382625398105262,0.23775794296676328,0.23671069618727308,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269096111629358,15.269096111629358,15.23819151213184,15.21085147798668,1.2392154087281804,0.933386595853509,0.3977450544074933,0.39630414947488063,0.39390237207799994,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0173959132140592,0.0173959132140592,0.01731116970053962,0.01721529909865581,0.00044300293263950204,0.0002681493566238606,0.0001590360034436852,0.0001590360034436852,0.0001590360034436852,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138882127595444,8.138882127595444,8.124193038879898,8.112651573642607,0.6838492399334861,0.5169677411997348,0.21476758540006927,0.21444584620177914,0.21336717160771967,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04617824244896124,0.04617824244896124,0.04594810143671735,0.04559847624848856,0.0031624744098347523,0.0023206824595639304,0.001218908427487563,0.001218908427487563,0.0012130653560976108,,,
QCD,717986.216814939,956785.8146709627,948364.0361544128,941611.8267485962,19.17381408314674,0.0,0.0,0.0,0.0,,,
TT,63126.80979180276,63126.80979180276,62673.79614323329,62216.48155564703,9.970885102970549,2.2377401096825107,2.296878267891231,2.072792966259082,1.9989583147337704,,,
ST,5417.824558008516,5417.824558008516,5377.353115354821,5346.142315388623,0.7163401517499594,0.2793657353914413,0.2793657353914413,0.2793657353914413,0.2793657353914413,,,
W+Jets,9487.889178263631,9487.889178263631,9420.543436555281,9370.593747378542,2.3812340700128853,0.7565571911299217,0.7565571911299217,0.7565571911299217,0.7565571911299217,,,
Z+Jets,12055.822300436781,12055.822300436781,11963.681352389223,11895.51750751837,1.587892642561146,0.6487711088181619,0.6487711088181619,0.6487711088181619,0.6487711088181619,,,
Diboson,544.751536187187,544.751536187187,541.5333279703598,539.5308044193844,0.0,0.0,0.0,0.0,0.0,,,
ggFHbb,120.74204174793252,120.74204174793252,120.07126024952862,119.40043805803371,0.0,0.0,0.0,0.0,0.0,,,
VBFHbb,32.24173303425971,32.24173303425971,32.09098572075379,31.915490654706662,0.0,0.0,0.0,0.0,0.0,,,
ZHbb,32.70020301080715,32.70020301080715,32.51229709989521,32.39048595448399,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596,,,
WHbb,56.014320595270185,56.014320595270185,55.68961912767411,55.51113359847001,0.003516582583401531,0.0015407501131703208,0.0015407501131703208,0.0015407501131703208,0.0015407501131703208,,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.850277343583236,4.823413122979026,0.00042443859180320265,0.0,0.0,0.0,0.0,,,
ttHbb,156.94119216557863,156.94119216557863,155.94705721730352,154.8512284574327,0.02741051936124833,0.013362199358587443,0.012288294235752617,0.012288294235752617,0.01217195968825542,,,
HWW,80.56791059341468,80.56791059341468,80.06917628289587,79.44977797155293,0.49734101395088826,0.17093096801847052,0.15890788717555848,0.1525503572878546,0.14211667328616637,,,
Data,1047903.0,1047903.0,,,,13.0,13.0,13.0,12.0,1047903.0,1047903.0,99.0
