,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMS_up >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9737,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.9965
HHbbVV,1.108127280079604,1.108127280079604,1.1005594143174928,1.0940812392241102,0.06504719141714815,0.04425734558703538,0.03970749250373913,0.03964574897541645,0.03950217367000786,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.7966181927909652,0.7929251357407407,0.0459237338330384,0.0320780835265734,0.027851941407039806,0.027814874278651702,0.0277399422978984,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8351909835840614,0.8317756967171981,0.0338852368679928,0.02252695778412793,0.019969396852629474,0.019969396852629474,0.019931827587556832,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4226156102926775,1.4129101659183219,0.07376125723363683,0.049599392107651234,0.04348793427679436,0.04332565732196777,0.04328286627015126,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.021438896099242835,0.021315873451069035,0.001114855384594086,0.0007797809253422894,0.0004728045597063819,0.00047081858659370294,0.00046367900623372105,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,10.992704362069707,10.974097162767547,0.8813984707516673,0.6635983182403522,0.27941117528253934,0.27890552516616335,0.27767596270083755,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.47731328698665,18.44388166206678,1.4609232728315424,1.0919530670215778,0.47157757590062827,0.47051148985256164,0.4683790083925879,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.021387774292197015,0.02128691499756289,0.0005644416049813281,0.00036558574952642647,0.00021797309564443407,0.0002156872693361243,0.0002156872693361243,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.931050331915193,9.916982995696745,0.8112220033841269,0.6093898028912161,0.2505721432543543,0.2500023573538056,0.2491740573637504,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05592359011921978,0.05559233902875846,0.003188718554785839,0.0023431451011236455,0.001365125268850738,0.001365125268850738,0.0013498518647842273,
QCD,900603.372757249,1219440.0804636534,1208187.047601593,1199914.6854996895,15.889260257171221,0.0,0.0,0.0,0.0,
TT,76537.02908224265,76537.02908224265,76036.67089183381,75504.25522211792,12.830396988751149,2.7137641088244036,2.6191713943132235,2.3534226678672865,2.067955897702348,
ST,6617.229257123121,6617.229257123121,6568.071623368754,6530.558860743446,0.7719237185863825,0.0,0.0,0.0,0.0,
W+Jets,12421.273275458932,12421.273275458932,12341.31450378544,12265.115729916284,2.359230341213076,0.0,0.0,0.0,0.0,
Z+Jets,14717.02364266734,14717.02364266734,14601.426751424733,14517.101697865306,1.4377327411457197,0.775468207320707,0.775468207320707,0.775468207320707,0.775468207320707,
Diboson,703.6912877316817,703.6912877316817,699.1389217855917,695.3097641927543,0.0,0.0,0.0,0.0,0.0,
ggFHbb,138.81856362723408,138.81856362723408,138.12124620347993,137.14696515108136,0.0,0.0,0.0,0.0,0.0,
VBFHbb,40.60062332311162,40.60062332311162,40.47235839402518,40.3369080970762,0.0,0.0,0.0,0.0,0.0,
ZHbb,38.56092725636813,38.56092725636813,38.30734801182328,38.14508043229702,0.005879306153889316,0.005879306153889316,0.005879306153889316,0.005879306153889316,0.005879306153889316,
WHbb,66.232275837835,66.232275837835,65.79568909543664,65.5789510146088,0.002068149949222107,0.002068149949222107,0.002068149949222107,0.002068149949222107,0.002068149949222107,
ggZHbb,5.921431593700421,5.921431593700421,5.88900772329133,5.855043713430598,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,
ttHbb,187.9810602386041,187.9810602386041,186.85674951555848,185.63841488932138,0.0323587771487211,0.012894373744750592,0.012894373744750592,0.011663187857263104,0.009041270585822214,
HWW,97.55810924622651,97.55810924622651,97.00857794271565,96.26976864081334,0.6409985337128108,0.182567271172638,0.169054333809277,0.1557016896002768,0.1506901244673009,
Data,1331012.0,1331012.0,1331012.0,1331012.0,,24.0,22.0,22.0,22.0,130.0
