,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.108127280079604,1.108127280079604,1.1000283455508442,1.093563222944563,0.011009117010780157,0.005530963961569239,0.005530963961569239,0.005530963961569239,,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.7964922393403449,0.7928382739676629,0.010067084311750213,0.005469785714335047,0.005469785714335047,0.005465134012339429,,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.835058321937548,0.8316139992092635,0.0070220712350087195,0.0038024510060868546,0.0038024510060868546,0.0038024510060868546,,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4228120731930771,1.4130533265554628,0.01407736520657032,0.007933163734760653,0.007933163734760653,0.007933163734760653,,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.021440944541920692,0.021327016264919646,0.0013093723064653627,0.0006995882103045296,0.0006995882103045296,0.0006900224723746614,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,10.991439674710634,10.972925334791851,2.0574947311216185,1.2400106368175727,1.2382596847010143,1.2348368409575177,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.47629524681861,18.443564870299006,3.3367510181213125,1.9907093246694483,1.9870479109368535,1.9811979118567709,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.02138645978059985,0.021286140659751034,0.0006575180682451898,0.0003730958588426982,0.0003730958588426982,0.0003730958588426982,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.930464059707752,9.916398819305595,1.9451076403478298,1.166798168706119,1.1650123802546455,1.1620153158373687,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05588556143177802,0.05553878736217713,0.003858091574754344,0.0019824657905512695,0.0019824657905512695,0.001974255399921742,,
QCD,900603.372757249,1219440.0804636534,1208523.5722318934,1200033.7819080197,7.71705682833504,6.049274062699175,6.049274062699175,6.049274062699175,,
TT,76537.02908224265,76537.02908224265,76057.90175062326,75546.39913344698,2.999016999001345,0.26235626208860474,0.17590585443471063,0.17590585443471063,,
ST,6617.229257123121,6617.229257123121,6569.594060609604,6535.389534232395,0.262844709582459,0.0,0.0,0.0,,
W+Jets,12421.273275458932,12421.273275458932,12341.825146611021,12264.924202464117,0.8767605906549117,0.0,0.0,0.0,,
Z+Jets,14717.02364266734,14717.02364266734,14601.95480697945,14517.83317032325,0.0641416456478138,0.0,0.0,0.0,,
Diboson,703.6912877316817,703.6912877316817,699.274850691623,695.7930322677172,0.0,0.0,0.0,0.0,,
ggFHbb,138.81856362723408,138.81856362723408,138.1359310079184,137.16716893739732,0.0,0.0,0.0,0.0,,
VBFHbb,40.60062332311162,40.60062332311162,40.474722810632116,40.36086441370259,0.0,0.0,0.0,0.0,,
ZHbb,38.56092725636813,38.56092725636813,38.29663889299799,38.13726355471172,0.0,0.0,0.0,0.0,,
WHbb,66.232275837835,66.232275837835,65.79172252987414,65.57398960849181,0.0,0.0,0.0,0.0,,
ggZHbb,5.921431593700421,5.921431593700421,5.887904683527691,5.855217962847878,0.0,0.0,0.0,0.0,,
ttHbb,187.9810602386041,187.9810602386041,186.88290996039103,185.72296875559454,0.006165574380285853,0.0,0.0,0.0,,
HWW,97.55810924622651,97.55810924622651,97.04385400611787,96.33153606063196,0.12565653995308684,0.022886908957980946,0.02164348178097288,0.01978289958424393,,
Data,1331012.0,1331012.0,,,33.0,3.0,3.0,3.0,1331012.0,1331012.0
