,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,BDTScore_JER_up >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9734,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.9965
HHbbVV,1.706591057896172,1.706591057896172,1.7013385194247648,1.6968562725452987,0.14501339532075624,0.09956762408963515,0.08486257764270237,0.08474244297223205,0.08430191309296423,,,
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.3199485321453277,1.3172305214118927,0.10871491592958536,0.07420844258755417,0.06193590965836737,0.0618682633313852,0.06163852224118593,,,
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4506590439414464,1.447183638241645,0.08418235893901566,0.05805030669377546,0.04773208930831455,0.047658777366999014,0.04748451685444707,,,
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1449347408091266,2.1396830183260027,0.17328041357561855,0.11659822056726636,0.10019206617796825,0.1000476884912423,0.09960639114005579,,,
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.039239450664272105,0.039121885409098195,0.0026251026831131015,0.0018131691838393256,0.000993076408570504,0.0009890491057509391,0.0009860924704684765,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.7706457909178,25.75278049731667,2.6682708497331076,2.0114837995778956,0.7711257203490721,0.7698602340252665,0.7671431197456198,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.91561142064744,42.88083142315535,4.423190430080017,3.3293800607947173,1.2954517859066699,1.2926862564113564,1.2860565432347375,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.040881686129010684,0.04077054391692691,0.0016058794924561897,0.0011290382061506224,0.0006600604234450634,0.0006581989522069009,0.0006581989522069009,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.600937356829764,23.58456212433502,2.4300280179835285,1.8286048631120324,0.6941027217348785,0.6924440847237754,0.6892190252806859,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.0999103447043077,0.09957660932693446,0.009589946265285915,0.00703132900697215,0.0036608852439567238,0.0036595130576975348,0.0036595130576975348,,,
QCD,1126208.5372077704,1204990.9790546382,1200382.012896498,1196872.1266944017,52.78472149006251,4.74733661393482,4.079153202648582,4.079153202648582,4.079153202648582,,,
TT,126178.01663528237,126178.01663528237,125746.98835116654,125293.22760802964,30.555642785227228,6.202221754411931,6.202221754411931,5.434085560861114,4.7725344104849645,,,
ST,11213.018738828063,11213.018738828063,11168.928717403302,11142.405760436903,2.408840364374782,0.49342328339902114,0.49342328339902114,0.49342328339902114,0.49342328339902114,,,
W+Jets,15930.077126498532,15930.077126498532,15875.910881821987,15834.447832733507,6.83500217315965,1.934531058290474,1.8145731338052624,1.8145731338052624,1.8145731338052624,,,
Z+Jets,22772.15825578505,22772.15825578505,22683.690019930553,22627.89307859461,2.835289431074001,1.0486777947236894,1.0486777947236894,1.0486777947236894,1.0486777947236894,,,
Diboson,1008.665041486354,1008.665041486354,1005.8693429051912,1002.8762851988342,0.0,0.0,0.0,0.0,0.0,,,
ggFHbb,223.1087799478259,223.1087799478259,222.72256516683834,221.885637181582,0.033456804525291706,0.0018852928053611903,0.0018852928053611903,0.0018852928053611903,0.0018852928053611903,,,
VBFHbb,71.28205035333777,71.28205035333777,71.09353616711309,70.92054851701442,0.0,0.0,0.0,0.0,0.0,,,
ZHbb,67.12062616739404,67.12062616739404,66.91738349689737,66.80075080682559,0.004015090342246516,0.001692472237109429,0.001692472237109429,0.001692472237109429,0.001692472237109429,,,
WHbb,116.35029311753367,116.35029311753367,116.02018260223909,115.8886531559248,0.025071866881734704,0.019165735135376172,0.017954227728445397,0.017954227728445397,0.017954227728445397,,,
ggZHbb,10.311005316400479,10.311005316400479,10.280393102764487,10.256855442553917,0.0023145032141474865,0.0018804756214083845,0.0015649664772532357,0.0015649664772532357,0.0015649664772532357,,,
ttHbb,354.83801865944884,354.83801865944884,353.41729440378543,352.01734089665155,0.07775520186565493,0.025646936383928697,0.025646936383928697,0.023110317913657225,0.02126898945338324,,,
HWW,172.07437391871363,172.07437391871363,171.4077847036248,170.61905764119348,1.4136055645819674,0.366173954934607,0.3249955988098139,0.31772647688415234,0.3043627577880784,,,
Data,1383108.0,1383108.0,,,,41.0,40.0,38.0,37.0,1383108.0,1383108.0,197.0
