,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,BDTScore_JER_up >= 0.994,bbFatJetParticleNetMD_Txbb >= 0.9737,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.994
HHbbVV,1.108127280079604,1.108127280079604,1.1000283455508442,1.093563222944563,0.09791771511122661,0.06706681193003351,0.062000002974001475,0.06190843106029681,0.06166729763769245,,,
QCD,900603.372757249,1219440.0804636534,1208523.5722318934,1200033.7819080197,118.27209388779994,21.8250531415681,21.8250531415681,21.8250531415681,21.8250531415681,,,
TT,76537.02908224265,76537.02908224265,76057.90175062326,75546.39913344698,29.463271008533255,5.617466807441477,5.522874092930296,4.8305170144544025,4.35048149091565,,,
ST,6617.229257123121,6617.229257123121,6569.594060609604,6535.389534232395,3.181642984940527,0.6515245689484095,0.6515245689484095,0.6515245689484095,0.6515245689484095,,,
W+Jets,12421.273275458932,12421.273275458932,12341.825146611021,12264.924202464117,6.333222875453331,0.3584676495434992,0.3584676495434992,0.3584676495434992,0.3584676495434992,,,
Z+Jets,14717.02364266734,14717.02364266734,14601.95480697945,14517.83317032325,4.05263155691451,1.9590271740024,1.9590271740024,1.9590271740024,1.9590271740024,,,
Diboson,703.6912877316817,703.6912877316817,699.274850691623,695.7930322677172,0.28002666601210957,0.0,0.0,0.0,0.0,,,
ggFHbb,138.81856362723408,138.81856362723408,138.1359310079184,137.16716893739732,0.0,0.0,0.0,0.0,0.0,,,
VBFHbb,40.60062332311162,40.60062332311162,40.474722810632116,40.36086441370259,0.0,0.0,0.0,0.0,0.0,,,
ZHbb,38.56092725636813,38.56092725636813,38.29663889299799,38.13726355471172,0.01138130942536052,0.005879306153889316,0.005879306153889316,0.005879306153889316,0.005879306153889316,,,
WHbb,66.232275837835,66.232275837835,65.79172252987414,65.57398960849181,0.015246717288579861,0.015246717288579861,0.015246717288579861,0.015246717288579861,0.015246717288579861,,,
ggZHbb,5.921431593700421,5.921431593700421,5.887904683527691,5.855217962847878,0.0011735977622782739,0.0009335550217919935,0.0009335550217919935,0.0009335550217919935,0.0009335550217919935,,,
ttHbb,187.9810602386041,187.9810602386041,186.88290996039103,185.72296875559454,0.08368139003384513,0.03705128039636061,0.03705128039636061,0.03337433370230909,0.029426987127381544,,,
HWW,97.55810924622651,97.55810924622651,97.04385400611787,96.33153606063196,1.014650654389965,0.279952996623696,0.2621709438551936,0.246611738615573,0.23546405419750266,,,
Data,1331012.0,1331012.0,,,,63.0,61.0,61.0,61.0,1331012.0,1331012.0,357.0
