,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,BDTScore_JES_down >= 0.994,bbFatJetParticleNetMD_Txbb >= 0.9737,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.994
HHbbVV,1.108127280079604,1.108127280079604,1.0917069850409113,1.0781356268307336,0.09649219427130959,0.06631789451243998,0.06125647956468658,0.061164907650981905,0.06088576690692725,,,
QCD,900603.372757249,1219440.0804636534,1195253.18073095,1177719.865509848,115.42821379029547,21.8250531415681,21.8250531415681,21.8250531415681,21.8250531415681,,,
TT,76537.02908224265,76537.02908224265,75455.8672753345,74346.61812260182,28.96007770683179,5.356463162264451,5.261870447753271,4.621097842518454,4.141062318979701,,,
ST,6617.229257123121,6617.229257123121,6513.894336293484,6437.416751030387,3.850363926550748,0.8451368542895044,0.8451368542895044,0.8451368542895044,0.8451368542895044,,,
W+Jets,12421.273275458932,12421.273275458932,12242.321861551814,12084.680852048914,6.139092512163117,0.3584676495434992,0.3584676495434992,0.3584676495434992,0.3584676495434992,,,
Z+Jets,14717.02364266734,14717.02364266734,14468.821057932211,14291.993481946272,4.1837346672830344,2.0901302843709244,2.0901302843709244,2.0901302843709244,2.0901302843709244,,,
Diboson,703.6912877316817,703.6912877316817,693.0662177097603,685.7998823459604,0.28002666601210957,0.0,0.0,0.0,0.0,,,
ggFHbb,138.81856362723408,138.81856362723408,137.1939721773011,135.31119077640614,0.0,0.0,0.0,0.0,0.0,,,
VBFHbb,40.60062332311162,40.60062332311162,40.24272494114581,39.87078912776376,0.0,0.0,0.0,0.0,0.0,,,
ZHbb,38.56092725636813,38.56092725636813,38.05426925581597,37.73628835069991,0.009527084287315152,0.005879306153889316,0.005879306153889316,0.005879306153889316,0.005879306153889316,,,
WHbb,66.232275837835,66.232275837835,65.32166411216625,64.87958091280734,0.014273745112078485,0.014273745112078485,0.014273745112078485,0.014273745112078485,0.014273745112078485,,,
ggZHbb,5.921431593700421,5.921431593700421,5.849255584936747,5.77720182418215,0.0011735977622782739,0.0009335550217919935,0.0009335550217919935,0.0009335550217919935,0.0009335550217919935,,,
ttHbb,187.9810602386041,187.9810602386041,185.57110999047728,183.10434371442994,0.08568927865554739,0.03651958257747625,0.03651958257747625,0.03337220743170114,0.029424860856773587,,,
HWW,97.55810924622651,97.55810924622651,96.30840345343226,94.86719745065234,1.0113298600535265,0.2811378946302169,0.26245627011756356,0.24616606109655645,0.23501837667848607,,,
Data,1331012.0,1331012.0,,,,63.0,61.0,61.0,61.0,1331012.0,1331012.0,357.0
