,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMR_up >= 0.994,bbFatJetParticleNetMD_Txbb >= 0.9737,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.994
HHbbVV,1.108127280079604,1.108127280079604,1.1005594143174928,1.0940812392241102,0.08912895769747617,0.060730565412626586,0.05583613500577198,0.05577439147744931,0.05554827301350876,
QCD,900603.372757249,1219440.0804636534,1208187.047601593,1199914.6854996895,128.32580327253663,59.61087720411637,59.61087720411637,59.61087720411637,59.61087720411637,
TT,76537.02908224265,76537.02908224265,76036.67089183381,75504.25522211792,31.725606563676717,5.899143262804882,5.804550548293703,5.238578234158016,4.7327351503661035,
ST,6617.229257123121,6617.229257123121,6568.071623368754,6530.558860743446,3.2000911050011074,0.6910754924891285,0.6910754924891285,0.6910754924891285,0.6910754924891285,
W+Jets,12421.273275458932,12421.273275458932,12341.31450378544,12265.115729916284,5.723239652046747,0.36214170739445384,0.36214170739445384,0.36214170739445384,0.36214170739445384,
Z+Jets,14717.02364266734,14717.02364266734,14601.426751424733,14517.101697865306,3.9669964418757346,2.2940540838730086,2.2940540838730086,2.2940540838730086,2.2940540838730086,
Diboson,703.6912877316817,703.6912877316817,699.1389217855917,695.3097641927543,0.0,0.0,0.0,0.0,0.0,
ggFHbb,138.81856362723408,138.81856362723408,138.12124620347993,137.14696515108136,0.0,0.0,0.0,0.0,0.0,
VBFHbb,40.60062332311162,40.60062332311162,40.47235839402518,40.3369080970762,0.0,0.0,0.0,0.0,0.0,
ZHbb,38.56092725636813,38.56092725636813,38.30734801182328,38.14508043229702,0.008469514667415714,0.005411809790019684,0.005411809790019684,0.005411809790019684,0.005411809790019684,
WHbb,66.232275837835,66.232275837835,65.79568909543664,65.5789510146088,0.01426469358034505,0.01426469358034505,0.01426469358034505,0.01426469358034505,0.01426469358034505,
ggZHbb,5.921431593700421,5.921431593700421,5.88900772329133,5.855043713430598,0.002018979757685777,0.0015815535149588827,0.0015815535149588827,0.0015815535149588827,0.0015815535149588827,
ttHbb,187.9810602386041,187.9810602386041,186.85674951555848,185.63841488932138,0.09494184378387993,0.03913221187344908,0.03913221187344908,0.03545526517939756,0.030299716122608365,
HWW,97.55810924622651,97.55810924622651,97.00857794271565,96.26976864081334,0.9230380756462122,0.2526728256328123,0.23846637392310355,0.22516043261352728,0.21401274819545693,
Data,1331012.0,1331012.0,1331012.0,1331012.0,,63.0,61.0,61.0,61.0,357.0
