,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.108127280079604,1.108127280079604,1.1007654125568072,1.0943466848718584,0.011021769367576756,0.005530963961569239,0.005530963961569239,0.005530963961569239,,
QCD,900603.372757249,1219440.0804636534,1208182.4786762223,1200009.3644063028,7.71705682833504,6.049274062699175,6.049274062699175,6.049274062699175,,
TT,76537.02908224265,76537.02908224265,76005.7888408999,75436.82978583084,3.027786048276932,0.26235626208860474,0.17590585443471063,0.17590585443471063,,
ST,6617.229257123121,6617.229257123121,6566.328361234981,6530.907835704748,0.262844709582459,0.0,0.0,0.0,,
W+Jets,12421.273275458932,12421.273275458932,12339.320639263746,12260.495964100859,0.8767605906549117,0.0,0.0,0.0,,
Z+Jets,14717.02364266734,14717.02364266734,14597.661223947085,14510.332852864116,0.0641416456478138,0.0,0.0,0.0,,
Diboson,703.6912877316817,703.6912877316817,698.579291598942,694.5916383161529,0.0,0.0,0.0,0.0,,
ggFHbb,138.81856362723408,138.81856362723408,138.15554634923888,137.17501694965563,0.0,0.0,0.0,0.0,,
VBFHbb,40.60062332311162,40.60062332311162,40.49535934358885,40.33863807551278,0.0,0.0,0.0,0.0,,
ZHbb,38.56092725636813,38.56092725636813,38.30942955891692,38.14570716432015,0.0,0.0,0.0,0.0,,
WHbb,66.232275837835,66.232275837835,65.79959420574862,65.60151072204596,0.0,0.0,0.0,0.0,,
ggZHbb,5.921431593700421,5.921431593700421,5.889087636165095,5.8513654951795635,0.0,0.0,0.0,0.0,,
ttHbb,187.9810602386041,187.9810602386041,186.82068755865188,185.52754103860983,0.006165574380285853,0.0,0.0,0.0,,
HWW,97.55810924622651,97.55810924622651,96.95233954850245,96.16828112430852,0.12565653995308684,0.022886908957980946,0.02164348178097288,0.01978289958424393,,
Data,1331012.0,1331012.0,,,33.0,3.0,3.0,3.0,1331012.0,1331012.0
