,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9734,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.706591057896172,1.706591057896172,1.7013385194247648,1.6968562725452987,0.5616323796229203,0.5606925411110819,0.5572738464272029,,
QCD,1126208.5372077704,1204990.9790546382,1200382.012896498,1196872.1266944017,963391.5322925836,961802.5297232523,957581.6532729592,,
TT,126178.01663528237,126178.01663528237,125746.98835116654,125293.22760802964,101325.98559534259,90382.71616835098,79850.00506250892,,
ST,11213.018738828063,11213.018738828063,11168.928717403302,11142.405760436903,9153.295190506544,8322.492755326817,7427.2314390106385,,
W+Jets,15930.077126498532,15930.077126498532,15875.910881821987,15834.447832733507,13171.752441725583,13142.1006628037,13100.230447438887,,
Z+Jets,22772.15825578505,22772.15825578505,22683.690019930553,22627.89307859461,13015.94719027948,12983.670973805292,12912.594420613917,,
Diboson,1008.665041486354,1008.665041486354,1005.8693429051912,1002.8762851988342,586.8449724538984,557.3088382591943,523.4241088602241,,
ggFHbb,223.1087799478259,223.1087799478259,222.72256516683834,221.885637181582,73.85557850246693,73.6783176957365,73.3155441626615,,
VBFHbb,71.28205035333777,71.28205035333777,71.09353616711309,70.92054851701442,21.039388291905816,20.92531981439091,20.760009187407967,,
ZHbb,67.12062616739404,67.12062616739404,66.91738349689737,66.80075080682559,20.84147570358941,20.785986978399492,20.602121163849077,,
WHbb,116.35029311753367,116.35029311753367,116.02018260223909,115.8886531559248,39.43341061646057,39.33388418853052,39.01362320016284,,
ggZHbb,10.311005316400479,10.311005316400479,10.280393102764487,10.256855442553917,4.348260655817542,4.333994564945213,4.298989621127662,,
ttHbb,354.83801865944884,354.83801865944884,353.41729440378543,352.01734089665155,225.24827457217864,198.68769059692127,172.26462824682525,,
HWW,172.07437391871363,172.07437391871363,171.4077847036248,170.61905764119348,139.2619927825572,115.66973682260304,95.40691583677669,,
Data,1383108.0,1383108.0,,,1137620.0,1122321.0,1106195.0,1383108.0,1383108.0
