,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9734,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.706591057896172,1.706591057896172,1.6956488206244413,1.6870219762186835,0.5576064418162486,0.5566714046449426,0.5532827601351938,,
QCD,1126208.5372077704,1204990.9790546382,1195580.4197497359,1188493.8378485164,956568.6094957317,954999.9544626558,950817.0274845026,,
TT,126178.01663528237,126178.01663528237,125277.51309674431,124328.8175008741,100529.65721549584,89704.4926932598,79292.65828902826,,
ST,11213.018738828063,11213.018738828063,11119.661879992498,11058.864901644467,9082.442629881198,8261.23643206665,7374.545835472145,,
W+Jets,15930.077126498532,15930.077126498532,15826.798062580072,15744.192115021908,13097.030870784838,13067.59627665905,13026.22738243096,,
Z+Jets,22772.15825578505,22772.15825578505,22591.343797623595,22477.3522387971,12932.661138642598,12900.664713706423,12830.323032017795,,
Diboson,1008.665041486354,1008.665041486354,1001.555468829989,995.7367767362746,583.1209416604997,553.879699334339,520.0120790581569,,
ggFHbb,223.1087799478259,223.1087799478259,222.20721408699214,220.60052287185852,73.53310451199403,73.35584370526358,72.99599309555967,,
VBFHbb,71.28205035333777,71.28205035333777,70.93247270180143,70.49767611071601,20.897948573357844,20.78388009584294,20.6195755455181,,
ZHbb,67.12062616739404,67.12062616739404,66.73802979718431,66.52688948307338,20.72475387121409,20.669265146024166,20.48588828654088,,
WHbb,116.35029311753367,116.35029311753367,115.70531888025883,115.43919849488618,39.233447332788046,39.134060724000584,38.81485606242783,,
ggZHbb,10.311005316400479,10.311005316400479,10.25139710473921,10.200185500756241,4.32698056535032,4.312749533410825,4.277769779296909,,
ttHbb,354.83801865944884,354.83801865944884,351.98243580111443,349.16857078942746,223.33465319369287,197.0876869118622,170.92979930340212,,
HWW,172.07437391871363,172.07437391871363,170.7911521048616,169.23726416010865,138.07611731548747,114.73761241687579,94.69663703439863,,
Data,1383108.0,1383108.0,,,1137620.0,1122321.0,1106195.0,1383108.0,1383108.0
