,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,0.9147081031687907,0.9147081031687907,0.9021974589337566,0.8921274934572291,0.009553627596180605,0.0043518155062205,0.0043518155062205,0.004328512167243737,,
QCD,717986.216814939,956785.8146709627,938661.3615136005,924579.0079995885,5.766758281634221,0.0,0.0,0.0,,
TT,63126.80979180276,63126.80979180276,62281.26379618576,61419.84821786183,1.7730969429889694,-0.014322698241955409,-0.014322698241955409,-0.014322698241955409,,
ST,5417.824558008516,5417.824558008516,5343.110583081037,5284.0364074716335,0.055091396808934615,0.0,0.0,0.0,,
W+Jets,9487.889178263631,9487.889178263631,9357.72731042376,9249.165805487482,0.43288591168609253,0.09674163352935557,0.09674163352935557,0.09674163352935557,,
Z+Jets,12055.822300436781,12055.822300436781,11862.409496423767,11728.495220567063,0.13412189797405288,0.0,0.0,0.0,,
Diboson,544.751536187187,544.751536187187,538.0128172568578,533.0567491419495,0.0,0.0,0.0,0.0,,
ggFHbb,120.74204174793252,120.74204174793252,119.40071843999348,117.91244552095317,0.0,0.0,0.0,0.0,,
VBFHbb,32.24173303425971,32.24173303425971,31.963053181455805,31.627848698776596,0.0,0.0,0.0,0.0,,
ZHbb,32.70020301080715,32.70020301080715,32.31418583302164,32.04157172822267,0.0,0.0,0.0,0.0,,
WHbb,56.014320595270185,56.014320595270185,55.31129788288006,54.93711011186556,0.0,0.0,0.0,0.0,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.818097766172652,4.7680686559651555,0.0002247348412580244,0.0,0.0,0.0,,
ttHbb,156.94119216557863,156.94119216557863,154.9802638394503,152.95156197255415,0.0053023453275395736,0.001073905122834825,0.001073905122834825,0.001073905122834825,,
HWW,80.56791059341468,80.56791059341468,79.61251131832795,78.50954646527252,0.07893740375718174,0.012051867493711397,0.012051867493711397,0.012051867493711397,,
Data,1047903.0,1047903.0,,,24.0,1.0,1.0,1.0,1047903.0,1047903.0
