,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.108127280079604,1.108127280079604,1.1007654125568072,1.0943466848718584,0.3689838386278276,0.36835214279288725,0.36649671577537146,,
QCD,900603.372757249,1219440.0804636534,1208182.4786762223,1200009.3644063028,968115.9810780144,966480.6108474126,963385.5017445618,,
TT,76537.02908224265,76537.02908224265,76005.7888408999,75436.82978583084,59698.85476465417,53536.31787896018,47336.74932332276,,
ST,6617.229257123121,6617.229257123121,6566.328361234981,6530.907835704748,5277.757625123997,4826.973151965493,4353.16596780443,,
W+Jets,12421.273275458932,12421.273275458932,12339.320639263746,12260.495964100859,10264.915822931636,10237.566087955458,10211.662984640825,,
Z+Jets,14717.02364266734,14717.02364266734,14597.661223947085,14510.332852864116,8387.14164328013,8366.555039545336,8327.284481218028,,
Diboson,703.6912877316817,703.6912877316817,698.579291598942,694.5916383161529,427.30679500407336,408.17954741521237,391.04747197968345,,
ggFHbb,138.81856362723408,138.81856362723408,138.15554634923888,137.17501694965563,45.32742148315782,45.167718439560424,44.76830278430572,,
VBFHbb,40.60062332311162,40.60062332311162,40.49535934358885,40.33863807551278,12.901762241315136,12.879058329558266,12.772876345528337,,
ZHbb,38.56092725636813,38.56092725636813,38.30942955891692,38.14570716432015,11.798125796489272,11.74647537613979,11.666431838054264,,
WHbb,66.232275837835,66.232275837835,65.79959420574862,65.60151072204596,22.93473446572348,22.89260620132914,22.763555880320233,,
ggZHbb,5.921431593700421,5.921431593700421,5.889087636165095,5.8513654951795635,2.3421762080813324,2.3366467113663054,2.317914490091244,,
ttHbb,187.9810602386041,187.9810602386041,186.82068755865188,185.52754103860983,115.92756418020977,102.6910162332245,89.08426446304743,,
HWW,97.55810924622651,97.55810924622651,96.95233954850245,96.16828112430852,77.18297347550448,64.50712669535055,53.51142845068544,,
Data,1331012.0,1331012.0,,,1100458.0,1090240.0,1078427.0,1331012.0,1331012.0
