,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,BDTScore_JES_up >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9737,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.995
HHbbVV,1.108127280079604,1.108127280079604,1.1081035713714382,1.1080653903338389,0.08638643869256094,0.0590730967629867,0.054170027632122225,0.05407798669718431,0.053847482280629425,,,
QCD,900603.372757249,1219440.0804636534,1219439.4799126645,1219422.47933788,90.32965801184193,21.19594266446998,21.19594266446998,21.19594266446998,21.19594266446998,,,
TT,76537.02908224265,76537.02908224265,76534.95448087924,76533.07862026204,22.413108445962003,4.287401722514421,4.192809008003242,3.723450831648008,3.376186873321967,,,
ST,6617.229257123121,6617.229257123121,6616.778108324861,6616.821960574154,1.8728099135291516,0.28877678469869006,0.28877678469869006,0.28877678469869006,0.28877678469869006,,,
W+Jets,12421.273275458932,12421.273275458932,12421.078715069132,12420.818420918185,5.098138750085618,0.3048935812949931,0.3048935812949931,0.3048935812949931,0.3048935812949931,,,
Z+Jets,14717.02364266734,14717.02364266734,14716.544046931334,14716.383412145502,2.8810781281593316,1.4071970900431099,1.4071970900431099,1.4071970900431099,1.4071970900431099,,,
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,703.6912877316817,0.0,0.0,0.0,0.0,0.0,,,
ggFHbb,138.81856362723408,138.81856362723408,138.81058175779788,138.81058175779788,0.0,0.0,0.0,0.0,0.0,,,
VBFHbb,40.60062332311162,40.60062332311162,40.591331153836336,40.591331153836336,0.0,0.0,0.0,0.0,0.0,,,
ZHbb,38.56092725636813,38.56092725636813,38.55979972772222,38.55979972772222,0.007126048417925865,0.005879306153889316,0.005879306153889316,0.005879306153889316,0.005879306153889316,,,
WHbb,66.232275837835,66.232275837835,66.23173382727803,66.2285336555317,0.014088591237865196,0.014088591237865196,0.014088591237865196,0.014088591237865196,0.014088591237865196,,,
ggZHbb,5.921431593700421,5.921431593700421,5.921287148529628,5.921287148529628,0.00047704591933229177,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,,,
ttHbb,187.9810602386041,187.9810602386041,187.97421160742965,187.97065844812124,0.05899303414017488,0.026197376744968248,0.026197376744968248,0.023050001599193133,0.019102655024265586,,,
HWW,97.55810924622651,97.55810924622651,97.55627725126962,97.5572062066977,0.8663129571162814,0.2363249028356767,0.22048626103983343,0.20492705580021292,0.19765061490021574,,,
Data,1331012.0,1331012.0,,,,49.0,47.0,47.0,47.0,1331012.0,1331012.0,266.0
