,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMS_down >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9737,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.995
HHbbVV,1.108127280079604,1.108127280079604,1.1005594143174928,1.0940812392241102,0.08549401456784411,0.0583900396322712,0.05341870181820006,0.053356958289877396,0.05311018453370786,
QCD,900603.372757249,1219440.0804636534,1208187.047601593,1199914.6854996895,48.4456170510766,12.57486236168873,12.57486236168873,12.57486236168873,12.57486236168873,
TT,76537.02908224265,76537.02908224265,76036.67089183381,75504.25522211792,22.211504800076185,4.433628761254556,4.3390360467433755,3.8478917194103026,3.500627761084262,
ST,6617.229257123121,6617.229257123121,6568.071623368754,6530.558860743446,1.9126598236640358,0.0,0.0,0.0,0.0,
W+Jets,12421.273275458932,12421.273275458932,12341.31450378544,12265.115729916284,4.507611768067762,0.2301133473902625,0.2301133473902625,0.2301133473902625,0.2301133473902625,
Z+Jets,14717.02364266734,14717.02364266734,14601.426751424733,14517.101697865306,2.793467029416796,1.3777571260325239,1.3777571260325239,1.3777571260325239,1.3777571260325239,
Diboson,703.6912877316817,703.6912877316817,699.1389217855917,695.3097641927543,0.0,0.0,0.0,0.0,0.0,
ggFHbb,138.81856362723408,138.81856362723408,138.12124620347993,137.14696515108136,0.0,0.0,0.0,0.0,0.0,
VBFHbb,40.60062332311162,40.60062332311162,40.47235839402518,40.3369080970762,0.0,0.0,0.0,0.0,0.0,
ZHbb,38.56092725636813,38.56092725636813,38.30734801182328,38.14508043229702,0.007126048417925865,0.005879306153889316,0.005879306153889316,0.005879306153889316,0.005879306153889316,
WHbb,66.232275837835,66.232275837835,65.79568909543664,65.5789510146088,0.011822148038461931,0.011822148038461931,0.011822148038461931,0.011822148038461931,0.011822148038461931,
ggZHbb,5.921431593700421,5.921431593700421,5.88900772329133,5.855043713430598,0.00047704591933229177,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,
ttHbb,187.9810602386041,187.9810602386041,186.85674951555848,185.63841488932138,0.0585293959936709,0.026370262416710727,0.026370262416710727,0.02322288727093562,0.01927554069600807,
HWW,97.55810924622651,97.55810924622651,97.00857794271565,96.26976864081334,0.8739677391378788,0.2398828915002619,0.22338336663337538,0.20907440254768475,0.19974990188570302,
Data,1331012.0,1331012.0,1331012.0,1331012.0,,49.0,47.0,47.0,47.0,266.0
