,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMS_up >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9714,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.995
HHbbVV,1.676130328580837,1.676130328580837,1.6712036429905937,1.6670538167650584,0.17071075291235907,0.11915302218967642,0.1061659960874845,0.10603811620734628,0.1055174555032789,
QCD,1117757.9198795073,1251971.716351885,1247814.9781850395,1244750.07933536,175.41016773784762,16.218321634976864,15.52553180100313,15.52553180100313,15.52553180100313,
TT,114729.52068857195,114729.52068857195,114375.90267312861,114019.19131760647,38.34469289860431,6.662205951534324,6.6116164857383595,5.736271215031528,5.551140255177346,
ST,9991.097357360093,9991.097357360093,9956.444147193402,9930.244963807756,4.4863277085238416,1.0019694498900742,1.0019694498900742,1.0019694498900742,1.0019694498900742,
W+Jets,14710.822213085146,14710.822213085146,14672.491652608198,14641.631954844934,9.111237897256053,1.7722944782359622,1.7722944782359622,1.7722944782359622,1.7722944782359622,
Z+Jets,21597.004857058182,21597.004857058182,21522.694272012075,21479.126831498128,5.9045702811986915,2.8440932306623323,2.777677119892429,2.777677119892429,2.777677119892429,
Diboson,936.1606241609028,936.1606241609028,932.3120773317856,930.6761200627391,0.28001420954562,0.0,0.0,0.0,0.0,
ggFHbb,224.56874142701201,224.56874142701201,224.09132954605533,223.5656191986538,0.036758875733498654,0.02215841641627536,0.02215841641627536,0.02215841641627536,0.02215841641627536,
VBFHbb,66.27722451912622,66.27722451912622,66.16198883813554,66.0249915252132,0.0007622901412900761,0.0,0.0,0.0,0.0,
ZHbb,63.465766584473805,63.465766584473805,63.322797344840964,63.235634550720064,0.02074827483458892,0.011652836326522037,0.010280985966039774,0.010280985966039774,0.010280985966039774,
WHbb,108.86564442012758,108.86564442012758,108.63886528171966,108.52664862322723,0.05433882678992438,0.03734892732605454,0.03558868964362225,0.03558868964362225,0.03558868964362225,
ggZHbb,9.5080271296301,9.5080271296301,9.483212575914823,9.46312346044892,0.0015869411318961701,0.001303331904699807,0.001303331904699807,0.001303331904699807,0.001303331904699807,
ttHbb,312.2634270090423,312.2634270090423,311.1744105719533,310.21793216817366,0.12941485927408,0.05268173022777194,0.0502692864459733,0.044882938059666255,0.044882938059666255,
HWW,150.72907678953348,150.72907678953348,150.22850888691733,149.66583899443282,1.5264501949133362,0.45180768172477914,0.4190035956744541,0.4155152638563189,0.3989088236921049,
Data,1414872.0,1414872.0,1414872.0,1414872.0,,76.0,74.0,72.0,70.0,359.0
