,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9734,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.706591057896172,1.706591057896172,1.7065851517004555,1.706563929098256,0.565340244469947,0.5643750267567398,0.5609078506591658,,
QCD,1126208.5372077704,1204990.9790546382,1204968.588130011,1204955.485744056,969955.1761521152,968353.347858271,964066.9968496168,,
TT,126178.01663528237,126178.01663528237,126174.28689269017,126170.12612420504,102041.45223617145,91005.63307566212,80372.62304244752,,
ST,11213.018738828063,11213.018738828063,11212.048811462337,11211.655393615407,9211.58553800169,8372.060414461577,7469.640696226439,,
W+Jets,15930.077126498532,15930.077126498532,15929.567731787893,15929.209710016235,13253.834368638529,13223.96049527209,13181.814020197018,,
Z+Jets,22772.15825578505,22772.15825578505,22771.53543504107,22770.964652224375,13094.865603482669,13062.50359351143,12990.880633796216,,
Diboson,1008.665041486354,1008.665041486354,1008.6552751889706,1008.6552751889706,590.6554392055764,559.7869976444001,525.8708430233122,,
ggFHbb,223.1087799478259,223.1087799478259,223.1087799478259,223.10648942140045,74.28940374812589,74.11086476428893,73.74809123121392,,
VBFHbb,71.28205035333777,71.28205035333777,71.28205035333777,71.28205035333777,21.14102453338168,21.026956055866776,20.861645428883833,,
ZHbb,67.12062616739404,67.12062616739404,67.12052250655093,67.12052250655093,20.964423432970698,20.908695420041912,20.72346157309468,,
WHbb,116.35029311753367,116.35029311753367,116.34265009656505,116.33875840971054,39.621137674269235,39.5216112463392,39.19692709633989,,
ggZHbb,10.311005316400479,10.311005316400479,10.310920939333991,10.310900618783364,4.372806874567642,4.358540783695313,4.322922723947651,,
ttHbb,354.83801865944884,354.83801865944884,354.82351614889456,354.81594162326763,227.18408926304707,200.34891255643097,173.63367681394365,,
HWW,172.07437391871363,172.07437391871363,172.07336962048205,172.06752156096098,140.45453823202814,116.65136782778039,96.179195733264,,
Data,1383108.0,1383108.0,,,1137620.0,1122321.0,1106195.0,1383108.0,1383108.0
