,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9735,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,0.9147081031687907,0.9147081031687907,0.9145866495848747,0.9145155175981409,0.305917752391553,0.305263528326135,0.30314808666745197,,
ggHH_kl_2p45_kt_1_HHbbVV,0.6688447704532685,0.6688447704532685,0.6687396247885888,0.6687104037350293,0.23275426464505133,0.23238199528164596,0.23093123065825488,,
ggHH_kl_5_kt_1_HHbbVV,0.6956895087373941,0.6956895087373941,0.6956342370058112,0.6956173642658675,0.30952777314462004,0.3086767919452382,0.3070728930639235,,
ggHH_kl_0_kt_1_HHbbVV,1.1944766869755938,1.1944766869755938,1.1943528822540315,1.1942766748528373,0.4024242912896605,0.4016670735193816,0.3990567021714361,,
VBFHHbbVV,0.017115373482989717,0.017115373482989717,0.017115373482989717,0.017108694186479038,0.005860718504689332,0.0058383352219056935,0.005782027174972019,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.060969753010587,9.060969753010587,9.060422891390717,9.060189851549257,2.4536619856723996,2.448784417602738,2.4353334790455072,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269096111629358,15.269096111629358,15.268498694962206,15.267919985216187,4.150357263519194,4.14060615983414,4.119649791548307,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0173959132140592,0.0173959132140592,0.017392009819169624,0.017391553707081148,0.008566853254392624,0.008539118080922198,0.00847014148616479,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138882127595444,8.138882127595444,8.138437322164155,8.138179841158967,2.1978258027466766,2.192324872193242,2.180188008028871,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04617824244896124,0.04617824244896124,0.04617824244896124,0.046172661222857174,0.014390818577624939,0.014361918398603896,0.014307645065065556,,
QCD,717986.216814939,956785.8146709627,956667.0157052347,956553.6806509071,766526.3304103694,764907.8171865428,761977.3142833735,,
TT,63126.80979180276,63126.80979180276,63116.826564698415,63107.18599108666,50192.86646679405,44914.00808985029,39659.13643348703,,
ST,5417.824558008516,5417.824558008516,5417.184318734426,5416.5525968038955,4390.6354254617745,4020.1160194838417,3607.9946749491046,,
W+Jets,9487.889178263631,9487.889178263631,9487.064804758824,9486.32235540528,7928.025752653814,7907.657693716114,7882.269405542142,,
Z+Jets,12055.822300436781,12055.822300436781,12054.071026015921,12053.005237267775,6875.70662735953,6858.460353717322,6819.2734312648645,,
Diboson,544.751536187187,544.751536187187,544.751536187187,544.751536187187,339.8788299214829,323.89093486558403,306.95691301127385,,
ggFHbb,120.74204174793252,120.74204174793252,120.71963054554595,120.71963054554595,39.529017677909756,39.50758051702826,39.31834075186762,,
VBFHbb,32.24173303425971,32.24173303425971,32.23831123818383,32.23831123818383,9.947509860624645,9.92896286727181,9.83082057513814,,
ZHbb,32.70020301080715,32.70020301080715,32.696277043463795,32.696277043463795,10.043761604293165,10.01178561185558,9.922579146301626,,
WHbb,56.014320595270185,56.014320595270185,56.00371732736636,56.00176596226789,19.30942239165516,19.264641668568935,19.11563514309683,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.879327906819619,4.87917304753225,1.9489822828122803,1.945052930094757,1.928139099730714,,
ttHbb,156.94119216557863,156.94119216557863,156.92518417388314,156.89562337944528,98.30719516610125,86.96484142465988,75.17459901940965,,
HWW,80.56791059341468,80.56791059341468,80.56035519769166,80.54779884286333,64.35424250722694,53.373180245057576,44.053122088223716,,
Data,1047903.0,1047903.0,,,863853.0,854944.0,844713.0,1047903.0,1047903.0
