,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,BDTScore_JER_down >= 0.994,bbFatJetParticleNetMD_Txbb >= 0.9735,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.994
HHbbVV,0.9147081031687907,0.9147081031687907,0.9086202562710456,0.9032729107620694,0.07952013081480436,0.05517391572214099,0.051235382875883445,0.05117703119826893,0.050931304132409407,,,
ggHH_kl_2p45_kt_1_HHbbVV,0.6688447704532685,0.6688447704532685,0.6650215844188102,0.6616978818114161,0.057679996463041804,0.039750775311795675,0.03627456435084192,0.03621267702800118,0.03606577279169164,,,
ggHH_kl_5_kt_1_HHbbVV,0.6956895087373941,0.6956895087373941,0.6920552540546806,0.6889646563286256,0.040659598168642286,0.028815310971715344,0.02573870484050662,0.025671309115082176,0.02560739221670618,,,
ggHH_kl_0_kt_1_HHbbVV,1.1944766869755938,1.1944766869755938,1.1860618192897887,1.1784620440607205,0.10124641208322742,0.07252215010315831,0.06692880901251771,0.06678082211575534,0.06646196800651898,,,
VBFHHbbVV,0.017115373482989717,0.017115373482989717,0.017030649078712407,0.016911806406707055,0.0011374384864210126,0.0008432385275661412,0.0005753848480565197,0.0005753848480565197,0.000568978902160535,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.060969753010587,9.060969753010587,9.043185519276458,9.02815771027725,1.0768537423299192,0.8072881567515484,0.37867605105433605,0.37784901881483884,0.37619748804300523,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269096111629358,15.269096111629358,15.23819151213184,15.21085147798668,1.8022185833120112,1.3532153598898407,0.6335648202804487,0.6317052816422634,0.6281689569791711,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0173959132140592,0.0173959132140592,0.01731116970053962,0.01721529909865581,0.0006594693432113176,0.00041134201508693954,0.0002759847620038455,0.0002735887501594128,0.0002715693712632465,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138882127595444,8.138882127595444,8.124193038879898,8.112651573642607,1.0002035345360127,0.7555641811560927,0.34807324175714294,0.34735743979004885,0.3460705856540059,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04617824244896124,0.04617824244896124,0.04594810143671735,0.04559847624848856,0.0046316461003830965,0.0034270648723033923,0.0020448682425636055,0.0020448682425636055,0.0020390251711736532,,,
QCD,717986.216814939,956785.8146709627,948364.0361544128,941611.8267485962,45.440077577773806,5.74587840077302,5.74587840077302,5.74587840077302,5.74587840077302,,,
TT,63126.80979180276,63126.80979180276,62673.79614323329,62216.48155564703,23.37739523601948,4.172396541816067,4.2315347000247865,3.8103696892422745,3.736535037716963,,,
ST,5417.824558008516,5417.824558008516,5377.353115354821,5346.142315388623,1.748162713415768,0.4289413504049467,0.4289413504049467,0.4289413504049467,0.4289413504049467,,,
W+Jets,9487.889178263631,9487.889178263631,9420.543436555281,9370.593747378542,5.243381819414391,1.0371520695821397,1.0371520695821397,1.0371520695821397,1.0371520695821397,,,
Z+Jets,12055.822300436781,12055.822300436781,11963.681352389223,11895.51750751837,3.2986136668576114,1.5157991481135225,1.5157991481135225,1.5157991481135225,1.5157991481135225,,,
Diboson,544.751536187187,544.751536187187,541.5333279703598,539.5308044193844,0.0,0.0,0.0,0.0,0.0,,,
ggFHbb,120.74204174793252,120.74204174793252,120.07126024952862,119.40043805803371,0.03713504263970109,0.019332181450584476,0.019332181450584476,0.019332181450584476,0.019332181450584476,,,
VBFHbb,32.24173303425971,32.24173303425971,32.09098572075379,31.915490654706662,0.0,0.0,0.0,0.0,0.0,,,
ZHbb,32.70020301080715,32.70020301080715,32.51229709989521,32.39048595448399,0.008196364407564306,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596,,,
WHbb,56.014320595270185,56.014320595270185,55.68961912767411,55.51113359847001,0.009944397967179545,0.004805809129434582,0.004805809129434582,0.004805809129434582,0.004805809129434582,,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.850277343583236,4.823413122979026,0.0007828385699077611,0.00012382488477811367,0.00012382488477811367,0.00012382488477811367,0.00012382488477811367,,,
ttHbb,156.94119216557863,156.94119216557863,155.94705721730352,154.8512284574327,0.06654238715991559,0.021091638815157725,0.020017733692322896,0.01906393425600543,0.018343831366377465,,,
HWW,80.56791059341468,80.56791059341468,80.06917628289587,79.44977797155293,0.824010357987379,0.25566989958173847,0.24364681873882643,0.23728928885112255,0.22500022753739146,,,
Data,1047903.0,1047903.0,,,,44.0,44.0,44.0,43.0,1047903.0,1047903.0,243.0
