,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,BDTScore_JES_up >= 0.994,bbFatJetParticleNetMD_Txbb >= 0.9735,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.994
HHbbVV,0.9147081031687907,0.9147081031687907,0.9145866495848747,0.9145155175981409,0.08061225595278915,0.05593929449054606,0.05201183490619746,0.05195348322858293,0.05170775616272342,,,
ggHH_kl_2p45_kt_1_HHbbVV,0.6688447704532685,0.6688447704532685,0.6687396247885888,0.6687104037350293,0.05814257684838347,0.04011947988293228,0.03663744255118116,0.03657555522834042,0.036429069594901456,,,
ggHH_kl_5_kt_1_HHbbVV,0.6956895087373941,0.6956895087373941,0.6956342370058112,0.6956173642658675,0.04097198725672427,0.029179949410003424,0.0261033432787947,0.026035947553370256,0.02597203065499426,,,
ggHH_kl_0_kt_1_HHbbVV,1.1944766869755938,1.1944766869755938,1.1943528822540315,1.1942766748528373,0.1017837136917148,0.07262703830027031,0.06696699092457084,0.06681900402780844,0.06653991722200245,,,
VBFHHbbVV,0.017115373482989717,0.017115373482989717,0.017115373482989717,0.017108694186479038,0.001154014402859802,0.0008537740157171228,0.0005875550538375425,0.0005875550538375425,0.0005811491079415577,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.060969753010587,9.060969753010587,9.060422891390717,9.060189851549257,1.0830049118049485,0.8125311867333284,0.3812489069209076,0.3803455688980786,0.3786668698688806,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269096111629358,15.269096111629358,15.268498694962206,15.267919985216187,1.7991926174681518,1.3516439793733994,0.6334065744568909,0.6314608624746778,0.6279637876578051,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0173959132140592,0.0173959132140592,0.017392009819169624,0.017391553707081148,0.0006687486283554499,0.0004182427615342332,0.00028184735914218783,0.0002794513472977551,0.0002774319684015888,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138882127595444,8.138882127595444,8.138437322164155,8.138179841158967,1.0019885639978054,0.7561583509363585,0.34840748284863493,0.3477132394508744,0.3464115258235336,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04617824244896124,0.04617824244896124,0.04617824244896124,0.046172661222857174,0.004688115412591333,0.003447039364256506,0.00208214214984486,0.00208214214984486,0.0020762990784549077,,,
QCD,717986.216814939,956785.8146709627,956667.0157052347,956553.6806509071,70.52285891217458,22.61564997502228,22.61564997502228,22.61564997502228,22.61564997502228,,,
TT,63126.80979180276,63126.80979180276,63116.826564698415,63107.18599108666,23.330055595878594,4.276358393497758,4.335496551706477,3.9143315409239654,3.840496889398654,,,
ST,5417.824558008516,5417.824558008516,5417.184318734426,5416.5525968038955,1.748162713415768,0.4289413504049467,0.4289413504049467,0.4289413504049467,0.4289413504049467,,,
W+Jets,9487.889178263631,9487.889178263631,9487.064804758824,9486.32235540528,5.71229738290495,1.133893703111495,1.0371520695821397,1.0371520695821397,1.0371520695821397,,,
Z+Jets,12055.822300436781,12055.822300436781,12054.071026015921,12053.005237267775,3.371834306785158,1.4473324122711866,1.4473324122711866,1.4473324122711866,1.4473324122711866,,,
Diboson,544.751536187187,544.751536187187,544.751536187187,544.751536187187,0.0,0.0,0.0,0.0,0.0,,,
ggFHbb,120.74204174793252,120.74204174793252,120.71963054554595,120.71963054554595,0.05956914145555718,0.04176628026644057,0.04176628026644057,0.04176628026644057,0.04176628026644057,,,
VBFHbb,32.24173303425971,32.24173303425971,32.23831123818383,32.23831123818383,0.0,0.0,0.0,0.0,0.0,,,
ZHbb,32.70020301080715,32.70020301080715,32.696277043463795,32.696277043463795,0.008196364407564306,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596,,,
WHbb,56.014320595270185,56.014320595270185,56.00371732736636,56.00176596226789,0.009944397967179545,0.004805809129434582,0.004805809129434582,0.004805809129434582,0.004805809129434582,,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.879327906819619,4.87917304753225,0.0007828385699077611,0.00012382488477811367,0.00012382488477811367,0.00012382488477811367,0.00012382488477811367,,,
ttHbb,156.94119216557863,156.94119216557863,156.92518417388314,156.89562337944528,0.06759532338874033,0.02156969582692227,0.02049579070408744,0.01954199126776997,0.01882188837814201,,,
HWW,80.56791059341468,80.56791059341468,80.56035519769166,80.54779884286333,0.8058513358313382,0.24568780043527644,0.2336647195923644,0.2271128272503778,0.2153650524484308,,,
Data,1047903.0,1047903.0,,,,44.0,44.0,44.0,43.0,1047903.0,1047903.0,243.0
