,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,BDTScore_JER_up >= 0.994,bbFatJetParticleNetMD_Txbb >= 0.9737,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.994
HHbbVV,1.108127280079604,1.108127280079604,1.1000283455508442,1.093563222944563,0.09791771511122661,0.06706681193003351,0.062000002974001475,0.06190843106029681,0.06166729763769245,,,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.7964922393403449,0.7928382739676629,0.06937747232543673,0.047990595693467156,0.043343526094271896,0.04330716077018586,0.04312071350078799,,,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.835058321937548,0.8316139992092635,0.05021628339624171,0.033166296011564254,0.030356410103620144,0.030356410103620144,0.030221524725968514,,,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4228120731930771,1.4130533265554628,0.11404558645847088,0.07714742710970623,0.07044091922864004,0.07024224284317382,0.07006117010455609,,,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.021440944541920692,0.021327016264919646,0.0016151676718540032,0.001129889247578161,0.000705535474655152,0.0007035495015424731,0.0006946071308890072,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,10.991439674710634,10.972925334791851,1.2960731033525486,0.974532166695273,0.45279124961519857,0.4517759655769622,0.4499376533425715,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.47629524681861,18.443564870299006,2.1581045883811365,1.6142080060065334,0.7688284280136561,0.7673280427681236,0.764404938779858,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.02138645978059985,0.021286140659751034,0.0008955320646259466,0.0006018197369535077,0.0003748199478273629,0.00037253412151905317,0.00037253412151905317,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.930464059707752,9.916398819305595,1.1963847818403435,0.8980510079085268,0.4094996885598064,0.4086603332418375,0.40728990791292324,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05588556143177802,0.05553878736217713,0.004926192561354219,0.003504661164691042,0.002295184957042209,0.002295184957042209,0.0022799115529756986,,,
QCD,900603.372757249,1219440.0804636534,1208523.5722318934,1200033.7819080197,118.27209388779994,21.8250531415681,21.8250531415681,21.8250531415681,21.8250531415681,,,
TT,76537.02908224265,76537.02908224265,76057.90175062326,75546.39913344698,29.463271008533255,5.617466807441477,5.522874092930296,4.8305170144544025,4.35048149091565,,,
ST,6617.229257123121,6617.229257123121,6569.594060609604,6535.389534232395,3.181642984940527,0.6515245689484095,0.6515245689484095,0.6515245689484095,0.6515245689484095,,,
W+Jets,12421.273275458932,12421.273275458932,12341.825146611021,12264.924202464117,6.333222875453331,0.3584676495434992,0.3584676495434992,0.3584676495434992,0.3584676495434992,,,
Z+Jets,14717.02364266734,14717.02364266734,14601.95480697945,14517.83317032325,4.05263155691451,1.9590271740024,1.9590271740024,1.9590271740024,1.9590271740024,,,
Diboson,703.6912877316817,703.6912877316817,699.274850691623,695.7930322677172,0.28002666601210957,0.0,0.0,0.0,0.0,,,
ggFHbb,138.81856362723408,138.81856362723408,138.1359310079184,137.16716893739732,0.0,0.0,0.0,0.0,0.0,,,
VBFHbb,40.60062332311162,40.60062332311162,40.474722810632116,40.36086441370259,0.0,0.0,0.0,0.0,0.0,,,
ZHbb,38.56092725636813,38.56092725636813,38.29663889299799,38.13726355471172,0.01138130942536052,0.005879306153889316,0.005879306153889316,0.005879306153889316,0.005879306153889316,,,
WHbb,66.232275837835,66.232275837835,65.79172252987414,65.57398960849181,0.015246717288579861,0.015246717288579861,0.015246717288579861,0.015246717288579861,0.015246717288579861,,,
ggZHbb,5.921431593700421,5.921431593700421,5.887904683527691,5.855217962847878,0.0011735977622782739,0.0009335550217919935,0.0009335550217919935,0.0009335550217919935,0.0009335550217919935,,,
ttHbb,187.9810602386041,187.9810602386041,186.88290996039103,185.72296875559454,0.08368139003384513,0.03705128039636061,0.03705128039636061,0.03337433370230909,0.029426987127381544,,,
HWW,97.55810924622651,97.55810924622651,97.04385400611787,96.33153606063196,1.014650654389965,0.279952996623696,0.2621709438551936,0.246611738615573,0.23546405419750266,,,
Data,1331012.0,1331012.0,,,,63.0,61.0,61.0,61.0,1331012.0,1331012.0,357.0
