,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMS_up >= 0.994,bbFatJetParticleNetMD_Txbb >= 0.9714,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.994
HHbbVV,1.676130328580837,1.676130328580837,1.6712036429905937,1.6670538167650584,0.1927054564162335,0.13418169199969088,0.12091062555505219,0.12075788390392335,0.12017933550622248,
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.2618467256927668,1.2597105355923204,0.14228293897718847,0.09853608482020573,0.0877653649761995,0.08764416738875247,0.0872969516674504,
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3290754531862934,1.326456633520162,0.1037860062407417,0.07078375593098896,0.0633043841831705,0.06316671351625538,0.0629509641230768,
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.1397217826630057,2.134657892688486,0.2386222612548449,0.16251917190128937,0.14643184354909222,0.14619251783688036,0.14518722522133504,
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.03392488917746438,0.03385106547434957,0.002918672210120421,0.0021481690759318946,0.001290482559714513,0.0012846732008562423,0.001273203462545315,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.740910849479715,20.727007927656505,2.9968033400313345,2.2632703377246957,0.9860987792215077,0.9837743234973916,0.9794635114272469,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.750944180981556,34.72689350102866,5.028877895018828,3.8130171987475636,1.682688226776241,1.6792430518552202,1.6704832198501083,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.034883938631222695,0.034828787476897716,0.0017567075762613864,0.0012268833856916505,0.0008159847062226557,0.0008158433109348086,0.0008073131045588456,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.88325592507293,18.87195683641766,2.769830417646887,2.098690091413469,0.8976356583324328,0.895690910528443,0.8913363996136288,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08863948905629107,0.08838388941581067,0.010825749303259661,0.007932893450091252,0.004629694459320474,0.004614337083408638,0.004589178389104706,
QCD,1117757.9198795073,1251971.716351885,1247814.9781850395,1244750.07933536,236.09926104809517,32.788712106497385,32.09592227252365,32.09592227252365,32.09592227252365,
TT,114729.52068857195,114729.52068857195,114375.90267312861,114019.19131760647,50.43217491520694,9.029933188162586,8.979343722366622,7.756053306389278,7.464054746662311,
ST,9991.097357360093,9991.097357360093,9956.444147193402,9930.244963807756,5.107202491805285,1.0513281373563417,1.0513281373563417,1.0513281373563417,1.0019694498900742,
W+Jets,14710.822213085146,14710.822213085146,14672.491652608198,14641.631954844934,10.92273268565743,2.2153391387542816,2.2153391387542816,2.2153391387542816,2.2153391387542816,
Z+Jets,21597.004857058182,21597.004857058182,21522.694272012075,21479.126831498128,7.176018462272298,3.5308797515357853,3.4644636407658815,3.381355833052006,3.381355833052006,
Diboson,936.1606241609028,936.1606241609028,932.3120773317856,930.6761200627391,0.3103662126559164,0.030352003110296424,0.030352003110296424,0.030352003110296424,0.030352003110296424,
ggFHbb,224.56874142701201,224.56874142701201,224.09132954605533,223.5656191986538,0.036758875733498654,0.02215841641627536,0.02215841641627536,0.02215841641627536,0.02215841641627536,
VBFHbb,66.27722451912622,66.27722451912622,66.16198883813554,66.0249915252132,0.00781540855142399,0.007053118410133913,0.007053118410133913,0.007053118410133913,0.007053118410133913,
ZHbb,63.465766584473805,63.465766584473805,63.322797344840964,63.235634550720064,0.026764111528871114,0.01630574780991146,0.014933897449429199,0.014933897449429199,0.014933897449429199,
WHbb,108.86564442012758,108.86564442012758,108.63886528171966,108.52664862322723,0.06336846956003744,0.04483026823043223,0.043070030547999925,0.043070030547999925,0.043070030547999925,
ggZHbb,9.5080271296301,9.5080271296301,9.483212575914823,9.46312346044892,0.0024664770448071965,0.001534862252293786,0.001534862252293786,0.001534862252293786,0.001534862252293786,
ttHbb,312.2634270090423,312.2634270090423,311.1744105719533,310.21793216817366,0.1855398965130612,0.0682126932312863,0.06580024944948767,0.05804767036766311,0.05804767036766311,
HWW,150.72907678953348,150.72907678953348,150.22850888691733,149.66583899443282,1.7308065363298102,0.5217906825962133,0.4826725712354773,0.47371209029157346,0.45161981993426525,
Data,1414872.0,1414872.0,1414872.0,1414872.0,,97.0,95.0,92.0,89.0,479.0
