,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.706591057896172,1.706591057896172,1.7013385194247648,1.6968562725452987,0.03493054500944019,0.017464973216832966,0.017437513701838037,0.017384853066000933,,
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.3199485321453277,1.3172305214118927,0.031240508492600048,0.015732181618986874,0.015732181618986874,0.015708797241222316,,
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4506590439414464,1.447183638241645,0.025416816598543016,0.013413027041960998,0.013413027041960998,0.013413027041960998,,
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1449347408091266,2.1396830183260027,0.04208864759014316,0.02076590693764651,0.02076590693764651,0.020682616490030323,,
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.039239450664272105,0.039121885409098195,0.003345700354522135,0.001785828909509411,0.001784263390206468,0.0017784561473936332,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.7706457909178,25.75278049731667,6.2045451063822865,3.7669070471420607,3.7627960423665385,3.7512876946159697,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.91561142064744,42.88083142315535,10.146683788195919,6.14225603135641,6.135023035660644,6.1158309734139955,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.040881686129010684,0.04077054391692691,0.0018304251774123278,0.0009796381725884957,0.0009784151882646546,0.0009773175184654287,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.600937356829764,23.58456212433502,5.811764752529665,3.529406614060894,3.5248537912620783,3.5130993875482,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.0999103447043077,0.09957660932693446,0.011785099681646639,0.006494985021636579,0.006494985021636579,0.006443101290525217,,
QCD,1126208.5372077704,1204990.9790546382,1200382.012896498,1196872.1266944017,28.054246643507533,2.1282289447162337,2.1282289447162337,2.1282289447162337,,
TT,126178.01663528237,126178.01663528237,125746.98835116654,125293.22760802964,6.711647574308787,0.22283952459049777,0.22283952459049777,0.22283952459049777,,
ST,11213.018738828063,11213.018738828063,11168.928717403302,11142.405760436903,0.4852390242150444,0.0,0.0,0.0,,
W+Jets,15930.077126498532,15930.077126498532,15875.910881821987,15834.447832733507,1.7753337754403034,0.23249108906932253,0.23249108906932253,0.23249108906932253,,
Z+Jets,22772.15825578505,22772.15825578505,22683.690019930553,22627.89307859461,0.9159599339092133,0.16585144497909934,0.16585144497909934,0.16585144497909934,,
Diboson,1008.665041486354,1008.665041486354,1005.8693429051912,1002.8762851988342,0.0,0.0,0.0,0.0,,
ggFHbb,223.1087799478259,223.1087799478259,222.72256516683834,221.885637181582,0.0,0.0,0.0,0.0,,
VBFHbb,71.28205035333777,71.28205035333777,71.09353616711309,70.92054851701442,0.0,0.0,0.0,0.0,,
ZHbb,67.12062616739404,67.12062616739404,66.91738349689737,66.80075080682559,0.005364808223719335,0.0080872919920888,0.0080872919920888,0.0080872919920888,,
WHbb,116.35029311753367,116.35029311753367,116.02018260223909,115.8886531559248,0.004085057828085782,0.0012115074069307728,0.0012115074069307728,0.0012115074069307728,,
ggZHbb,10.311005316400479,10.311005316400479,10.280393102764487,10.256855442553917,0.0003155091441551488,0.0003155091441551488,0.0003155091441551488,0.0003155091441551488,,
ttHbb,354.83801865944884,354.83801865944884,353.41729440378543,352.01734089665155,0.013592377506338372,0.0018201593182085546,0.0018201593182085546,0.0018201593182085546,,
HWW,172.07437391871363,172.07437391871363,171.4077847036248,170.61905764119348,0.3452618821582025,0.056496531098282766,0.056496531098282766,0.056496531098282766,,
Data,1383108.0,1383108.0,,,69.0,5.0,5.0,5.0,1383108.0,1383108.0
