,SF,syst_unc,stat_unc,sj_pt_unc,sj_matching_unc
HHbbVV,1.05 ± 0.24,0.15514468168906617,0.04559362169667419,0.0007642843653683485,0.15848520257971732
ggHH_kl_2p45_kt_1_HHbbVV,1.06 ± 0.26,0.18385345423858926,0.045837112992021735,0.0009498641180822025,0.15877103213630686
ggHH_kl_5_kt_1_HHbbVV,1.06 ± 0.50,0.44012368551104025,0.04998406457640312,0.0017503574736453778,0.15823981843399318
ggHH_kl_0_kt_1_HHbbVV,1.06 ± 0.28,0.20206920125198147,0.0430519277877048,0.0009181634419672939,0.15981751102731517
VBFHHbbVV,1.17 ± 0.45,0.34642217860275387,0.05102501027226864,0.0025436127243373416,0.1602675469075747
qqHH_CV_1_C2V_0_kl_1_HHbbVV,1.09 ± 0.18,0.018214072473889453,0.044798729912707114,0.007522002692266629,0.1544828330814079
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,1.09 ± 0.18,0.016229503662010147,0.045254900448909396,0.007215282190329005,0.1565174791562679
qqHH_CV_1_C2V_1_kl_2_HHbbVV,1.18 ± 0.66,0.5277963544595095,0.06276597269346627,0.0033225765904191244,0.16405370638366296
qqHH_CV_1_C2V_2_kl_1_HHbbVV,1.10 ± 0.18,0.015679110776706567,0.045512705712504264,0.008159661248269869,0.1534917633334274
qqHH_CV_1_C2V_1_kl_0_HHbbVV,1.07 ± 0.31,0.23020872711479706,0.05366438516229538,0.0017829424216507638,0.1609165808444902
