,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.997,bbFatJetParticleNetMD_Txbb >= 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.108127280079604,1.108127280079604,1.108127280079604,1.1005594143174928,1.0940812392241102,0.08950590888263107,0.04249635895358977,0.04244849822577882,0.0423308288512235
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,11.015595087816134,10.992704362069707,10.974097162767547,1.1803281206454708,0.6874988898716693,0.6859441853889041,0.6838534433562051
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1208187.047601593,1199914.6854996895,76.80276984664141,6.912284999835738,6.912284999835738,6.912284999835738
TT,76537.02908224265,76537.02908224265,76537.02908224265,76036.67089183381,75504.25522211792,26.19156373656727,1.6214732047198475,1.3664306308314031,1.297134714771248
ST,6617.229257123121,6617.229257123121,6617.229257123121,6568.071623368754,6530.558860743446,3.3148885499703247,0.3627477842497195,0.3627477842497195,0.3627477842497195
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12341.31450378544,12265.115729916284,5.7541499908650815,0.16118694629104352,0.16118694629104352,0.16118694629104352
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14601.426751424733,14517.101697865306,3.5082945290796,1.0136849644997465,1.0136849644997465,1.0136849644997465
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,699.1389217855917,695.3097641927543,0.28002666601210957,0.0,0.0,0.0
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,138.12124620347993,137.14696515108136,0.0,0.0,0.0,0.0
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.47235839402518,40.3369080970762,0.0,0.0,0.0,0.0
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.30734801182328,38.14508043229702,0.010255832893867037,0.004885259938253187,0.004885259938253187,0.004885259938253187
WHbb,66.232275837835,66.232275837835,66.232275837835,65.79568909543664,65.5789510146088,0.012899988249344246,0.009373105802695667,0.009373105802695667,0.009373105802695667
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.88900772329133,5.855043713430598,0.0006660981259373574,0.0004260553854510769,0.0004260553854510769,0.0004260553854510769
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,186.85674951555848,185.63841488932138,0.07342530176118625,0.013032166845332642,0.013032166845332642,0.01087857905355582
HWW,97.55810924622651,97.55810924622651,97.55810924622651,97.00857794271565,96.26976864081334,0.9477669677414902,0.1345622288453796,0.12687358544557178,0.12450686818936207
Data,1331012.0,1331012.0,1331012.0,1331012.0,1331012.0,309.0,20.0,20.0,20.0
