,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.676130328580837,1.676130328580837,1.676130328580837,1.6712036429905937,1.6670538167650584,0.8958404102473586,0.8942229325316694,0.8882082761216553
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.76198779204722,20.740910849479715,20.727007927656505,9.288506195183555,9.267504023067316,9.206424925437547
QCD,1117757.9198795073,1251971.716351885,1251971.716351885,1247814.9781850395,1244750.07933536,1143331.0221521324,1141294.8337143487,1135611.1443310194
TT,114729.52068857195,114729.52068857195,114729.52068857195,114375.90267312861,114019.19131760647,105921.95209069573,94109.79714396792,83049.76136771697
ST,9991.097357360093,9991.097357360093,9991.097357360093,9956.444147193402,9930.244963807756,9235.433282805323,8334.993552497284,7467.605774977011
W+Jets,14710.822213085146,14710.822213085146,14710.822213085146,14672.491652608198,14641.631954844934,13595.578384585595,13559.796461576161,13505.576176223845
Z+Jets,21597.004857058182,21597.004857058182,21597.004857058182,21522.694272012075,21479.126831498128,15519.657395224112,15484.087587123968,15381.734217811074
Diboson,936.1606241609028,936.1606241609028,936.1606241609028,932.3120773317856,930.6761200627391,667.6647629648394,632.5861554357709,596.7387960574015
ggFHbb,224.56874142701201,224.56874142701201,224.56874142701201,224.09132954605533,223.5656191986538,118.69483039355298,118.45821610291918,117.43612354633522
VBFHbb,66.27722451912622,66.27722451912622,66.27722451912622,66.16198883813554,66.0249915252132,32.62717765129778,32.50248820703429,32.14584089330372
ZHbb,63.465766584473805,63.465766584473805,63.465766584473805,63.322797344840964,63.235634550720064,31.762660021899208,31.686928147229867,31.366574301967624
WHbb,108.86564442012758,108.86564442012758,108.86564442012758,108.63886528171966,108.52664862322723,59.065988888646665,58.93673588594653,58.452439970124345
ggZHbb,9.5080271296301,9.5080271296301,9.5080271296301,9.483212575914823,9.46312346044892,5.72297987523155,5.705324578194473,5.652641230197077
ttHbb,312.2634270090423,312.2634270090423,312.2634270090423,311.1744105719533,310.21793216817366,250.87374886015397,220.27784457550888,190.01347347091334
HWW,150.72907678953348,150.72907678953348,150.72907678953348,150.22850888691733,149.66583899443282,137.96777014331087,114.03306188818213,93.65408916850045
Data,1414872.0,1414872.0,1414872.0,1414872.0,1414872.0,1307299.0,1290258.0,1271831.0
