,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.99,bbFatJetParticleNetMD_Txbb >= 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.706591057896172,1.706591057896172,1.706591057896172,1.7015566173379557,1.6972136772823412,0.38001357972560257,0.17831732585391785,0.17806742628461386,0.17729068415594046
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.803125191164327,25.774035901931246,25.75627430229965,6.74160073401102,3.924592668870401,3.9185895468690783,3.90666392977084
QCD,1126208.5372077704,1204990.9790546382,1204990.9790546382,1200602.6007629426,1197348.6443478006,791.344262960354,47.85459039487641,47.85459039487641,47.85459039487641
TT,126178.01663528237,126178.01663528237,126178.01663528237,125736.76451680924,125277.36730359304,267.29848420673727,15.532061856341176,14.048943475572324,13.305514649301207
ST,11213.018738828063,11213.018738828063,11213.018738828063,11169.638460634647,11140.701326371089,28.251840140894927,1.3919479354011328,1.3404572409665356,1.3404572409665356
W+Jets,15930.077126498532,15930.077126498532,15930.077126498532,15879.105249841276,15839.028146450515,55.28548683704565,4.104255719903461,4.104255719903461,4.104255719903461
Z+Jets,22772.15825578505,22772.15825578505,22772.15825578505,22686.559702053375,22632.448203335458,35.28809341284881,7.9827464738645455,7.9827464738645455,7.887821102643219
Diboson,1008.665041486354,1008.665041486354,1008.665041486354,1005.7273485190779,1002.5646524206695,2.918369935293119,1.4430723757925747,1.4430723757925747,1.4430723757925747
ggFHbb,223.1087799478259,223.1087799478259,223.1087799478259,222.70977922577623,221.84267517383097,0.32550220750682646,0.19728379594124368,0.19728379594124368,0.19728379594124368
VBFHbb,71.28205035333777,71.28205035333777,71.28205035333777,71.07985098566151,70.91620020246836,0.0014006570720045564,0.0014006570720045564,0.0014006570720045564,0.0014006570720045564
ZHbb,67.12062616739404,67.12062616739404,67.12062616739404,66.94564806851947,66.83746928536593,0.10546407622768057,0.0559732884587381,0.055210389276737014,0.055210389276737014
WHbb,116.35029311753367,116.35029311753367,116.35029311753367,116.05038178984395,115.9228032874135,0.26630291235135584,0.11807434923056576,0.11807434923056576,0.11807434923056576
ggZHbb,10.311005316400479,10.311005316400479,10.311005316400479,10.281565783116413,10.257879490979624,0.013888342753861641,0.006869842592223223,0.006869842592223223,0.006869842592223223
ttHbb,354.83801865944884,354.83801865944884,354.83801865944884,353.44976648602244,352.0183047201511,0.8510849818718236,0.1817216493219283,0.1718916924741788,0.16187337789771974
HWW,172.07437391871363,172.07437391871363,172.07437391871363,171.42603695737873,170.6479795943025,4.515355572707682,0.6949251568850968,0.6734887836779186,0.630375927732828
Data,1383108.0,1383108.0,1383108.0,1383108.0,1383108.0,2305.0,188.0,185.0,180.0
