,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.108127280079604,1.108127280079604,1.108127280079604,1.1005594143174928,1.0940812392241102,0.03891407820891113,0.02615883335357419,0.026112459964493333,0.02606998909419673
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,11.015595087816134,10.992704362069707,10.974097162767547,0.5405670596314317,0.4122449374328091,0.4114170368300255,0.40976209609305536
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1208187.047601593,1199914.6854996895,0.0,0.0,0.0,0.0
TT,76537.02908224265,76537.02908224265,76537.02908224265,76036.67089183381,75504.25522211792,4.828876703073241,0.8893815543023167,0.7624653948326813,0.7624653948326813
ST,6617.229257123121,6617.229257123121,6617.229257123121,6568.071623368754,6530.558860743446,0.37772553496359224,0.0,0.0,0.0
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12341.31450378544,12265.115729916284,0.8901904392325508,0.0,0.0,0.0
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14601.426751424733,14517.101697865306,0.6039005774661357,0.22514778035971816,0.22514778035971816,0.22514778035971816
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,699.1389217855917,695.3097641927543,0.0,0.0,0.0,0.0
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,138.12124620347993,137.14696515108136,0.0,0.0,0.0,0.0
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.47235839402518,40.3369080970762,0.0,0.0,0.0,0.0
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.30734801182328,38.14508043229702,0.0018200179587013834,0.0018200179587013834,0.0018200179587013834,0.0018200179587013834
WHbb,66.232275837835,66.232275837835,66.232275837835,65.79568909543664,65.5789510146088,0.002068149949222107,0.002068149949222107,0.002068149949222107,0.002068149949222107
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.88900772329133,5.855043713430598,0.0,0.0,0.0,0.0
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,186.85674951555848,185.63841488932138,0.014435877712687178,0.0040686537315783545,0.0040686537315783545,0.0032404952432881886
HWW,97.55810924622651,97.55810924622651,97.55810924622651,97.00857794271565,96.26976864081334,0.4022173929549978,0.10930575174399315,0.10367658958337717,0.100474589844777
Data,1331012.0,1331012.0,1331012.0,1331012.0,1331012.0,44.0,5.0,5.0,5.0
