,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF >= 0.99,bbFatJetParticleNetMD_Txbb >= 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.76198779204722,20.740910849479715,20.727007927656505,9.738750535043836,7.362320751754103,7.351348882897992,7.324022740976316
QCD,1117757.9198795073,1251971.716351885,1251971.716351885,1247814.9781850395,1244750.07933536,471.925448651281,116.27961435684985,116.27961435684985,111.39033102228831
TT,114729.52068857195,114729.52068857195,114729.52068857195,114375.90267312861,114019.19131760647,101.50310678662629,19.19673869921631,17.465202677381676,16.640549153166482
ST,9991.097357360093,9991.097357360093,9991.097357360093,9956.444147193402,9930.244963807756,16.074973579003196,3.157321838324689,3.055563340270291,3.0040365057836906
W+Jets,14710.822213085146,14710.822213085146,14710.822213085146,14672.491652608198,14641.631954844934,19.975044999496127,4.927101036039956,4.927101036039956,4.927101036039956
Z+Jets,21597.004857058182,21597.004857058182,21597.004857058182,21522.694272012075,21479.126831498128,12.933986859641927,4.6307166934114745,4.6307166934114745,4.6307166934114745
Diboson,936.1606241609028,936.1606241609028,936.1606241609028,932.3120773317856,930.6761200627391,2.9318926408312667,1.8968290292638808,1.8968290292638808,1.8968290292638808
ggFHbb,224.56874142701201,224.56874142701201,224.56874142701201,224.09132954605533,223.5656191986538,0.05566320757518588,0.05566320757518588,0.05566320757518588,0.05566320757518588
VBFHbb,66.27722451912622,66.27722451912622,66.27722451912622,66.16198883813554,66.0249915252132,0.21505205162512245,0.14350661308235899,0.14350661308235899,0.14350661308235899
ZHbb,63.465766584473805,63.465766584473805,63.465766584473805,63.322797344840964,63.235634550720064,0.06009716942526564,0.045095128492837935,0.045095128492837935,0.045095128492837935
WHbb,108.86564442012758,108.86564442012758,108.86564442012758,108.63886528171966,108.52664862322723,0.09733186610830592,0.06872794915361487,0.06872794915361487,0.06872794915361487
ggZHbb,9.5080271296301,9.5080271296301,9.5080271296301,9.483212575914823,9.46312346044892,0.010133855280383052,0.005916825921638355,0.005916825921638355,0.005916825921638355
ttHbb,312.2634270090423,312.2634270090423,312.2634270090423,311.1744105719533,310.21793216817366,0.23074599809511018,0.07379493327845135,0.06541012070092499,0.06096078463458614
HWW,150.72907678953348,150.72907678953348,150.72907678953348,150.22850888691733,149.66583899443282,1.5888430073620903,0.46513228535922163,0.4477393742273924,0.4252272790689555
Data,1414872.0,1414872.0,1414872.0,1414872.0,1414872.0,1135.0,237.0,232.0,229.0
