,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF >= 0.997,bbFatJetParticleNetMD_Txbb >= 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.060969753010587,9.060969753010587,9.060969753010587,9.041934826728792,9.02728294983494,2.5567167579490215,1.5110400902228016,1.508923360026765,1.5034163502571642
QCD,717986.216814939,956785.8146709627,956785.8146709627,948406.4124347997,941617.267942029,38.04225382762026,3.299597004415339,3.299597004415339,3.299597004415339
TT,63126.80979180276,63126.80979180276,63126.80979180276,62714.21430804499,62290.703474200425,7.673517493151092,0.188206223343644,0.188206223343644,0.188206223343644
ST,5417.824558008516,5417.824558008516,5417.824558008516,5380.176293677084,5350.773696634727,0.5290174880805439,0.02891612414660004,0.02891612414660004,0.02891612414660004
W+Jets,9487.889178263631,9487.889178263631,9487.889178263631,9424.292575831972,9375.118673797197,1.617529167080874,0.09674163352935557,0.09674163352935557,0.09674163352935557
Z+Jets,12055.822300436781,12055.822300436781,12055.822300436781,11968.016139487008,11904.514452147456,0.9776332308199474,0.28251227446895794,0.28251227446895794,0.28251227446895794
Diboson,544.751536187187,544.751536187187,544.751536187187,541.5192000426408,539.5255957808083,0.0,0.0,0.0,0.0
ggFHbb,120.74204174793252,120.74204174793252,120.74204174793252,120.02707196890958,119.27175261578469,0.0,0.0,0.0,0.0
VBFHbb,32.24173303425971,32.24173303425971,32.24173303425971,32.089487243194796,31.921442997500897,0.0,0.0,0.0,0.0
ZHbb,32.70020301080715,32.70020301080715,32.70020301080715,32.51666448179822,32.40029638484181,0.0012420964073974828,0.0012420964073974828,0.0012420964073974828,0.0012420964073974828
WHbb,56.014320595270185,56.014320595270185,56.014320595270185,55.69337399997595,55.51504919284625,0.0017597575523036588,0.00067706906985261,0.00067706906985261,0.00067706906985261
ggZHbb,4.8805631912185055,4.8805631912185055,4.8805631912185055,4.852821845932874,4.827078996358681,0.0002247348412580244,0.0,0.0,0.0
ttHbb,156.94119216557863,156.94119216557863,156.94119216557863,155.9939482895008,154.97672213467678,0.027793961006984197,0.007953749345999848,0.007953749345999848,0.0059660154547431605
HWW,80.56791059341468,80.56791059341468,80.56791059341468,80.1332628058381,79.59897023669294,0.28089717039406015,0.04592188672896393,0.04514860529326787,0.04188101230738553
Data,1047903.0,1047903.0,1047903.0,1047903.0,1047903.0,114.0,6.0,6.0,6.0
