,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF >= 0.99,bbFatJetParticleNetMD_Txbb >= 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,11.015595087816134,10.992704362069707,10.974097162767547,4.453839294490737,3.3429390222472226,3.3372467446126697,3.325883453351301
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1208187.047601593,1199914.6854996895,212.70062747457513,56.48162060433801,55.789787163733976,55.789787163733976
TT,76537.02908224265,76537.02908224265,76537.02908224265,76036.67089183381,75504.25522211792,44.97642050748431,8.830605314023352,8.256829835719543,7.709749389013528
ST,6617.229257123121,6617.229257123121,6617.229257123121,6568.071623368754,6530.558860743446,5.675473608229602,0.5082244310602895,0.5082244310602895,0.2904288611179923
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12341.31450378544,12265.115729916284,9.75394348246368,1.608452481284922,1.608452481284922,1.608452481284922
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14601.426751424733,14517.101697865306,5.387184125869079,2.469451358135816,2.469451358135816,2.469451358135816
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,699.1389217855917,695.3097641927543,0.348112877480439,0.0,0.0,0.0
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,138.12124620347993,137.14696515108136,0.09783670900788946,0.06956510795886175,0.06956510795886175,0.06956510795886175
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.47235839402518,40.3369080970762,0.054118714958708236,0.04007320552882025,0.04007320552882025,0.04007320552882025
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.30734801182328,38.14508043229702,0.02523211814525647,0.01668876882964442,0.01668876882964442,0.01668876882964442
WHbb,66.232275837835,66.232275837835,66.232275837835,65.79568909543664,65.5789510146088,0.03154690944898985,0.020799670971524253,0.020799670971524253,0.020799670971524253
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.88900772329133,5.855043713430598,0.004431947724883701,0.0026550473862982484,0.0026550473862982484,0.0026550473862982484
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,186.85674951555848,185.63841488932138,0.09817998596864634,0.039505235505847024,0.03382143792925524,0.030141813926176368
HWW,97.55810924622651,97.55810924622651,97.55810924622651,97.00857794271565,96.26976864081334,0.7658676819600513,0.1998082166850983,0.18700858413947216,0.17446458021345454
Data,1331012.0,1331012.0,1331012.0,1331012.0,1331012.0,677.0,115.0,112.0,111.0
