,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,0.9147081031687907,0.9147081031687907,0.9147081031687907,0.9088022319312213,0.9037950499185726,0.009583006101330529,0.004381194011370422,0.004381194011370422,0.004357890672393658
ggHH_kl_2p45_kt_1_HHbbVV,0.6688447704532685,0.6688447704532685,0.6688447704532685,0.6649531572120448,0.6617354385600798,0.0078818951776879,0.004109775810571671,0.004109775810571671,0.004084848432033634
ggHH_kl_5_kt_1_HHbbVV,0.6956895087373941,0.6956895087373941,0.6956895087373941,0.6920514447111688,0.6892047021562906,0.006712782273108666,0.0036455279384258465,0.0036455279384258465,0.003571157093297201
ggHH_kl_0_kt_1_HHbbVV,1.1944766869755938,1.1944766869755938,1.1944766869755938,1.1863493648635597,1.17930333767202,0.011679732100180841,0.006281119599656743,0.006281119599656743,0.006239447346966162
VBFHHbbVV,0.017115373482989717,0.017115373482989717,0.017115373482989717,0.017030078444247275,0.016924919012766975,0.0010182413488011273,0.0005115903968662564,0.0005115903968662564,0.0005115903968662564
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.060969753010587,9.060969753010587,9.060969753010587,9.041934826728792,9.02728294983494,1.7082223655096713,1.026428939832466,1.0251154658795951,1.0214991559344475
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269096111629358,15.269096111629358,15.269096111629358,15.23647158421826,15.20829496277662,2.787065028483421,1.6795222925266822,1.6768420182718788,1.6732375470178382
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0173959132140592,0.0173959132140592,0.0173959132140592,0.017299990201845,0.017214419089199705,0.00048388494976109184,0.0002355481231587384,0.00023381029176605987,0.00023178369130116372
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138882127595444,8.138882127595444,8.138882127595444,8.123943352838433,8.11286122859791,1.6071366650689287,0.9695283361655795,0.9678201693168063,0.9645094944318472
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04617824244896124,0.04617824244896124,0.04617824244896124,0.0459311591300662,0.04565497610400018,0.0038850024370083993,0.002135149473458543,0.002135149473458543,0.002135149473458543
QCD,717986.216814939,956785.8146709627,956785.8146709627,948406.4124347997,941617.267942029,5.766758281634221,0.0,0.0,0.0
TT,63126.80979180276,63126.80979180276,63126.80979180276,62714.21430804499,62290.703474200425,1.7730969429889694,-0.014322698241955409,-0.014322698241955409,-0.014322698241955409
ST,5417.824558008516,5417.824558008516,5417.824558008516,5380.176293677084,5350.773696634727,0.055091396808934615,0.0,0.0,0.0
W+Jets,9487.889178263631,9487.889178263631,9487.889178263631,9424.292575831972,9375.118673797197,0.43288591168609253,0.09674163352935557,0.09674163352935557,0.09674163352935557
Z+Jets,12055.822300436781,12055.822300436781,12055.822300436781,11968.016139487008,11904.514452147456,0.13412189797405288,0.0,0.0,0.0
Diboson,544.751536187187,544.751536187187,544.751536187187,541.5192000426408,539.5255957808083,0.0,0.0,0.0,0.0
ggFHbb,120.74204174793252,120.74204174793252,120.74204174793252,120.02707196890958,119.27175261578469,0.0,0.0,0.0,0.0
VBFHbb,32.24173303425971,32.24173303425971,32.24173303425971,32.089487243194796,31.921442997500897,0.0,0.0,0.0,0.0
ZHbb,32.70020301080715,32.70020301080715,32.70020301080715,32.51666448179822,32.40029638484181,0.0,0.0,0.0,0.0
WHbb,56.014320595270185,56.014320595270185,56.014320595270185,55.69337399997595,55.51504919284625,0.0,0.0,0.0,0.0
ggZHbb,4.8805631912185055,4.8805631912185055,4.8805631912185055,4.852821845932874,4.827078996358681,0.0002247348412580244,0.0,0.0,0.0
ttHbb,156.94119216557863,156.94119216557863,156.94119216557863,155.9939482895008,154.97672213467678,0.0053023453275395736,0.001073905122834825,0.001073905122834825,0.001073905122834825
HWW,80.56791059341468,80.56791059341468,80.56791059341468,80.1332628058381,79.59897023669294,0.07893740375718174,0.012051867493711397,0.012051867493711397,0.012051867493711397
Data,1047903.0,1047903.0,1047903.0,1047903.0,1047903.0,24.0,1.0,1.0,1.0
