,Pre-selection,QCD SF,LP SF,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.108127280079604,1.108127280079604,1.108127280079604,1.1007654125568072,1.0943466848718584,0.011021769367576756,0.005530963961569239,0.005530963961569239,0.005530963961569239,,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.8015758690220187,0.7966839978476782,0.7929702737652506,0.010070657955800425,0.0054733593583852595,0.0054733593583852595,0.005468707656389641,,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8397792227107982,0.834916579637446,0.8313931208750229,0.0070220712350087195,0.0038024510060868546,0.0038024510060868546,0.0038024510060868546,,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4337517442784347,1.422734538030712,1.413057483248668,0.01414394506580074,0.007972154557525058,0.007972154557525058,0.007972154557525058,,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.021438601541618647,0.02130944961532647,0.0013099305033610659,0.0007015537221486067,0.0007015537221486067,0.0006919879842187387,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,11.015595087816134,10.993916278669817,10.975351227637582,2.057792321686993,1.240123981035702,1.2383730289191437,1.2349501851756468,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.523340727906472,18.47778093467595,18.44445480245551,3.3366882433625142,1.9908742791329832,1.9872128654003889,1.9813628663203062,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.02138682863811925,0.021273317169623898,0.0006592127259378712,0.0003747905165353795,0.0003747905165353795,0.0003747905165353795,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.95063113617899,9.93227980894857,9.91773923265224,1.94531132554766,1.1669006452276844,1.1651148567762108,1.162117792358934,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.05595921964896841,0.05560877654128435,0.003855581902931763,0.0019824657905512695,0.0019824657905512695,0.001974255399921742,,
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1208182.4786762223,1200009.3644063028,7.71705682833504,6.049274062699175,6.049274062699175,6.049274062699175,,
TT,76537.02908224265,76537.02908224265,76537.02908224265,76005.7888408999,75436.82978583084,3.027786048276932,0.26235626208860474,0.17590585443471063,0.17590585443471063,,
ST,6617.229257123121,6617.229257123121,6617.229257123121,6566.328361234981,6530.907835704748,0.262844709582459,0.0,0.0,0.0,,
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12339.320639263746,12260.495964100859,0.8767605906549117,0.0,0.0,0.0,,
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14597.661223947085,14510.332852864116,0.0641416456478138,0.0,0.0,0.0,,
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,698.579291598942,694.5916383161529,0.0,0.0,0.0,0.0,,
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,138.15554634923888,137.17501694965563,0.0,0.0,0.0,0.0,,
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.49535934358885,40.33863807551278,0.0,0.0,0.0,0.0,,
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.30942955891692,38.14570716432015,0.0,0.0,0.0,0.0,,
WHbb,66.232275837835,66.232275837835,66.232275837835,65.79959420574862,65.60151072204596,0.0,0.0,0.0,0.0,,
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.889087636165095,5.8513654951795635,0.0,0.0,0.0,0.0,,
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,186.82068755865188,185.52754103860983,0.006165574380285853,0.0,0.0,0.0,,
HWW,97.55810924622651,97.55810924622651,97.55810924622651,96.95233954850245,96.16828112430852,0.12565653995308684,0.022886908957980946,0.02164348178097288,0.01978289958424393,,
Data,1331012.0,1331012.0,1331012.0,,,33.0,3.0,3.0,3.0,1331012.0,1331012.0
