,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.108127280079604,1.108127280079604,1.108127280079604,1.1005594143174928,1.0940812392241102,0.011009117010780157,0.005530963961569239,0.005530963961569239,0.005530963961569239
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.8015758690220187,0.7966181927909652,0.7929251357407407,0.010063768404993526,0.00546646980757836,0.00546646980757836,0.0054618181055827416
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8397792227107982,0.8351909835840614,0.8317756967171981,0.0070220712350087195,0.0038024510060868546,0.0038024510060868546,0.0038024510060868546
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4337517442784347,1.4226156102926775,1.4129101659183219,0.014116356029334726,0.007972154557525058,0.007972154557525058,0.007972154557525058
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.021438896099242835,0.021315873451069035,0.0013068826474273267,0.0006995882103045296,0.0006995882103045296,0.0006900224723746614
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,11.015595087816134,10.992704362069707,10.974097162767547,2.057637098933057,1.2400244607049622,1.2382735085884036,1.234850664844907
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.523340727906472,18.47731328698665,18.44388166206678,3.3364452695740408,1.990622352270021,1.9869609385374267,1.9811109394573438
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.021387774292197015,0.02128691499756289,0.0006592127259378712,0.0003747905165353795,0.0003747905165353795,0.0003747905165353795
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.95063113617899,9.931050331915193,9.916982995696745,1.9451421690527635,1.1668414305864636,1.1650556421349902,1.1620585777177135
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.05592359011921978,0.05559233902875846,0.003858091574754344,0.0019824657905512695,0.0019824657905512695,0.001974255399921742
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1208187.047601593,1199914.6854996895,7.71705682833504,6.049274062699175,6.049274062699175,6.049274062699175
TT,76537.02908224265,76537.02908224265,76537.02908224265,76036.67089183381,75504.25522211792,3.027786048276932,0.26235626208860474,0.17590585443471063,0.17590585443471063
ST,6617.229257123121,6617.229257123121,6617.229257123121,6568.071623368754,6530.558860743446,0.262844709582459,0.0,0.0,0.0
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12341.31450378544,12265.115729916284,0.8767605906549117,0.0,0.0,0.0
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14601.426751424733,14517.101697865306,0.0641416456478138,0.0,0.0,0.0
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,699.1389217855917,695.3097641927543,0.0,0.0,0.0,0.0
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,138.12124620347993,137.14696515108136,0.0,0.0,0.0,0.0
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.47235839402518,40.3369080970762,0.0,0.0,0.0,0.0
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.30734801182328,38.14508043229702,0.0,0.0,0.0,0.0
WHbb,66.232275837835,66.232275837835,66.232275837835,65.79568909543664,65.5789510146088,0.0,0.0,0.0,0.0
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.88900772329133,5.855043713430598,0.0,0.0,0.0,0.0
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,186.85674951555848,185.63841488932138,0.006165574380285853,0.0,0.0,0.0
HWW,97.55810924622651,97.55810924622651,97.55810924622651,97.00857794271565,96.26976864081334,0.12565653995308684,0.022886908957980946,0.02164348178097288,0.01978289958424393
Data,1331012.0,1331012.0,1331012.0,1331012.0,1331012.0,33.0,3.0,3.0,3.0
