,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.676130328580837,1.676130328580837,1.676130328580837,1.6712036429905937,1.6670538167650584,0.028889303909824096,0.014596486122889154,0.014545339304080068,0.014545339304080068
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.264909243644536,1.2618467256927668,1.2597105355923204,0.024728078848444864,0.012427451558135284,0.01241120014741751,0.012370905233791387
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3326632776423553,1.3290754531862934,1.326456633520162,0.0181254194321895,0.008781180125458934,0.008734607330810943,0.008515368213932513
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.1462080925701774,2.1397217826630057,2.134657892688486,0.036968145658002216,0.017763463621639615,0.01768531463716012,0.017641446457862114
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.034024377674540085,0.03392488917746438,0.03385106547434957,0.0026970631725081236,0.0014810786475581241,0.0014810786475581241,0.0014778704143123779
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.76198779204722,20.740910849479715,20.727007927656505,4.823186665818232,2.925173276352685,2.922194086914803,2.9134714003066486
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.78860657736119,34.750944180981556,34.72689350102866,7.872514431070386,4.791072815892962,4.785211957493873,4.770065483095197
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.03499528349928152,0.034883938631222695,0.034828787476897716,0.0013551159454544802,0.0007198517008488766,0.0007170581870048814,0.0007146678954653325
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.901746176077005,18.88325592507293,18.87195683641766,4.511772571721559,2.7676667526607304,2.764547058411298,2.7558369708262447
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08890353276162892,0.08863948905629107,0.08838388941581067,0.009583067115856492,0.0053004085174770885,0.005293894382820039,0.005267479088817796
QCD,1117757.9198795073,1251971.716351885,1251971.716351885,1247814.9781850395,1244750.07933536,17.945008817571654,0.9479854870513743,0.9479854870513743,0.9479854870513743
TT,114729.52068857195,114729.52068857195,114729.52068857195,114375.90267312861,114019.19131760647,5.798795801912014,0.6058845979325174,0.6058845979325174,0.6058845979325174
ST,9991.097357360093,9991.097357360093,9991.097357360093,9956.444147193402,9930.244963807756,1.3270895761658708,0.0,0.0,0.0
W+Jets,14710.822213085146,14710.822213085146,14710.822213085146,14672.491652608198,14641.631954844934,1.3240541277111542,0.09506311296715518,0.09506311296715518,0.09506311296715518
Z+Jets,21597.004857058182,21597.004857058182,21597.004857058182,21522.694272012075,21479.126831498128,0.8149782493388988,0.32772047717289904,0.32772047717289904,0.32772047717289904
Diboson,936.1606241609028,936.1606241609028,936.1606241609028,932.3120773317856,930.6761200627391,0.0,0.0,0.0,0.0
ggFHbb,224.56874142701201,224.56874142701201,224.56874142701201,224.09132954605533,223.5656191986538,0.0,0.0,0.0,0.0
VBFHbb,66.27722451912622,66.27722451912622,66.27722451912622,66.16198883813554,66.0249915252132,0.0313406363497363,0.0,0.0,0.0
ZHbb,63.465766584473805,63.465766584473805,63.465766584473805,63.322797344840964,63.235634550720064,0.0013718503604822627,0.0013718503604822627,0.0013718503604822627,0.0013718503604822627
WHbb,108.86564442012758,108.86564442012758,108.86564442012758,108.63886528171966,108.52664862322723,0.0066932442039737625,0.0038431623322436274,0.0038431623322436274,0.0038431623322436274
ggZHbb,9.5080271296301,9.5080271296301,9.5080271296301,9.483212575914823,9.46312346044892,0.00024366724863733052,0.0,0.0,0.0
ttHbb,312.2634270090423,312.2634270090423,312.2634270090423,311.1744105719533,310.21793216817366,0.008785657593391342,0.0024124437817986334,0.0024124437817986334,0.0024124437817986334
HWW,150.72907678953348,150.72907678953348,150.72907678953348,150.22850888691733,149.66583899443282,0.2812771204808927,0.04679101711101491,0.04414270408692401,0.04239937920902053
Data,1414872.0,1414872.0,1414872.0,1414872.0,1414872.0,61.0,7.0,7.0,6.0
