,Pre-selection,QCD SF,LP SF,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.706591057896172,1.706591057896172,1.706591057896172,1.701785185949453,1.6976235820778385,0.03493054500944019,0.017464973216832966,0.017437513701838037,0.017384853066000933,,
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.3238501132828857,1.3205293308077524,1.317980748116613,0.031235327951584492,0.01573096939537882,0.01573096939537882,0.015707585017614264,,
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4540657446775804,1.4510057503735083,1.4476621550387372,0.025423995740757002,0.013413027041960998,0.013413027041960998,0.013413027041960998,,
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1525536887480916,2.1456179369130273,2.140772836065327,0.04210856894755909,0.020767769877606073,0.020767769877606073,0.02068447942998989,,
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.03938444220488589,0.039277105913924984,0.03916008899348275,0.0033571259727666405,0.0017972545277539173,0.001795689008450974,0.0017898817656381394,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.803125191164327,25.77634533952281,25.75902470704993,6.2057351918244255,3.7675101411748217,3.7633991363992996,3.7518907886487307,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.97286862414579,42.926169985233535,42.89194332237059,10.147885226526986,6.142461838990083,6.135228843294317,6.1160367810476695,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.04105557177629756,0.040927888352451404,0.040821953503836245,0.0018336460545392602,0.0009828590497154284,0.000981636065391587,0.0009805383955923612,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.628855946473465,23.605658170508423,23.59112496839741,5.8121029968789175,3.5295186555190305,3.524965832720215,3.513211429006337,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.10023448588249756,0.09995365620281188,0.09963693373490615,0.011785280814668063,0.006495166154658002,0.006495166154658002,0.006443282423546641,,
QCD,1126208.5372077704,1204990.9790546382,1204990.9790546382,1200738.052316178,1197558.877157514,28.054246643507533,2.1282289447162337,2.1282289447162337,2.1282289447162337,,
TT,126178.01663528237,126178.01663528237,126178.01663528237,125721.86252072458,125249.58535996148,6.711647574308787,0.22283952459049777,0.22283952459049777,0.22283952459049777,,
ST,11213.018738828063,11213.018738828063,11213.018738828063,11168.452048314444,11140.719505951973,0.4852390242150444,0.0,0.0,0.0,,
W+Jets,15930.077126498532,15930.077126498532,15930.077126498532,15881.107695718065,15842.384142944156,1.7753337754403034,0.23249108906932253,0.23249108906932253,0.23249108906932253,,
Z+Jets,22772.15825578505,22772.15825578505,22772.15825578505,22689.51909652289,22638.01021402513,0.9159599339092133,0.16585144497909934,0.16585144497909934,0.16585144497909934,,
Diboson,1008.665041486354,1008.665041486354,1008.665041486354,1005.0573352561039,1001.5335960272366,0.0,0.0,0.0,0.0,,
ggFHbb,223.1087799478259,223.1087799478259,223.1087799478259,222.71968015957236,221.89439691067292,0.0,0.0,0.0,0.0,,
VBFHbb,71.28205035333777,71.28205035333777,71.28205035333777,71.08197998191031,70.88904592719425,0.0,0.0,0.0,0.0,,
ZHbb,67.12062616739404,67.12062616739404,67.12062616739404,66.95505508866002,66.85027969634586,0.005364808223719335,0.0080872919920888,0.0080872919920888,0.0080872919920888,,
WHbb,116.35029311753367,116.35029311753367,116.35029311753367,116.09016021113949,115.97731768365011,0.004085057828085782,0.0012115074069307728,0.0012115074069307728,0.0012115074069307728,,
ggZHbb,10.311005316400479,10.311005316400479,10.311005316400479,10.28303977032229,10.258567730652926,0.0003155091441551488,0.0003155091441551488,0.0003155091441551488,0.0003155091441551488,,
ttHbb,354.83801865944884,354.83801865944884,354.83801865944884,353.4782835063519,351.99796261301265,0.013592377506338372,0.0018201593182085546,0.0018201593182085546,0.0018201593182085546,,
HWW,172.07437391871363,172.07437391871363,172.07437391871363,171.39708029390346,170.57519080446693,0.3452618821582025,0.056496531098282766,0.056496531098282766,0.056496531098282766,,
Data,1383108.0,1383108.0,1383108.0,,,69.0,5.0,5.0,5.0,1383108.0,1383108.0
