,Pre-selection,QCD SF,LP SF,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,BDTScoreVBF < 0.999,BDTScore_JER_up >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9735,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.9965
HHbbVV,0.9147081031687907,0.9147081031687907,0.9147081031687907,0.9087910422523933,0.9039911771807736,0.8944081710794429,0.044685032733314756,0.031052492957959074,0.030994141280344552,0.03078431057222877,,,
ggHH_kl_2p45_kt_1_HHbbVV,0.6688447704532685,0.6688447704532685,0.6688447704532685,0.6648232888972543,0.6615304688795937,0.6536408595188581,0.03208842508397798,0.021975213404483326,0.021942833404800934,0.02185006593083934,,,
ggHH_kl_5_kt_1_HHbbVV,0.6956895087373941,0.6956895087373941,0.6956895087373941,0.6919837261137559,0.6895359500254084,0.6828231677522998,0.021468187397375493,0.01494644001184419,0.01494644001184419,0.014882523113468197,,,
ggHH_kl_0_kt_1_HHbbVV,1.1944766869755938,1.1944766869755938,1.1944766869755938,1.1863320607318555,1.1793065385470574,1.1676268064468767,0.058287350365283305,0.04197595080010949,0.041842379507715285,0.04174401225710283,,,
VBFHHbbVV,0.017115373482989717,0.017115373482989717,0.017115373482989717,0.017017363606822954,0.016929960784848687,0.015911719436047557,0.00038697844442104896,0.00027072432648329176,0.00027072432648329176,0.0002670460601480818,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.060969753010587,9.060969753010587,9.060969753010587,9.040636795335303,9.026372449520458,7.318257201066382,0.1940136785157021,0.14109224657602537,0.14082159369220532,0.14004752980819765,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269096111629358,15.269096111629358,15.269096111629358,15.235710988413302,15.208705941882577,12.421374241628772,0.33041839051917493,0.24167059236363442,0.2406368302174774,0.23902813096475622,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0173959132140592,0.0173959132140592,0.0173959132140592,0.017297188158115442,0.01721631337755096,0.016732428427789867,0.0002322628536821607,0.00013527469456508552,0.00013527469456508552,0.00013527469456508552,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138882127595444,8.138882127595444,8.138882127595444,8.123037690630078,8.112049494318502,6.505057235997593,0.17455305795502357,0.12931119632311946,0.12915477759654326,0.12839991977792553,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04617824244896124,0.04617824244896124,0.04617824244896124,0.045925054049681675,0.04568813387406423,0.04181135676943925,0.0011633530446900772,0.0008278438740170948,0.0008278438740170948,0.0008220008026271425,,,
QCD,717986.216814939,956785.8146709627,956785.8146709627,948644.7035294859,941689.1725997124,941683.4058414305,29.04000848934044,0.0,0.0,0.0,,,
TT,63126.80979180276,63126.80979180276,63126.80979180276,62748.65359108715,62350.558550020374,62348.78545307739,9.540236424216332,2.3131830279585435,2.089097726326395,2.0152630748010836,,,
ST,5417.824558008516,5417.824558008516,5417.824558008516,5380.019529035428,5352.781145230527,5352.72605383372,0.7163401517499594,0.2793657353914413,0.2793657353914413,0.2793657353914413,,,
W+Jets,9487.889178263631,9487.889178263631,9487.889178263631,9424.098448265346,9376.427000646685,9375.994114735002,2.341652369516071,0.7565571911299217,0.7565571911299217,0.7565571911299217,,,
Z+Jets,12055.822300436781,12055.822300436781,12055.822300436781,11970.280347915328,11907.501953889905,11907.36783199193,1.5664993865348762,0.6273778527918927,0.6273778527918927,0.6273778527918927,,,
Diboson,544.751536187187,544.751536187187,544.751536187187,541.0881926888653,539.2414054191454,539.2414054191454,0.0,0.0,0.0,0.0,,,
ggFHbb,120.74204174793252,120.74204174793252,120.74204174793252,120.07042524743345,119.27825223478067,119.27825223478067,0.0,0.0,0.0,0.0,,,
VBFHbb,32.24173303425971,32.24173303425971,32.24173303425971,32.11233185743809,31.972834248054944,31.972834248054944,0.0,0.0,0.0,0.0,,,
ZHbb,32.70020301080715,32.70020301080715,32.70020301080715,32.50629199227846,32.37127325754241,32.37127325754241,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596,,,
WHbb,56.014320595270185,56.014320595270185,56.014320595270185,55.67763486575412,55.48629077310594,55.48629077310594,0.003516582583401531,0.0015407501131703208,0.0015407501131703208,0.0015407501131703208,,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.8805631912185055,4.8517784616619,4.8285634978383225,4.828338762997064,0.0005317825039521165,0.0,0.0,0.0,,,
ttHbb,156.94119216557863,156.94119216557863,156.94119216557863,156.03648620372667,155.10345329641785,155.0981509510903,0.02795210308808234,0.013776414092564325,0.013776414092564325,0.013056311202936365,,,
HWW,80.56791059341468,80.56791059341468,80.56791059341468,80.16639644289663,79.67713590709836,79.59819850334117,0.42729609829383774,0.1452635667853634,0.13890603689765957,0.1284723528959713,,,
Data,1047903.0,1047903.0,1047903.0,,,1047879.0,,13.0,13.0,12.0,1047903.0,1047903.0,97.0
