,Pre-selection,QCD SF,LP SF,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,BDTScoreVBF < 0.999,BDTScore_JES_down >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9735,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.9965
HHbbVV,0.9147081031687907,0.9147081031687907,0.9147081031687907,0.9021974589337566,0.8921274934572291,0.8825738658610486,0.04376323389309378,0.03056770005169774,0.03050934837408322,0.030291118034853865,,,
ggHH_kl_2p45_kt_1_HHbbVV,0.6688447704532685,0.6688447704532685,0.6688447704532685,0.6606251851799471,0.654055669353281,0.6461877795527808,0.032001198134915025,0.02198300261868874,0.021947678753070674,0.02185491127910908,,,
ggHH_kl_5_kt_1_HHbbVV,0.6956895087373941,0.6956895087373941,0.6956895087373941,0.6877389328223249,0.6810698404272066,0.674357058154098,0.02130558961456535,0.014890703288650036,0.014890703288650036,0.014826786390274044,,,
ggHH_kl_0_kt_1_HHbbVV,1.1944766869755938,1.1944766869755938,1.1944766869755938,1.176818579571213,1.1617121639970687,1.150032431896888,0.05711835934449434,0.04097301968281146,0.040859614581457586,0.04076124733084513,,,
VBFHHbbVV,0.017115373482989717,0.017115373482989717,0.017115373482989717,0.016919511679774117,0.016710528233663646,0.015695842333098623,0.00037234867585226304,0.0002662901233539619,0.0002662901233539619,0.0002626118570187519,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.060969753010587,9.060969753010587,9.060969753010587,9.022591570183286,8.993098263152001,7.285968474822737,0.19349088202132506,0.14104374748978443,0.1407340567354678,0.13995999285146016,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269096111629358,15.269096111629358,15.269096111629358,15.199677089537838,15.145129783948754,12.360003050920826,0.329996326346653,0.24051551167037338,0.23948174952421636,0.23796989820965075,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0173959132140592,0.0173959132140592,0.0173959132140592,0.01720697227181179,0.017039203791830167,0.016558189224655177,0.0002347142900670303,0.00013494379955342008,0.00013494379955342008,0.00013494379955342008,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138882127595444,8.138882127595444,8.138882127595444,8.1076359787108,8.084305121253376,6.478041383699774,0.17373168723852261,0.12867709067281322,0.12852067194623704,0.12776873006482325,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04617824244896124,0.04617824244896124,0.04617824244896124,0.045614762720094335,0.045084105521786697,0.04121151378084571,0.0011398329362759503,0.0008140335734102619,0.0008140335734102619,0.0008081905020203096,,,
QCD,717986.216814939,956785.8146709627,956785.8146709627,938661.3615136005,924579.0079995885,924573.241241307,24.87049132171337,0.0,0.0,0.0,,,
TT,63126.80979180276,63126.80979180276,63126.80979180276,62281.26379618576,61419.84821786183,61418.07512091887,9.470585556926956,2.2799918840677122,2.027749729946093,1.9539150784207815,,,
ST,5417.824558008516,5417.824558008516,5417.824558008516,5343.110583081037,5284.0364074716335,5283.981316074824,0.7163401517499594,0.2793657353914413,0.2793657353914413,0.2793657353914413,,,
W+Jets,9487.889178263631,9487.889178263631,9487.889178263631,9357.72731042376,9249.165805487482,9248.732919575797,2.2707136542025235,0.7507320577341214,0.7507320577341214,0.7507320577341214,,,
Z+Jets,12055.822300436781,12055.822300436781,12055.822300436781,11862.409496423767,11728.495220567063,11728.36109866909,1.4775448081476394,0.5384232744046556,0.5384232744046556,0.5384232744046556,,,
Diboson,544.751536187187,544.751536187187,544.751536187187,538.0128172568578,533.0567491419495,533.0567491419495,0.0,0.0,0.0,0.0,,,
ggFHbb,120.74204174793252,120.74204174793252,120.74204174793252,119.40071843999348,117.91244552095317,117.91244552095317,0.0,0.0,0.0,0.0,,,
VBFHbb,32.24173303425971,32.24173303425971,32.24173303425971,31.963053181455805,31.627848698776596,31.627848698776596,0.0,0.0,0.0,0.0,,,
ZHbb,32.70020301080715,32.70020301080715,32.70020301080715,32.31418583302164,32.04157172822267,32.04157172822267,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596,,,
WHbb,56.014320595270185,56.014320595270185,56.014320595270185,55.31129788288006,54.93711011186556,54.93711011186556,0.002718289506012823,0.0007424570357816126,0.0007424570357816126,0.0007424570357816126,,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.8805631912185055,4.818097766172652,4.7680686559651555,4.767843921123897,0.0004803233511648919,0.0,0.0,0.0,,,
ttHbb,156.94119216557863,156.94119216557863,156.94119216557863,154.9802638394503,152.95156197255415,152.94625962722668,0.02797163323815283,0.013776414092564325,0.013776414092564325,0.013056311202936365,,,
HWW,80.56791059341468,80.56791059341468,80.56791059341468,79.61251131832795,78.50954646527252,78.43060906151533,0.4274129561180129,0.1466837044312671,0.14032617454356328,0.12958872324216003,,,
Data,1047903.0,1047903.0,1047903.0,,,1047879.0,,13.0,13.0,12.0,1047903.0,1047903.0,97.0
