,Pre-selection,QCD SF,LP SF,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,BDTScoreVBF < 0.999,BDTScore_JER_up >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.9965
HHbbVV,1.108127280079604,1.108127280079604,1.108127280079604,1.1000283455508442,1.093563222944563,1.0825541059337829,0.05593297210844496,0.03772847050325265,0.037682097114171795,0.0375385218087632,,,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.8015758690220187,0.7964922393403449,0.7928382739676629,0.7827711896559126,0.03811828167586781,0.02643680107818272,0.026399733949794613,0.026332906017547442,,,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8397792227107982,0.835058321937548,0.8316139992092635,0.8245919279742548,0.02908525228865258,0.01929796880473268,0.01929796880473268,0.01926039953966004,,,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4337517442784347,1.4228120731930771,1.4130533265554628,1.3989759613488926,0.0627509796437167,0.041573336444030246,0.041411059489203664,0.041368268437387154,,,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.021440944541920692,0.021327016264919646,0.020017643958454283,0.0004977239534192082,0.00034736424039387014,0.0003453782672811912,0.00034297450673715323,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,11.015595087816134,10.991439674710634,10.972925334791851,8.915430603670233,0.2317947953503105,0.16827027015978008,0.16791386484712,0.16726467641317963,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.523340727906472,18.47629524681861,18.443564870299006,15.106813852177703,0.3995617236059621,0.2863282704079555,0.2857480678033658,0.28428614609158903,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.02138645978059985,0.021286140659751034,0.020628622591505847,0.00028324912153649664,0.00016614246299997135,0.00016385663669166162,0.00016385663669166162,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.95063113617899,9.930464059707752,9.916398819305595,7.971291178957766,0.2050290115122165,0.14763211883956334,0.14725588098431364,0.14669275316984323,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.05588556143177802,0.05553878736217713,0.05168069578742279,0.0013984953081890349,0.0010095727802651097,0.0010095727802651097,0.0009942993761985993,,,
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1208523.5722318934,1200033.7819080197,1200026.0648511911,15.889260257171221,0.0,0.0,0.0,,,
TT,76537.02908224265,76537.02908224265,76537.02908224265,76057.90175062326,75546.39913344698,75543.40011644799,11.672075954408868,2.6226305001864523,2.333400306117848,2.04793353595291,,,
ST,6617.229257123121,6617.229257123121,6617.229257123121,6569.594060609604,6535.389534232395,6535.126689522812,0.7217616923256962,0.0,0.0,0.0,,,
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12341.825146611021,12264.924202464117,12264.047441873461,2.1881124928326265,0.0,0.0,0.0,,,
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14601.95480697945,14517.83317032325,14517.769028677609,1.5150027115589069,0.775468207320707,0.775468207320707,0.775468207320707,,,
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,699.274850691623,695.7930322677172,695.7930322677172,0.0,0.0,0.0,0.0,,,
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,138.1359310079184,137.16716893739732,137.16716893739732,0.0,0.0,0.0,0.0,,,
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.474722810632116,40.36086441370259,40.36086441370259,0.0,0.0,0.0,0.0,,,
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.29663889299799,38.13726355471172,38.13726355471172,0.005879306153889316,0.005879306153889316,0.005879306153889316,0.005879306153889316,,,
WHbb,66.232275837835,66.232275837835,66.232275837835,65.79172252987414,65.57398960849181,65.57398960849181,0.002068149949222107,0.002068149949222107,0.002068149949222107,0.002068149949222107,,,
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.887904683527691,5.855217962847878,5.855217962847878,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,,,
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,186.88290996039103,185.72296875559454,185.71680318121423,0.031127591261233614,0.011663187857263104,0.011663187857263104,0.009041270585822214,,,
HWW,97.55810924622651,97.55810924622651,97.55810924622651,97.04385400611787,96.33153606063196,96.20587952067888,0.5717576443248491,0.1643599335704239,0.15100728936142369,0.14599572422844778,,,
Data,1331012.0,1331012.0,1331012.0,,,1330979.0,,22.0,22.0,22.0,1331012.0,1331012.0,119.0
