,Pre-selection,QCD SF,LP SF,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,BDTScoreVBF < 0.999,BDTScore_JES_up >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.9965
HHbbVV,1.108127280079604,1.108127280079604,1.108127280079604,1.1081035713714382,1.1080653903338389,1.0970436209662617,0.056467153592070704,0.03819914938898142,0.03812302489203999,0.037979449586631395,,,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.8015758690220187,0.8015742076520919,0.8015566517004539,0.7914826778378967,0.038495965510863234,0.026709617548644662,0.026681299183975257,0.026621015302556207,,,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8397792227107982,0.8397405576613581,0.8397405576613581,0.8327184864263495,0.029077369689823544,0.01921501797263806,0.01921501797263806,0.01917744870756542,,,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4337517442784347,1.4337099666557058,1.4336942879626964,1.41956093185814,0.06333380678679168,0.0419661063359145,0.04180382938108791,0.04176103832927141,,,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.020259991082839966,0.0005004690822111256,0.0003528147827295078,0.00035082880961682884,0.00034842504907279094,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,11.015595087816134,11.015391288747336,11.01533838984919,8.956049017527743,0.23315999503690918,0.16922345223032154,0.16886704691766147,0.16818966711158978,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.523340727906472,18.522941581949745,18.522941581949745,15.183509014966365,0.40225326853482174,0.28797869451017954,0.2875897369106485,0.2862219344509774,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.020842306228539154,0.00028767879513107386,0.00016811853611695224,0.0001658327098086425,0.0001658327098086425,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.95063113617899,9.950412548332135,9.95038847828237,8.004095394605649,0.20671008017125253,0.14913262728620436,0.14874591019820743,0.14816567211973947,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.052387506458965914,0.0014327833178610933,0.0010330621721004745,0.0010330621721004745,0.001017788768033964,,,
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1219439.4799126645,1219422.47933788,1219414.7622810518,15.889260257171221,0.0,0.0,0.0,,,
TT,76537.02908224265,76537.02908224265,76537.02908224265,76534.95448087924,76533.07862026204,76530.05083421378,12.030563555188925,2.6444540898912017,2.3082214116697495,2.0227546415048114,,,
ST,6617.229257123121,6617.229257123121,6617.229257123121,6616.778108324861,6616.821960574154,6616.55911586457,0.7217616923256962,0.0,0.0,0.0,,,
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12421.078715069132,12420.818420918185,12419.941660327533,2.263583078725602,0.08571279255314891,0.08571279255314891,0.08571279255314891,,,
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14716.544046931334,14716.383412145502,14716.319270499851,1.5150027115589069,0.775468207320707,0.775468207320707,0.775468207320707,,,
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,703.6912877316817,703.6912877316817,703.6912877316817,0.0,0.0,0.0,0.0,,,
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,138.81058175779788,138.81058175779788,138.81058175779788,0.0,0.0,0.0,0.0,,,
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.591331153836336,40.591331153836336,40.591331153836336,0.0,0.0,0.0,0.0,,,
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.55979972772222,38.55979972772222,38.55979972772222,0.005879306153889316,0.005879306153889316,0.005879306153889316,0.005879306153889316,,,
WHbb,66.232275837835,66.232275837835,66.232275837835,66.23173382727803,66.2285336555317,66.2285336555317,0.002068149949222107,0.002068149949222107,0.002068149949222107,0.002068149949222107,,,
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.921287148529628,5.921287148529628,5.921287148529628,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,,,
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,187.97421160742965,187.97065844812124,187.964492873741,0.032397104224290825,0.011663187857263104,0.011663187857263104,0.009041270585822214,,,
HWW,97.55810924622651,97.55810924622651,97.55810924622651,97.55627725126962,97.5572062066977,97.43101035069168,0.580160879243458,0.1696778121294496,0.1563251679204494,0.1513136027874735,,,
Data,1331012.0,1331012.0,1331012.0,,,1330979.0,,22.0,22.0,22.0,1331012.0,1331012.0,119.0
