,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF < 0.999,BDTScore_JMR_down >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.9965
HHbbVV,1.676130328580837,1.676130328580837,1.676130328580837,1.6712036429905937,1.6670538167650584,1.6381645128552338,0.11262958674638897,0.07938439050770482,0.07926436977465093,0.0787873076992974,
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.264909243644536,1.2618467256927668,1.2597105355923204,1.234982456743876,0.08023334497035242,0.05586188834227688,0.05577718846362111,0.05549393628855461,
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3326632776423553,1.3290754531862934,1.326456633520162,1.3083312140879724,0.057672152783737045,0.03992741961564196,0.03987416209527749,0.039796215220014475,
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.1462080925701774,2.1397217826630057,2.134657892688486,2.0976897470304836,0.13731846959668664,0.09410325176400716,0.09402964020287741,0.09327590867637268,
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.034024377674540085,0.03392488917746438,0.03385106547434957,0.031154002301841458,0.0008513024849265162,0.0006241591627494255,0.000620918106667051,0.0006113186555852009,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.76198779204722,20.740910849479715,20.727007927656505,15.903821261838276,0.49353940609078123,0.36114819615894445,0.36033019096374247,0.3588662985151964,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.78860657736119,34.750944180981556,34.72689350102866,26.854379069958274,0.8704506983119304,0.6418629838297193,0.6405690222143171,0.6355190326190119,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.03499528349928152,0.034883938631222695,0.034828787476897716,0.03347367153144324,0.0005773201001130071,0.0004060188526618968,0.0004058774573740497,0.00039963777846527607,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.901746176077005,18.88325592507293,18.87195683641766,14.3601842646961,0.4470170121279542,0.3302618931895389,0.3295136019671866,0.32782847885242195,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08890353276162892,0.08863948905629107,0.08838388941581067,0.07880082229995418,0.0029292690193039902,0.0021189205995621723,0.0021118146636735537,0.0020866559693696225,
QCD,1117757.9198795073,1251971.716351885,1251971.716351885,1247814.9781850395,1244750.07933536,1244732.1343265425,67.28310634226807,5.882107270266179,5.882107270266179,5.882107270266179,
TT,114729.52068857195,114729.52068857195,114729.52068857195,114375.90267312861,114019.19131760647,114013.39252180453,19.422781544714653,3.75029336254596,3.0680668685339536,3.040913786608685,
ST,9991.097357360093,9991.097357360093,9991.097357360093,9956.444147193402,9930.244963807756,9928.917874231587,2.8009510611023987,0.6894987125411937,0.6894987125411937,0.6894987125411937,
W+Jets,14710.822213085146,14710.822213085146,14710.822213085146,14672.491652608198,14641.631954844934,14640.307900717218,5.947426913248076,1.0689774014457376,1.0689774014457376,1.0689774014457376,
Z+Jets,21597.004857058182,21597.004857058182,21597.004857058182,21522.694272012075,21479.126831498128,21478.311853248793,3.1889294922386,1.6654678370913483,1.6654678370913483,1.6654678370913483,
Diboson,936.1606241609028,936.1606241609028,936.1606241609028,932.3120773317856,930.6761200627391,930.6761200627391,0.28001420954562,0.0,0.0,0.0,
ggFHbb,224.56874142701201,224.56874142701201,224.56874142701201,224.09132954605533,223.5656191986538,223.5656191986538,0.02215841641627536,0.02215841641627536,0.02215841641627536,0.02215841641627536,
VBFHbb,66.27722451912622,66.27722451912622,66.27722451912622,66.16198883813554,66.0249915252132,65.99365088886346,0.0,0.0,0.0,0.0,
ZHbb,63.465766584473805,63.465766584473805,63.465766584473805,63.322797344840964,63.235634550720064,63.23426270035958,0.00857237427646703,0.0026931065516686103,0.0026931065516686103,0.0026931065516686103,
WHbb,108.86564442012758,108.86564442012758,108.86564442012758,108.63886528171966,108.52664862322723,108.51995537902327,0.0287363603746593,0.019366188813836845,0.019366188813836845,0.019366188813836845,
ggZHbb,9.5080271296301,9.5080271296301,9.5080271296301,9.483212575914823,9.46312346044892,9.462879793200281,0.0008216839630774777,0.0005522268505756501,0.0005522268505756501,0.0005522268505756501,
ttHbb,312.2634270090423,312.2634270090423,312.2634270090423,311.1744105719533,310.21793216817366,310.2091465105803,0.07562355559695615,0.028175352366405018,0.025574933744878924,0.025574933744878924,
HWW,150.72907678953348,150.72907678953348,150.72907678953348,150.22850888691733,149.66583899443282,149.38456187395192,0.9410778660755792,0.30433430057681343,0.30176571581675116,0.290567972990595,
Data,1414872.0,1414872.0,1414872.0,1414872.0,1414872.0,1414811.0,,48.0,47.0,46.0,186.0
