,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF < 0.999,BDTScore_JMR_up >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.9965
HHbbVV,1.676130328580837,1.676130328580837,1.676130328580837,1.6712036429905937,1.6670538167650584,1.6381645128552338,0.09963166893064665,0.06977274821676172,0.06967356574398531,0.06924977890547447,
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.264909243644536,1.2618467256927668,1.2597105355923204,1.234982456743876,0.07113398002112734,0.049384697999915406,0.049304377458060336,0.049033231935503734,
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3326632776423553,1.3290754531862934,1.326456633520162,1.3083312140879724,0.050727299973037,0.035312620742767135,0.03525936322240267,0.03518141634713966,
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.1462080925701774,2.1397217826630057,2.134657892688486,2.0976897470304836,0.12319300610263349,0.08450063055092077,0.08434009446705087,0.0837259259298114,
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.034024377674540085,0.03392488917746438,0.03385106547434957,0.031154002301841458,0.0007567788563694266,0.0005476003006127249,0.0005443592445303503,0.0005382620201806813,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.76198779204722,20.740910849479715,20.727007927656505,15.903821261838276,0.418365446384319,0.30649248105353105,0.30571412435938466,0.30463031342590785,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.78860657736119,34.750944180981556,34.72689350102866,26.854379069958274,0.7340806307408303,0.5418496011137902,0.5409363792745036,0.5366019746735989,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.03499528349928152,0.034883938631222695,0.034828787476897716,0.03347367153144324,0.0005094828098939127,0.0003364066119465658,0.0003362652166587188,0.0003300255377499451,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.901746176077005,18.88325592507293,18.87195683641766,14.3601842646961,0.37708656067133,0.2784823088690659,0.27778549644685147,0.27641728581749,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08890353276162892,0.08863948905629107,0.08838388941581067,0.07880082229995418,0.0024141278064734053,0.0017803215313651369,0.0017732155954765184,0.0017500727987250495,
QCD,1117757.9198795073,1251971.716351885,1251971.716351885,1247814.9781850395,1244750.07933536,1244732.1343265425,71.43740135105875,11.584656126195698,11.584656126195698,11.584656126195698,
TT,114729.52068857195,114729.52068857195,114729.52068857195,114375.90267312861,114019.19131760647,114013.39252180453,20.133456318591776,3.4707846611803284,2.8277420024575877,2.7477527432989146,
ST,9991.097357360093,9991.097357360093,9991.097357360093,9956.444147193402,9930.244963807756,9928.917874231587,2.6685422714066793,0.8038150546612054,0.8038150546612054,0.8038150546612054,
W+Jets,14710.822213085146,14710.822213085146,14710.822213085146,14672.491652608198,14641.631954844934,14640.307900717218,6.255152788020424,1.0979962361978723,1.0979962361978723,1.0979962361978723,
Z+Jets,21597.004857058182,21597.004857058182,21597.004857058182,21522.694272012075,21479.126831498128,21478.311853248793,3.337986801612322,1.5816231998187942,1.5816231998187942,1.5816231998187942,
Diboson,936.1606241609028,936.1606241609028,936.1606241609028,932.3120773317856,930.6761200627391,930.6761200627391,0.0,0.0,0.0,0.0,
ggFHbb,224.56874142701201,224.56874142701201,224.56874142701201,224.09132954605533,223.5656191986538,223.5656191986538,0.0,0.0,0.0,0.0,
VBFHbb,66.27722451912622,66.27722451912622,66.27722451912622,66.16198883813554,66.0249915252132,65.99365088886346,0.0,0.0,0.0,0.0,
ZHbb,63.465766584473805,63.465766584473805,63.465766584473805,63.322797344840964,63.235634550720064,63.23426270035958,0.010284347079404593,0.005158965178250733,0.005158965178250733,0.005158965178250733,
WHbb,108.86564442012758,108.86564442012758,108.86564442012758,108.63886528171966,108.52664862322723,108.51995537902327,0.030267190186754805,0.020638562614105314,0.020638562614105314,0.020638562614105314,
ggZHbb,9.5080271296301,9.5080271296301,9.5080271296301,9.483212575914823,9.46312346044892,9.462879793200281,0.00028610063665912794,0.00028610063665912794,0.00028610063665912794,0.00028610063665912794,
ttHbb,312.2634270090423,312.2634270090423,312.2634270090423,311.1744105719533,310.21793216817366,310.2091465105803,0.0967959616632261,0.04003648307585083,0.034650134689543775,0.031797448720775646,
HWW,150.72907678953348,150.72907678953348,150.72907678953348,150.22850888691733,149.66583899443282,149.38456187395192,0.862098154502716,0.2744447621880208,0.2701922447293458,0.26198308932836056,
Data,1414872.0,1414872.0,1414872.0,1414872.0,1414872.0,1414811.0,,48.0,47.0,46.0,186.0
