,Pre-selection,QCD SF,LP SF,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,BDTScoreVBF < 0.999,BDTScore_JER_down >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9734,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.9965
HHbbVV,1.706591057896172,1.706591057896172,1.706591057896172,1.701785185949453,1.6976235820778385,1.6626930370683985,0.11568350819610157,0.079879371394348,0.07975923672387768,0.07932778891913508,,,
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.3238501132828857,1.3205293308077524,1.317980748116613,1.2867454201650286,0.08414638043452395,0.05703760293635639,0.056980786801780134,0.056723946479884046,,,
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4540657446775804,1.4510057503735083,1.4476621550387372,1.4222381592979803,0.06468928591367643,0.04436720680386787,0.04436720680386787,0.04419294629131594,,,
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1525536887480916,2.1456179369130273,2.140772836065327,2.0986642671177678,0.13970218657674227,0.09362613169529,0.09348175400856405,0.09304014621887231,,,
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.03938444220488589,0.039277105913924984,0.03916008899348275,0.03580296302071611,0.0010558603936301253,0.000709930330846735,0.0007059030280271699,0.0007034647430719164,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.803125191164327,25.77634533952281,25.75902470704993,19.5532895152255,0.5850705702789909,0.4267899295446812,0.42598694588182506,0.4246860376439857,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.97286862414579,42.926169985233535,42.89194332237059,32.74405809584361,0.9886228723193553,0.7189532216901899,0.7174855365696013,0.7142022289665315,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.04105557177629756,0.040927888352451404,0.040821953503836245,0.03898830744929699,0.0007236740341458373,0.0005112714734872048,0.0005112714734872048,0.0005112714734872048,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.628855946473465,23.605658170508423,23.59112496839741,17.77902197151849,0.5193994715321073,0.37967758840136717,0.37882087526395664,0.3767007966147736,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.10023448588249756,0.09995365620281188,0.09963693373490615,0.08785165292023808,0.0036402360732375183,0.002575650804450046,0.0025742786181908576,0.0025742786181908576,,,
QCD,1126208.5372077704,1204990.9790546382,1204990.9790546382,1200738.052316178,1197558.877157514,1197530.8229108702,45.72092934945287,4.079153202648582,4.079153202648582,4.079153202648582,,,
TT,126178.01663528237,126178.01663528237,126178.01663528237,125721.86252072458,125249.58535996148,125242.87371238717,29.26760674196252,5.5998919151339175,5.0491875186663195,4.546320325275504,,,
ST,11213.018738828063,11213.018738828063,11213.018738828063,11168.452048314444,11140.719505951973,11140.234266927757,2.120020322306929,0.49342328339902114,0.49342328339902114,0.49342328339902114,,,
W+Jets,15930.077126498532,15930.077126498532,15930.077126498532,15881.107695718065,15842.384142944156,15840.608809168722,6.284804208311093,1.8145731338052624,1.8145731338052624,1.8145731338052624,,,
Z+Jets,22772.15825578505,22772.15825578505,22772.15825578505,22689.51909652289,22638.01021402513,22637.094254091226,2.7226322255852042,0.9551646248735763,0.9551646248735763,0.9551646248735763,,,
Diboson,1008.665041486354,1008.665041486354,1008.665041486354,1005.0573352561039,1001.5335960272366,1001.5335960272366,0.0,0.0,0.0,0.0,,,
ggFHbb,223.1087799478259,223.1087799478259,223.1087799478259,222.71968015957236,221.89439691067292,221.89439691067292,0.031571511719930515,0.0,0.0,0.0,,,
VBFHbb,71.28205035333777,71.28205035333777,71.28205035333777,71.08197998191031,70.88904592719425,70.88904592719425,0.0,0.0,0.0,0.0,,,
ZHbb,67.12062616739404,67.12062616739404,67.12062616739404,66.95505508866002,66.85027969634586,66.84491488812215,0.007923513139116479,0.0028784112656099264,0.0028784112656099264,0.0028784112656099264,,,
WHbb,116.35029311753367,116.35029311753367,116.35029311753367,116.09016021113949,115.97731768365011,115.973232625822,0.023420677469734634,0.017954227728445397,0.017954227728445397,0.017954227728445397,,,
ggZHbb,10.311005316400479,10.311005316400479,10.311005316400479,10.28303977032229,10.258567730652926,10.25825222150877,0.001998994069992338,0.0015649664772532357,0.0015649664772532357,0.0015649664772532357,,,
ttHbb,354.83801865944884,354.83801865944884,354.83801865944884,353.4782835063519,351.99796261301265,351.98437023550633,0.0812399610507871,0.026185771325660315,0.02346467544089675,0.02162334698062276,,,
HWW,172.07437391871363,172.07437391871363,172.07437391871363,171.39708029390346,170.57519080446693,170.22992892230874,1.1699602042676371,0.3133881457718997,0.30611902384623824,0.2927553047501643,,,
Data,1383108.0,1383108.0,1383108.0,,,1383039.0,,39.0,37.0,36.0,1383108.0,1383108.0,191.0
