,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF < 0.999,BDTScore >= 0.997,bbFatJetParticleNetMD_Txbb >= 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.676130328580837,1.676130328580837,1.676130328580837,1.6712036429905937,1.6670538167650584,1.6381645128552338,0.09638876748477747,0.047455516620138256,0.04736553577834877,0.047096119986210126
QCD,1117757.9198795073,1251971.716351885,1251971.716351885,1247814.9781850395,1244750.07933536,1244732.1343265425,28.270668198432602,0.5410178985312957,0.5410178985312957,0.5410178985312957
TT,114729.52068857195,114729.52068857195,114729.52068857195,114375.90267312861,114019.19131760647,114013.39252180453,14.684293222471652,1.366719621146402,1.2384167447997547,1.2271526067099368
ST,9991.097357360093,9991.097357360093,9991.097357360093,9956.444147193402,9930.244963807756,9928.917874231587,2.422009603292811,0.32920936883476043,0.32920936883476043,0.32920936883476043
W+Jets,14710.822213085146,14710.822213085146,14710.822213085146,14672.491652608198,14641.631954844934,14640.307900717218,5.1749417315619155,0.3917440518634182,0.3917440518634182,0.3917440518634182
Z+Jets,21597.004857058182,21597.004857058182,21597.004857058182,21522.694272012075,21479.126831498128,21478.311853248793,2.5688993438901186,0.4899108856822614,0.4899108856822614,0.4899108856822614
Diboson,936.1606241609028,936.1606241609028,936.1606241609028,932.3120773317856,930.6761200627391,930.6761200627391,0.28001420954562,0.0,0.0,0.0
ggFHbb,224.56874142701201,224.56874142701201,224.56874142701201,224.09132954605533,223.5656191986538,223.5656191986538,0.0,0.0,0.0,0.0
VBFHbb,66.27722451912622,66.27722451912622,66.27722451912622,66.16198883813554,66.0249915252132,65.99365088886346,0.0,0.0,0.0,0.0
ZHbb,63.465766584473805,63.465766584473805,63.465766584473805,63.322797344840964,63.235634550720064,63.23426270035958,0.007126967067461129,0.0012476993426627087,0.0012476993426627087,0.0012476993426627087
WHbb,108.86564442012758,108.86564442012758,108.86564442012758,108.63886528171966,108.52664862322723,108.51995537902327,0.017437523476570453,0.004243795206367422,0.004243795206367422,0.004243795206367422
ggZHbb,9.5080271296301,9.5080271296301,9.5080271296301,9.483212575914823,9.46312346044892,9.462879793200281,0.00028610063665912794,7.357237055640027e-05,7.357237055640027e-05,7.357237055640027e-05
ttHbb,312.2634270090423,312.2634270090423,312.2634270090423,311.1744105719533,310.21793216817366,310.2091465105803,0.06634591622631673,0.009146404942324795,0.009146404942324795,0.009146404942324795
HWW,150.72907678953348,150.72907678953348,150.72907678953348,150.22850888691733,149.66583899443282,149.38456187395192,0.7998051720396722,0.14687007124218288,0.145150697374493,0.145150697374493
Data,1414872.0,1414872.0,1414872.0,1414872.0,1414872.0,1414811.0,138.0,14.0,14.0,13.0
