,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF < 0.999,BDTScore >= 0.9,bbFatJetParticleNetMD_Txbb >= 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.108127280079604,1.108127280079604,1.108127280079604,1.1005594143174928,1.0940812392241102,1.08307212221333,0.45607777596276267,0.21056646943531032,0.2103122058177272,0.209661936174486
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1208187.047601593,1199914.6854996895,1199906.968442861,7625.497341379077,589.8717205344211,582.4893513020365,577.4933238796483
TT,76537.02908224265,76537.02908224265,76537.02908224265,76036.67089183381,75504.25522211792,75501.22743606972,1545.4081907346742,103.17909736989756,96.16255508746704,90.75143549100073
ST,6617.229257123121,6617.229257123121,6617.229257123121,6568.071623368754,6530.558860743446,6530.296016033862,130.17041847315573,9.134618795955722,8.424124838373515,8.053302870712896
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12341.31450378544,12265.115729916284,12264.238969325628,217.77265808396993,19.020288959322606,19.020288959322606,19.020288959322606
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14601.426751424733,14517.101697865306,14517.037556219659,177.60618203617756,43.074276574859866,42.87281862234483,42.87281862234483
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,699.1389217855917,695.3097641927543,695.3097641927543,9.505850090334462,2.0425634982210727,2.0425634982210727,2.0425634982210727
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,138.12124620347993,137.14696515108136,137.14696515108136,0.957836516442484,0.4106813361819554,0.4106813361819554,0.40111240414671145
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.47235839402518,40.3369080970762,40.3369080970762,0.32290318012765035,0.19786662800018384,0.19786662800018384,0.19786662800018384
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.30734801182328,38.14508043229702,38.14508043229702,0.6606218180443406,0.3299742197310816,0.32761479574275437,0.3262579519584238
WHbb,66.232275837835,66.232275837835,66.232275837835,65.79568909543664,65.5789510146088,65.5789510146088,1.42811211337176,0.6490369242241936,0.6480194171861605,0.6480194171861605
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.88900772329133,5.855043713430598,5.855043713430598,0.10830694884981179,0.04574142718023923,0.04574142718023923,0.04544517763551016
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,186.85674951555848,185.63841488932138,185.6322493149411,3.8881179025679247,0.7426715050893474,0.6953986515373463,0.632411563605233
HWW,97.55810924622651,97.55810924622651,97.55810924622651,97.00857794271565,96.26976864081334,96.14411210086026,7.394696191558234,0.865703966062374,0.8233844158611089,0.7850867816781054
Data,1331012.0,1331012.0,1331012.0,1331012.0,1331012.0,1330979.0,21070.0,1464.0,1447.0,1435.0
