,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,BDTScore_JES_up >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9737,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.995
HHbbVV,1.108127280079604,1.108127280079604,1.1081035713714382,1.1080653903338389,0.08638643869256094,0.0590730967629867,0.054170027632122225,0.05407798669718431,0.053847482280629425,,,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.8015742076520919,0.8015566517004539,0.06098325265522665,0.042565544539471166,0.03805257277469617,0.03801620745061013,0.037877368424372726,,,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8397405576613581,0.8397405576613581,0.04432431125269752,0.029430569012596313,0.026700631196605304,0.026700631196605304,0.026663061931532665,,,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4337099666557058,1.4336942879626964,0.09932743494390933,0.06726292356459193,0.06059751854793391,0.060398842162467686,0.060275292973002215,,,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.0014466871202122237,0.001023894528573642,0.0006368790482495785,0.0006348930751368996,0.0006259507044834335,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,11.015391288747336,11.01533838984919,1.1462819273999072,0.8625700325441777,0.38763366400221927,0.38674730612572383,0.3850269315960519,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.522941581949745,18.522941581949745,1.9028674393155878,1.4225373799342877,0.6558649558115981,0.6546012576662839,0.6523238765326889,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.000760199028949571,0.0004968161240495152,0.000307352949408081,0.0003050671230997713,0.0003050671230997713,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.950412548332135,9.95038847828237,1.0581390224447431,0.7936096734962749,0.35076688235062176,0.3500354027716216,0.3488087912592854,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.004325913649089061,0.0031088437214697277,0.0019514651975296809,0.0019514651975296809,0.0019361917934631703,,,
QCD,900603.372757249,1219440.0804636534,1219439.4799126645,1219422.47933788,90.32965801184193,21.19594266446998,21.19594266446998,21.19594266446998,21.19594266446998,,,
TT,76537.02908224265,76537.02908224265,76534.95448087924,76533.07862026204,22.413108445962003,4.287401722514421,4.192809008003242,3.723450831648008,3.376186873321967,,,
ST,6617.229257123121,6617.229257123121,6616.778108324861,6616.821960574154,1.8728099135291516,0.28877678469869006,0.28877678469869006,0.28877678469869006,0.28877678469869006,,,
W+Jets,12421.273275458932,12421.273275458932,12421.078715069132,12420.818420918185,5.098138750085618,0.3048935812949931,0.3048935812949931,0.3048935812949931,0.3048935812949931,,,
Z+Jets,14717.02364266734,14717.02364266734,14716.544046931334,14716.383412145502,2.8810781281593316,1.4071970900431099,1.4071970900431099,1.4071970900431099,1.4071970900431099,,,
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,703.6912877316817,0.0,0.0,0.0,0.0,0.0,,,
ggFHbb,138.81856362723408,138.81856362723408,138.81058175779788,138.81058175779788,0.0,0.0,0.0,0.0,0.0,,,
VBFHbb,40.60062332311162,40.60062332311162,40.591331153836336,40.591331153836336,0.0,0.0,0.0,0.0,0.0,,,
ZHbb,38.56092725636813,38.56092725636813,38.55979972772222,38.55979972772222,0.007126048417925865,0.005879306153889316,0.005879306153889316,0.005879306153889316,0.005879306153889316,,,
WHbb,66.232275837835,66.232275837835,66.23173382727803,66.2285336555317,0.014088591237865196,0.014088591237865196,0.014088591237865196,0.014088591237865196,0.014088591237865196,,,
ggZHbb,5.921431593700421,5.921431593700421,5.921287148529628,5.921287148529628,0.00047704591933229177,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,,,
ttHbb,187.9810602386041,187.9810602386041,187.97421160742965,187.97065844812124,0.05899303414017488,0.026197376744968248,0.026197376744968248,0.023050001599193133,0.019102655024265586,,,
HWW,97.55810924622651,97.55810924622651,97.55627725126962,97.5572062066977,0.8663129571162814,0.2363249028356767,0.22048626103983343,0.20492705580021292,0.19765061490021574,,,
Data,1331012.0,1331012.0,,,,49.0,47.0,47.0,47.0,1331012.0,1331012.0,266.0
