,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMS_up >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9737,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.995
HHbbVV,1.108127280079604,1.108127280079604,1.1005594143174928,1.0940812392241102,0.08555125552169585,0.05839580712008644,0.05342446930601531,0.053346809339696155,0.05310399604645917,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.7966181927909652,0.7929251357407407,0.06055776749949052,0.04222513680525879,0.0377443012070575,0.03770793588297146,0.037561523921607526,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8351909835840614,0.8317756967171981,0.044140203155792215,0.029354581891736384,0.026624644075745375,0.026624644075745375,0.026587074810672736,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4226156102926775,1.4129101659183219,0.09798861819921638,0.06657516458100024,0.05999770869313979,0.05979903230767358,0.05964677717389078,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.021438896099242835,0.021315873451069035,0.0014486120206052598,0.001019604610355462,0.0006369962064823737,0.0006350102333696946,0.0006260678627162288,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,10.992704362069707,10.974097162767547,1.1460794168416721,0.8626908946264942,0.3877263393458532,0.38688645477349265,0.38515316964008944,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.47731328698665,18.44388166206678,1.89943947369639,1.4194030951878767,0.6540479802327996,0.6527842820874854,0.6505069009538904,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.021387774292197015,0.02128691499756289,0.0007636102828787987,0.0005019740995471941,0.0003114258952765519,0.0003091400689682421,0.0003091400689682421,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.931050331915193,9.916982995696745,1.0586494314698993,0.7947067143292278,0.35048985468345434,0.34973764780916355,0.34852248601779967,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05592359011921978,0.05559233902875846,0.004300525853214103,0.00309876567103438,0.0019405769980153384,0.0019405769980153384,0.001925303593948828,
QCD,900603.372757249,1219440.0804636534,1208187.047601593,1199914.6854996895,48.4456170510766,12.57486236168873,12.57486236168873,12.57486236168873,12.57486236168873,
TT,76537.02908224265,76537.02908224265,76036.67089183381,75504.25522211792,21.565570731079,4.272476198338148,4.177883483826968,3.785865152432151,3.43860119410611,
ST,6617.229257123121,6617.229257123121,6568.071623368754,6530.558860743446,1.8706557319701607,0.0,0.0,0.0,0.0,
W+Jets,12421.273275458932,12421.273275458932,12341.31450378544,12265.115729916284,4.444702699108657,0.16049302645787955,0.16049302645787955,0.16049302645787955,0.16049302645787955,
Z+Jets,14717.02364266734,14717.02364266734,14601.426751424733,14517.101697865306,2.641170233257493,1.2896019755210346,1.2896019755210346,1.2896019755210346,1.2896019755210346,
Diboson,703.6912877316817,703.6912877316817,699.1389217855917,695.3097641927543,0.0,0.0,0.0,0.0,0.0,
ggFHbb,138.81856362723408,138.81856362723408,138.12124620347993,137.14696515108136,0.0,0.0,0.0,0.0,0.0,
VBFHbb,40.60062332311162,40.60062332311162,40.47235839402518,40.3369080970762,0.0,0.0,0.0,0.0,0.0,
ZHbb,38.56092725636813,38.56092725636813,38.30734801182328,38.14508043229702,0.007126048417925865,0.005879306153889316,0.005879306153889316,0.005879306153889316,0.005879306153889316,
WHbb,66.232275837835,66.232275837835,65.79568909543664,65.5789510146088,0.014088591237865196,0.014088591237865196,0.014088591237865196,0.014088591237865196,0.014088591237865196,
ggZHbb,5.921431593700421,5.921431593700421,5.88900772329133,5.855043713430598,0.00047704591933229177,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,
ttHbb,187.9810602386041,187.9810602386041,186.85674951555848,185.63841488932138,0.056193900242736454,0.024442860879432107,0.024442860879432107,0.021918946200943278,0.01797159962601573,
HWW,97.55810924622651,97.55810924622651,97.00857794271565,96.26976864081334,0.8710485621300164,0.23672310555192827,0.22024828160192303,0.20593931751623237,0.19661481685425067,
Data,1331012.0,1331012.0,1331012.0,1331012.0,,49.0,47.0,47.0,47.0,266.0
