,Pre-selection,QCD SF,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,BDTScore_JER_up >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9714,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.995
HHbbVV,1.676130328580837,1.676130328580837,1.6709099393660427,1.6672443971869404,0.17112972836843607,0.11903663367965327,0.10608765486557346,0.10595977498543524,0.10545200593274062,,,
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.2615043790201776,1.2594839199156975,0.12605550389209041,0.08709907171086324,0.07661599660083562,0.07651554757499517,0.07620957251066178,,,
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3287072451979367,1.3262024089084452,0.09202533086330356,0.0630588549980236,0.05589108422309465,0.05583782670273017,0.05571472782849968,,,
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.1395602785254177,2.135088538056755,0.21119431790098087,0.14467381178700678,0.1289429815860306,0.12871333762046752,0.1278023898059874,,,
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.03392066619570052,0.03385693686252096,0.002579115750253271,0.0019406895657664127,0.0011446599333773564,0.0011388505745190854,0.0011273808362081586,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.73936620680514,20.725053995083915,2.6648328387945615,2.012500807309444,0.8472784334614263,0.845338118957263,0.8417653629724418,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.745830024675186,34.72232429758777,4.477993690175704,3.3959159009147695,1.4456201022627178,1.4427987912121816,1.4351434238639345,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.03487892569553672,0.034818203039090424,0.0015688442516326984,0.001086959054270348,0.0006955329650160361,0.000695391569728189,0.0006868613633522259,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.881339862897445,18.870516294954562,2.461269209844262,1.8649250202201113,0.7712408413063255,0.7695563312027559,0.765806542833694,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08865461665925986,0.08847362914093906,0.009477779083037088,0.006924664437748126,0.003856475728368081,0.0038411183524562453,0.0038159596581523133,,,
QCD,1117757.9198795073,1251971.716351885,1247749.91820995,1244813.4082957197,165.3154047967751,16.218321634976864,15.52553180100313,15.52553180100313,15.52553180100313,,,
TT,114729.52068857195,114729.52068857195,114437.97026728191,114132.08746619607,38.992417141534105,6.946443015997278,6.895853550201314,6.020508279494482,5.904102440709157,,,
ST,9991.097357360093,9991.097357360093,9961.00046905086,9938.240034904185,4.497445204315414,1.0019694498900742,1.0019694498900742,1.0019694498900742,1.0019694498900742,,,
W+Jets,14710.822213085146,14710.822213085146,14670.386968672208,14643.532361751837,9.322192536214597,1.7722944782359622,1.7722944782359622,1.7722944782359622,1.7722944782359622,,,
Z+Jets,21597.004857058182,21597.004857058182,21527.43054513457,21486.385080340002,5.945503313405931,2.842135878993446,2.775719768223542,2.775719768223542,2.775719768223542,,,
Diboson,936.1606241609028,936.1606241609028,932.1843657435936,930.3708375626252,0.28001420954562,0.0,0.0,0.0,0.0,,,
ggFHbb,224.56874142701201,224.56874142701201,224.0890706789042,223.6905964784125,0.036758875733498654,0.02215841641627536,0.02215841641627536,0.02215841641627536,0.02215841641627536,,,
VBFHbb,66.27722451912622,66.27722451912622,66.158353933224,66.05208234932266,0.0007622901412900761,0.0,0.0,0.0,0.0,,,
ZHbb,63.465766584473805,63.465766584473805,63.28863350654419,63.18969796746182,0.019305789203126242,0.011652836326522037,0.010280985966039774,0.010280985966039774,0.010280985966039774,,,
WHbb,108.86564442012758,108.86564442012758,108.59950330312063,108.482473694838,0.05603392262899596,0.03707499090049232,0.035314753218060026,0.035314753218060026,0.035314753218060026,,,
ggZHbb,9.5080271296301,9.5080271296301,9.48581603967797,9.468074681719918,0.0018484330480499863,0.001090152248106191,0.001090152248106191,0.001090152248106191,0.001090152248106191,,,
ttHbb,312.2634270090423,312.2634270090423,311.30158920167617,310.42204762583594,0.13497692331577574,0.05711286286621992,0.05470041908442129,0.049314070698114235,0.049314070698114235,,,
HWW,150.72907678953348,150.72907678953348,150.30305058855018,149.8340750587529,1.5441096467824194,0.45580512705335063,0.4230010410030255,0.4207320753591789,0.4040840644170752,,,
Data,1414872.0,1414872.0,,,,76.0,74.0,72.0,70.0,1414872.0,1414872.0,359.0
