,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,BDTScore_JES_up >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9714,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.995
HHbbVV,1.676130328580837,1.676130328580837,1.6757548522012857,1.6755174017437258,0.17200301325837136,0.11961702049338417,0.10666725516723133,0.1065393752870931,0.10602526307195914,,,
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.2646782303040833,1.264572593981776,0.12650931364170803,0.08742305520687725,0.07692444532038893,0.07682351937821186,0.07650744591751411,,,
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3324796079223353,1.3322927686557362,0.09256854851134466,0.06321528631161125,0.0559456813805829,0.05584350578604908,0.055720406911818586,,,
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.14574120877309,2.1453802117397194,0.2121508300003072,0.14568699571552934,0.12992074761933733,0.12969110365377423,0.12879762720227378,,,
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.03401878632576567,0.034014078043477246,0.0026015263396363232,0.0019477999585660044,0.001151902433152348,0.001146093074294077,0.001134998410199496,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.760097256521927,20.759327537372858,2.666740746586533,2.0149832548060793,0.848515663538099,0.8466032065759614,0.8428390864156547,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.78501103778664,34.783889362401446,4.4922263089880765,3.4069696939233105,1.4496205096888117,1.4467991986382758,1.4388321387205532,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.03499348154814317,0.034986891371333685,0.0015717547985484171,0.0010883167770497036,0.0006980845402515955,0.0006979431449637485,0.0006894129385877855,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.899812612265276,18.89899725944025,2.4660148799708073,1.8678073342221002,0.7725470965007738,0.7708655839280301,0.7671209702881446,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08889022380899324,0.08886420846200346,0.009513479616197711,0.006994912886247406,0.003915835244332111,0.003900477868420275,0.003875319174116344,,,
QCD,1117757.9198795073,1251971.716351885,1251682.6046422862,1251519.0665727286,176.50300952802388,18.06552901231859,17.372739178344858,17.372739178344858,17.372739178344858,,,
TT,114729.52068857195,114729.52068857195,114706.15876300249,114683.14121694586,39.69349258369002,7.022532692044439,6.971943226248475,6.096597955541643,5.898950907085903,,,
ST,9991.097357360093,9991.097357360093,9989.024577587452,9987.966441260009,4.557929610038908,1.0019694498900742,1.0019694498900742,1.0019694498900742,1.0019694498900742,,,
W+Jets,14710.822213085146,14710.822213085146,14707.90486347219,14705.855078584122,9.464120974891813,1.8911679768644822,1.8911679768644822,1.8911679768644822,1.8911679768644822,,,
Z+Jets,21597.004857058182,21597.004857058182,21592.713993914025,21589.977951000445,5.638372002809465,2.813945581369108,2.7475294705992046,2.7475294705992046,2.7475294705992046,,,
Diboson,936.1606241609028,936.1606241609028,935.6242769877188,935.6242769877188,0.28001420954562,0.0,0.0,0.0,0.0,,,
ggFHbb,224.56874142701201,224.56874142701201,224.5170485658804,224.45546900141025,0.036758875733498654,0.02215841641627536,0.02215841641627536,0.02215841641627536,0.02215841641627536,,,
VBFHbb,66.27722451912622,66.27722451912622,66.27546093253595,66.27338743540412,0.0007622901412900761,0.0,0.0,0.0,0.0,,,
ZHbb,63.465766584473805,63.465766584473805,63.45579974544757,63.45287399754096,0.01818714392975971,0.010534191053155503,0.00916234069267324,0.00916234069267324,0.00916234069267324,,,
WHbb,108.86564442012758,108.86564442012758,108.84087638332325,108.83414264832638,0.053167640580724984,0.03532931294915617,0.03356907526672388,0.03356907526672388,0.03356907526672388,,,
ggZHbb,9.5080271296301,9.5080271296301,9.505625210234324,9.504521809114898,0.001505440292263174,0.0010041238236630243,0.0010041238236630243,0.0010041238236630243,0.0010041238236630243,,,
ttHbb,312.2634270090423,312.2634270090423,312.18019451465693,312.12908216023584,0.1381947055974606,0.056440409335459955,0.05402796555366133,0.048641617167354274,0.048641617167354274,,,
HWW,150.72907678953348,150.72907678953348,150.68815304215195,150.65286062054875,1.5532528863186883,0.4552771164153193,0.42247303036499423,0.4198329104319545,0.4031848994898507,,,
Data,1414872.0,1414872.0,,,,76.0,74.0,72.0,70.0,1414872.0,1414872.0,359.0
