,Pre-selection,QCD SF,LP SF,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,BDTScore_JES_down >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.998
HHbbVV,1.676130328580837,1.676130328580837,1.676130328580837,1.6666139971059066,1.6591154859894288,0.13447023441060468,0.09439261031611218,0.09426004772704064,0.09379431122319257,,,
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.264909243644536,1.258682643328564,1.2542619870427407,0.09935468438659104,0.06887158015557349,0.06876777513516075,0.06845327690843536,,,
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3326632776423553,1.326301668406802,1.3210664369255933,0.07277665544303902,0.04971128063661362,0.049611450321601164,0.049318393583502165,,,
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.1462080925701774,2.133248092094022,2.1225341348193916,0.16609917801820018,0.1149088737549806,0.11464187433916412,0.11396120077247382,,,
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.034024377674540085,0.03383336419098479,0.033682252519826934,0.0018726084625938907,0.0014045494077509725,0.0013987400488927014,0.0013940518331993675,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.76198779204722,20.72007690504204,20.691431230911157,2.1571592465658203,1.638651178710821,1.6355595850523728,1.6301550390559107,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.78860657736119,34.713638841038545,34.66551485562907,3.635144176815458,2.780192781531815,2.7751688808776342,2.7646806027549333,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.03499528349928152,0.034775113179428316,0.03464415101840471,0.0011224755714770878,0.0007789037724173441,0.000778762377129497,0.0007701324066811745,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.901746176077005,18.86608712155698,18.84412655163469,2.0151865291274635,1.536131069048115,1.5337316202452687,1.5275563715749143,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08890353276162892,0.08840542303607321,0.08793676925528332,0.007002944792445362,0.005057074917271065,0.005043454846725395,0.0050155723019886505,,,
QCD,1117757.9198795073,1251971.716351885,1251971.716351885,1243348.6381278953,1237229.9947820366,103.81632421461708,17.850535761085194,17.850535761085194,17.850535761085194,,,
TT,114729.52068857195,114729.52068857195,114729.52068857195,114029.4683025561,113319.76404047944,20.63314564146787,3.4524205747489174,3.1132727774253937,3.012755882475518,,,
ST,9991.097357360093,9991.097357360093,9991.097357360093,9922.140634086192,9871.37221638479,2.5069112489658982,0.6894987125411937,0.6894987125411937,0.6894987125411937,,,
W+Jets,14710.822213085146,14710.822213085146,14710.822213085146,14632.074465297448,14569.755961664541,6.051306409407659,1.2917113256889043,1.2917113256889043,1.2917113256889043,,,
Z+Jets,21597.004857058182,21597.004857058182,21597.004857058182,21453.74146222078,21367.30115930057,4.1544110375269225,2.213372008137229,2.213372008137229,2.213372008137229,,,
Diboson,936.1606241609028,936.1606241609028,936.1606241609028,930.7571638443397,927.5041399569494,0.28001420954562,0.0,0.0,0.0,,,
ggFHbb,224.56874142701201,224.56874142701201,224.56874142701201,223.62056769434213,222.51728560123743,0.0,0.0,0.0,0.0,,,
VBFHbb,66.27722451912622,66.27722451912622,66.27722451912622,66.00733631376538,65.66476989295606,0.0,0.0,0.0,0.0,,,
ZHbb,63.465766584473805,63.465766584473805,63.465766584473805,63.16347309829043,62.98984926782434,0.019677520109494674,0.012075152044135775,0.012075152044135775,0.012075152044135775,,,
WHbb,108.86564442012758,108.86564442012758,108.86564442012758,108.37346398025522,108.13532762314294,0.025994567696789758,0.018561973623108182,0.018561973623108182,0.018561973623108182,,,
ggZHbb,9.5080271296301,9.5080271296301,9.5080271296301,9.45631134146326,9.41204558779923,0.0007379976097465021,0.0007379976097465021,0.0007379976097465021,0.0007379976097465021,,,
ttHbb,312.2634270090423,312.2634270090423,312.2634270090423,310.20534812719706,308.225452629239,0.09652381095892755,0.036958633172860515,0.036958633172860515,0.036958633172860515,,,
HWW,150.72907678953348,150.72907678953348,150.72907678953348,149.74304835468368,148.6507210554542,1.2247396864661346,0.37762985007779554,0.37631939027476474,0.35910474920447855,,,
Data,1414872.0,1414872.0,1414872.0,,,,45.0,44.0,41.0,1414872.0,1414872.0,205.0
