,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMS_down >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.998
HHbbVV,1.676130328580837,1.676130328580837,1.676130328580837,1.6712036429905937,1.6670538167650584,0.13476081735596193,0.09438460444560655,0.09422384820001847,0.093733740527085,
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.264909243644536,1.2618467256927668,1.2597105355923204,0.09933431478997323,0.0686185397542952,0.06851728977947871,0.06821449823273151,
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3326632776423553,1.3290754531862934,1.326456633520162,0.07235841498176676,0.0494039639879293,0.04930413367291685,0.04901107693481784,
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.1462080925701774,2.1397217826630057,2.134657892688486,0.16625662633621874,0.11457434954435851,0.11430735012854203,0.11362667656185174,
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.034024377674540085,0.03392488917746438,0.03385106547434957,0.0018765793379762427,0.001403162304510908,0.001397352945652637,0.0013926647299593031,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.76198779204722,20.740910849479715,20.727007927656505,2.1523630844477224,1.6353698000513401,1.6324077231746492,1.6267673863491021,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.78860657736119,34.750944180981556,34.72689350102866,3.620654551386651,2.772131530636571,2.767230844494799,2.756925306666499,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.03499528349928152,0.034883938631222695,0.034828787476897716,0.0011212418942080078,0.0007848679689575901,0.000784726573669743,0.0007737105028796609,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.901746176077005,18.88325592507293,18.87195683641766,2.0080190269900005,1.5300256768724296,1.5275393512114221,1.5215671149472603,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08890353276162892,0.08863948905629107,0.08838388941581067,0.007021432631211691,0.005094749572183104,0.005081129501637435,0.0050532469569006915,
QCD,1117757.9198795073,1251971.716351885,1251971.716351885,1247814.9781850395,1244750.07933536,83.76010576274408,7.940139098472591,7.940139098472591,7.940139098472591,
TT,114729.52068857195,114729.52068857195,114729.52068857195,114375.90267312861,114019.19131760647,21.428280473663513,3.5414280344131974,3.1298931607502585,3.029376265800382,
ST,9991.097357360093,9991.097357360093,9991.097357360093,9956.444147193402,9930.244963807756,2.5105191047252777,0.6894987125411937,0.6894987125411937,0.6894987125411937,
W+Jets,14710.822213085146,14710.822213085146,14710.822213085146,14672.491652608198,14641.631954844934,6.410641342944304,1.235994697467679,1.235994697467679,1.235994697467679,
Z+Jets,21597.004857058182,21597.004857058182,21597.004857058182,21522.694272012075,21479.126831498128,4.32821836995355,2.1560766921085373,2.1560766921085373,2.1560766921085373,
Diboson,936.1606241609028,936.1606241609028,936.1606241609028,932.3120773317856,930.6761200627391,0.28001420954562,0.0,0.0,0.0,
ggFHbb,224.56874142701201,224.56874142701201,224.56874142701201,224.09132954605533,223.5656191986538,0.0,0.0,0.0,0.0,
VBFHbb,66.27722451912622,66.27722451912622,66.27722451912622,66.16198883813554,66.0249915252132,0.0,0.0,0.0,0.0,
ZHbb,63.465766584473805,63.465766584473805,63.465766584473805,63.322797344840964,63.235634550720064,0.017802146035708028,0.011562703181241899,0.011562703181241899,0.011562703181241899,
WHbb,108.86564442012758,108.86564442012758,108.86564442012758,108.63886528171966,108.52664862322723,0.0237246820877674,0.016860746288100623,0.016860746288100623,0.016860746288100623,
ggZHbb,9.5080271296301,9.5080271296301,9.5080271296301,9.483212575914823,9.46312346044892,0.0007379976097465021,0.0007379976097465021,0.0007379976097465021,0.0007379976097465021,
ttHbb,312.2634270090423,312.2634270090423,312.2634270090423,311.1744105719533,310.21793216817366,0.09688550427739374,0.03799037035063806,0.03799037035063806,0.03799037035063806,
HWW,150.72907678953348,150.72907678953348,150.72907678953348,150.22850888691733,149.66583899443282,1.230912147456365,0.3781662014652108,0.3759338840771321,0.358719243006846,
Data,1414872.0,1414872.0,1414872.0,1414872.0,1414872.0,,45.0,44.0,41.0,205.0
