,Preselection,QCD SF,bbFatJetParticleNetMD_Txbb >= 0.97,VVFatJetParTMD_THWWvsT >= 0.8
QCD,979287.6349132347,979287.634913235,210430.09414706996,2269.113453099677
TT,116428.4156578406,116428.4156578406,24255.315491153477,391.3575052230973
ST,10133.749871746222,10133.749871746222,2048.2546699879467,44.98804071000517
W+Jets,14863.589391946809,14863.589391946809,2704.0098010873708,84.0506933145966
Z+Jets,21810.249247296022,21810.249247296022,9830.13553043351,141.05219142274115
Diboson,944.5571650558329,944.5571650558329,412.484656415579,8.185628548079201
ggFHbb,226.95685088670757,226.95685088670757,157.27752402118352,1.6976052291726098
VBFHbb,66.97275111602431,66.97275111602431,47.449174893882,0.5332721672841487
ZHbb,63.96246914780236,63.96246914780236,45.379215471990825,0.844136317284847
WHbb,109.68223866342207,109.68223866342207,73.99520784233742,2.311863067588508
ggZHbb,9.637138831976987,9.637138831976987,5.872520883724087,0.08202381657508848
ttHbb,318.24018721235785,318.24018721235785,121.05255814898767,1.8803545549795848
HWW,153.35211702134148,153.35211702134148,31.224751489102488,2.6994308124911046
Data,1144417.0,1144417.0,228352.0,4042.0
HHbbVV,1.676130328580837,1.676130328580837,1.1511317721054473,0.40900950627726057
VBFHHbbVV,0.03380955089741052,0.03380955089741052,0.022778253615771286,0.007133390360331839
X[900]->H(bb)Y[80](VV),11.19980821914222,11.19980821914222,7.789032088198821,2.978145363696696
X[1200]->H(bb)Y[190](VV),20.852666558466492,20.852666558466492,14.663466510313835,5.163467006134891
X[2000]->H(bb)Y[125](VV),28.53386346388635,28.53386346388635,20.820717608067813,8.851038292379796
X[3000]->H(bb)Y[250](VV),31.012733160854424,31.012733160854424,23.554959281771087,9.016848443837965
X[4000]->H(bb)Y[150](VV),31.35180296475921,31.35180296475921,24.33204003610424,11.035967295901486
