,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9734,0 ≤ nGoodElectronsHH < 0.9,0 ≤ nGoodMuonsHH < 0.9
HHbbVV,1.706591057896172,1.706591057896172,1.706591057896172,1.7015566173379557,1.6972136772823412,0.14641540205166362,0.10038751735983834,0.0999729710337924,0.09842134441057597
QCD,1126208.5372077704,1203074.9790546377,1203074.9790546377,1198693.5785187539,1195444.796068065,55.68376265164689,12.985012658129294,12.985012658129294,12.985012658129294
TT,126178.01663528237,126178.01663528237,126178.01663528237,125736.76451680924,125277.36730359304,29.187353009718905,6.034832848134106,5.372341047346122,4.678757739122915
ST,11213.018738828063,11213.018738828063,11213.018738828063,11169.638460634647,11140.701326371089,2.8143824576105807,0.5642045855619227,0.5642045855619227,0.5642045855619227
W+Jets,15930.077126498532,15930.077126498532,15930.077126498532,15879.105249841276,15839.028146450515,7.517721507478444,2.4520127089325063,2.4520127089325063,2.4520127089325063
Z+Jets,22772.15825578505,22772.15825578505,22772.15825578505,22686.559702053375,22632.448203335458,3.5790519143490385,1.714156437362398,1.714156437362398,1.5899581338844209
Diboson,1008.665041486354,1008.665041486354,1008.665041486354,1005.7273485190779,1002.5646524206695,0.0,0.0,0.0,0.0
ggFHbb,223.1087799478259,223.1087799478259,223.1087799478259,222.70977922577623,221.84267517383097,0.033456804525291706,0.0018852928053611903,0.0018852928053611903,0.0018852928053611903
VBFHbb,71.28205035333777,71.28205035333777,71.28205035333777,71.07985098566151,70.91620020246836,0.0,0.0,0.0,0.0
ZHbb,67.12062616739404,67.12062616739404,67.12062616739404,66.94564806851947,66.83746928536593,0.003569295632512806,0.00387733279537056,0.00387733279537056,0.00387733279537056
WHbb,116.35029311753367,116.35029311753367,116.35029311753367,116.05038178984395,115.9228032874135,0.03059275487922157,0.021385456586578304,0.021385456586578304,0.02008933721199819
ggZHbb,10.311005316400479,10.311005316400479,10.311005316400479,10.281565783116413,10.257879490979624,0.002592044515795586,0.002158016923056484,0.002158016923056484,0.002158016923056484
ttHbb,354.83801865944884,354.83801865944884,354.83801865944884,353.44976648602244,352.0183047201511,0.08633063745016835,0.026147391741395277,0.02407018458735013,0.01845020372505061
HWW,172.07437391871363,172.07437391871363,172.07437391871363,171.42603695737873,170.6479795943025,1.5475813777744443,0.39528413071648755,0.37283427830557886,0.352092851232355
Data,1381192.0,1381192.0,1381192.0,1381192.0,1381192.0,212.0,37.0,36.0,35.0
