,Pre-selection,QCD SF,LP SF,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9735,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,0.9147081031687907,0.9147081031687907,0.9147081031687907,0.9086202562710456,0.9032729107620694,0.30136641526403185,,
ggHH_kl_2p45_kt_1_HHbbVV,0.6688447704532685,0.6688447704532685,0.6688447704532685,0.6650215844188102,0.6616978818114161,0.2299215770147511,,
ggHH_kl_5_kt_1_HHbbVV,0.6956895087373941,0.6956895087373941,0.6956895087373941,0.6920552540546806,0.6889646563286256,0.3060371693804962,,
ggHH_kl_0_kt_1_HHbbVV,1.1944766869755938,1.1944766869755938,1.1944766869755938,1.1860618192897887,1.1784620440607205,0.395068883543628,,
VBFHHbbVV,0.017115373482989717,0.017115373482989717,0.017115373482989717,0.017030649078712407,0.016911806406707055,0.005799982669244992,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.060969753010587,9.060969753010587,9.060969753010587,9.043185519276458,9.02815771027725,2.442574423607405,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269096111629358,15.269096111629358,15.269096111629358,15.23819151213184,15.21085147798668,4.130793913429084,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0173959132140592,0.0173959132140592,0.0173959132140592,0.01731116970053962,0.01721529909865581,0.008463374900600396,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138882127595444,8.138882127595444,8.138882127595444,8.124193038879898,8.112651573642607,2.1889068742669315,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04617824244896124,0.04617824244896124,0.04617824244896124,0.04594810143671735,0.04559847624848856,0.014189296739562046,,
QCD,717986.216814939,970717.8146709627,970717.8146709627,962173.4045094895,955322.8744764234,765482.4698877732,,
TT,63126.80979180276,63126.80979180276,63126.80979180276,62673.79614323329,62216.48155564703,49469.34874682441,,
ST,5417.824558008516,5417.824558008516,5417.824558008516,5377.353115354821,5346.142315388623,4331.322795140036,,
W+Jets,9487.889178263631,9487.889178263631,9487.889178263631,9420.543436555281,9370.593747378542,7830.22486542637,,
Z+Jets,12055.822300436781,12055.822300436781,12055.822300436781,11963.681352389223,11895.51750751837,6787.97110352534,,
Diboson,544.751536187187,544.751536187187,544.751536187187,541.5333279703598,539.5308044193844,336.208740931941,,
ggFHbb,120.74204174793252,120.74204174793252,120.74204174793252,120.07126024952862,119.40043805803371,39.08114940009345,,
VBFHbb,32.24173303425971,32.24173303425971,32.24173303425971,32.09098572075379,31.915490654706662,9.839370046175077,,
ZHbb,32.70020301080715,32.70020301080715,32.70020301080715,32.51229709989521,32.39048595448399,9.917885138845206,,
WHbb,56.014320595270185,56.014320595270185,56.014320595270185,55.68961912767411,55.51113359847001,19.10746601933774,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.8805631912185055,4.850277343583236,4.823413122979026,1.925879544563995,,
ttHbb,156.94119216557863,156.94119216557863,156.94119216557863,155.94705721730352,154.8512284574327,96.96277123860979,,
HWW,80.56791059341468,80.56791059341468,80.56791059341468,80.06917628289587,79.44977797155293,63.490065562691505,,
Data,1061835.0,1061835.0,1061835.0,,,875363.0,1061835.0,1061835.0
