,Pre-selection,QCD SF,LP SF,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9735,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,0.9147081031687907,0.9147081031687907,0.9147081031687907,0.9021974589337566,0.8921274934572291,0.29705561791796636,,
ggHH_kl_2p45_kt_1_HHbbVV,0.6688447704532685,0.6688447704532685,0.6688447704532685,0.6606251851799471,0.654055669353281,0.22677336608932416,,
ggHH_kl_5_kt_1_HHbbVV,0.6956895087373941,0.6956895087373941,0.6956895087373941,0.6877389328223249,0.6810698404272066,0.30238891530816125,,
ggHH_kl_0_kt_1_HHbbVV,1.1944766869755938,1.1944766869755938,1.1944766869755938,1.176818579571213,1.1617121639970687,0.38796216995086197,,
VBFHHbbVV,0.017115373482989717,0.017115373482989717,0.017115373482989717,0.016919511679774117,0.016710528233663646,0.005732277356836404,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.060969753010587,9.060969753010587,9.060969753010587,9.022591570183286,8.993098263152001,2.43086720934544,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269096111629358,15.269096111629358,15.269096111629358,15.199677089537838,15.145129783948754,4.1073224143626,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0173959132140592,0.0173959132140592,0.0173959132140592,0.01720697227181179,0.017039203791830167,0.00836543907682782,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138882127595444,8.138882127595444,8.138882127595444,8.1076359787108,8.084305121253376,2.1793140607739483,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04617824244896124,0.04617824244896124,0.04617824244896124,0.045614762720094335,0.045084105521786697,0.013983637533200484,,
QCD,717986.216814939,970717.8146709627,970717.8146709627,952329.4467716418,938042.036549902,751890.9255845926,,
TT,63126.80979180276,63126.80979180276,63126.80979180276,62281.26379618576,61419.84821786183,48827.039128703036,,
ST,5417.824558008516,5417.824558008516,5417.824558008516,5343.110583081037,5284.0364074716335,4279.58513599101,,
W+Jets,9487.889178263631,9487.889178263631,9487.889178263631,9357.72731042376,9249.165805487482,7725.66712348136,,
Z+Jets,12055.822300436781,12055.822300436781,12055.822300436781,11862.409496423767,11728.495220567063,6691.981356684962,,
Diboson,544.751536187187,544.751536187187,544.751536187187,538.0128172568578,533.0567491419495,332.7127077180938,,
ggFHbb,120.74204174793252,120.74204174793252,120.74204174793252,119.40071843999348,117.91244552095317,38.4118699348613,,
VBFHbb,32.24173303425971,32.24173303425971,32.24173303425971,31.963053181455805,31.627848698776596,9.698761154629285,,
ZHbb,32.70020301080715,32.70020301080715,32.70020301080715,32.31418583302164,32.04157172822267,9.808835150191184,,
WHbb,56.014320595270185,56.014320595270185,56.014320595270185,55.31129788288006,54.93711011186556,18.863712978242347,,
ggZHbb,4.8805631912185055,4.8805631912185055,4.8805631912185055,4.818097766172652,4.7680686559651555,1.902902173155059,,
ttHbb,156.94119216557863,156.94119216557863,156.94119216557863,154.9802638394503,152.95156197255415,95.69624798737142,,
HWW,80.56791059341468,80.56791059341468,80.56791059341468,79.61251131832795,78.50954646527252,62.74209832945888,,
Data,1061835.0,1061835.0,1061835.0,,,875363.0,1061835.0,1061835.0
