,Pre-selection,QCD SF,LP SF,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,BDTScore_JES_up >= 0.998,bbFatJetParticleNetMD_Txbb >= 0.9737,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.998
HHbbVV,1.108127280079604,1.108127280079604,1.108127280079604,1.1081035713714382,1.1080653903338389,0.06745389068768823,0.045809761273409494,,,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.8015758690220187,0.8015742076520919,0.8015566517004539,0.047502987491789876,0.03317776665539497,,,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8397792227107982,0.8397405576613581,0.8397405576613581,0.03496454449852882,0.02349523364840276,,,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4337517442784347,1.4337099666557058,1.4336942879626964,0.07792476230797263,0.051284701156232265,,,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.0010270591570350012,0.0007178141147465615,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,11.015595087816134,11.015391288747336,11.01533838984919,0.9076331853739528,0.6859598325437152,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.523340727906472,18.522941581949745,18.522941581949745,1.4888761911693347,1.1212734600592644,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.0005262580077953797,0.00033667790292132345,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.95063113617899,9.950412548332135,9.95038847828237,0.8415228236999184,0.6354908472490407,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.0029520058061096206,0.0021467258109334306,,,
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1219439.4799126645,1219422.47933788,27.906591804710907,5.662577361852991,,,
TT,76537.02908224265,76537.02908224265,76537.02908224265,76534.95448087924,76533.07862026204,14.322350568586359,3.1224400682622977,,,
ST,6617.229257123121,6617.229257123121,6617.229257123121,6616.778108324861,6616.821960574154,1.0947397108178452,0.3627477842497195,,,
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12421.078715069132,12420.818420918185,2.5984495837622514,0.16118694629104352,,,
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14716.544046931334,14716.383412145502,1.7192073227886637,1.062888544564173,,,
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,703.6912877316817,703.6912877316817,0.0,0.0,,,
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,138.81058175779788,138.81058175779788,0.0,0.0,,,
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.591331153836336,40.591331153836336,0.0,0.0,,,
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.55979972772222,38.55979972772222,0.004885259938253187,0.004885259938253187,,,
WHbb,66.232275837835,66.232275837835,66.232275837835,66.23173382727803,66.2285336555317,0.006068461144207527,0.006068461144207527,,,
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.921287148529628,5.921287148529628,0.0002400427404862805,0.0,,,
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,187.97421160742965,187.97065844812124,0.037962082889499975,0.014362441727037082,,,
HWW,97.55810924622651,97.55810924622651,97.55810924622651,97.55627725126962,97.5572062066977,0.7171761965302953,0.2058634802702972,,,
Data,1331012.0,1331012.0,1331012.0,,,,28.0,1331012.0,1331012.0,151.0
